,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-04-28,12.89,13.88,12.8,13.09,13.09,2754700
1,2021-04-29,13.15,13.3,12.53,12.95,12.95,2015100
2,2021-04-30,12.94,12.95,12.53,12.8,12.8,2276000
3,2021-05-03,12.8,12.85,12.35,12.5,12.5,1013500
4,2021-05-04,12.4,12.86,12.21,12.57,12.57,1462400
5,2021-05-05,12.43,12.63,12.3,12.35,12.35,570800
6,2021-05-06,12.38,12.7,12.2,12.2,12.2,386100
7,2021-05-07,12.29,12.46,11.98,12.2,12.2,1030600
8,2021-05-10,12.22,12.48,12.01,12.1,12.1,354600
9,2021-05-11,12.02,12.33,11.91,12.2,12.2,747500
10,2021-05-12,12.15,12.3,12.0,12.05,12.05,838800
11,2021-05-13,12.08,12.78,12.07,12.6,12.6,530900
12,2021-05-14,12.7,14.95,12.7,14.39,14.39,1396000
13,2021-05-17,14.38,14.68,14.2,14.47,14.47,121300
14,2021-05-18,14.47,14.47,13.99,14.27,14.27,299800
15,2021-05-19,14.08,14.5,13.63,13.91,13.91,351700
16,2021-05-20,14.04,14.7,13.7,14.7,14.7,1155200
17,2021-05-21,14.7,14.88,14.21,14.49,14.49,363000
18,2021-05-24,14.49,14.79,14.27,14.79,14.79,528200
19,2021-05-25,14.9,15.68,14.74,15.48,15.48,1785900
20,2021-05-26,15.64,16.059999,15.27,16.040001,16.040001,352900
21,2021-05-27,15.84,17.0,15.7,16.440001,16.440001,472800
22,2021-05-28,16.709999,16.75,15.95,16.4,16.4,467400
23,2021-05-31,16.4,17.620001,15.97,16.700001,16.700001,1012400
24,2021-06-01,17.190001,17.34,16.620001,16.690001,16.690001,591700
25,2021-06-02,17.49,17.73,17.16,17.299999,17.299999,2012000
26,2021-06-04,17.5,18.110001,17.290001,17.290001,17.290001,3782200
27,2021-06-07,17.290001,17.959999,17.290001,17.52,17.52,1939200
28,2021-06-08,17.75,19.0,17.379999,17.9,17.9,1157800
29,2021-06-09,18.1,18.200001,17.049999,17.75,17.75,1293300
30,2021-06-10,17.52,17.93,17.33,17.75,17.75,483200
31,2021-06-11,17.620001,18.0,17.18,18.0,18.0,451100
32,2021-06-14,17.940001,18.370001,17.620001,17.93,17.93,628700
33,2021-06-15,17.93,17.99,17.700001,17.76,17.76,567100
34,2021-06-16,17.799999,17.959999,17.23,17.23,17.23,400300
35,2021-06-17,17.42,17.469999,16.67,17.049999,17.049999,516900
36,2021-06-18,17.049999,17.51,16.91,17.51,17.51,256700
37,2021-06-21,17.620001,17.959999,16.870001,16.870001,16.870001,379100
38,2021-06-22,16.870001,17.040001,16.51,16.83,16.83,299800
39,2021-06-23,16.73,17.27,16.73,17.040001,17.040001,214000
40,2021-06-24,17.049999,17.57,17.030001,17.110001,17.110001,646100
41,2021-06-25,17.110001,17.469999,16.75,16.799999,16.799999,683300
42,2021-06-28,16.809999,17.209999,16.700001,16.9,16.9,406400
43,2021-06-29,16.9,17.43,16.9,17.4,17.4,283600
