,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-10-13,9.3,9.45,8.78,8.94,8.94,81145800.0
1,2020-10-14,8.95,9.03,8.85,8.97,8.97,11186900.0
2,2020-10-15,8.89,8.97,8.62,8.9,8.9,18026000.0
3,2020-10-16,8.97,8.97,8.55,8.55,8.55,13171500.0
4,2020-10-19,8.16,8.54,8.08,8.2,8.2,23151900.0
5,2020-10-20,8.2,8.43,8.2,8.35,8.35,9000800.0
6,2020-10-21,8.41,8.46,8.2,8.3,8.3,4414000.0
7,2020-10-22,8.32,8.38,7.92,8.22,8.22,11625300.0
8,2020-10-23,8.24,8.25,8.0,8.0,8.0,6256700.0
9,2020-10-26,7.95,8.06,7.87,7.98,7.98,4563300.0
10,2020-10-27,8.0,8.22,8.0,8.1,8.1,6499800.0
11,2020-10-28,8.09,8.09,7.71,7.84,7.84,6059000.0
12,2020-10-29,7.8,7.96,7.67,7.89,7.89,4110700.0
13,2020-10-30,7.9,7.9,7.5,7.8,7.8,5137800.0
14,2020-11-03,7.88,7.94,7.68,7.89,7.89,9587300.0
15,2020-11-04,7.9,7.99,7.8,7.99,7.99,5789700.0
16,2020-11-05,8.07,8.14,7.82,8.02,8.02,8602500.0
17,2020-11-06,8.0,8.02,7.85,8.0,8.0,9211000.0
18,2020-11-09,8.14,8.24,7.81,7.85,7.85,9455600.0
19,2020-11-10,7.96,7.98,7.7,7.88,7.88,4429000.0
20,2020-11-11,7.9,8.1,7.88,8.0,8.0,8327600.0
21,2020-11-12,8.25,8.34,7.88,7.92,7.92,14078700.0
22,2020-11-13,8.0,8.12,7.93,8.07,8.07,9173800.0
23,2020-11-16,8.12,8.68,8.12,8.4,8.4,5297000.0
24,2020-11-17,8.38,8.63,8.34,8.5,8.5,3512600.0
25,2020-11-18,8.57,8.73,8.5,8.54,8.54,3125700.0
26,2020-11-19,8.7,8.84,8.61,8.69,8.69,4711200.0
27,2020-11-23,8.71,8.81,8.51,8.51,8.51,3570200.0
28,2020-11-24,8.62,8.62,8.42,8.49,8.49,2273500.0
29,2020-11-25,8.48,8.58,8.41,8.41,8.41,2115000.0
30,2020-11-26,8.42,8.48,8.38,8.4,8.4,1455300.0
31,2020-11-27,8.48,8.69,8.41,8.46,8.46,4818300.0
32,2020-11-30,8.46,8.54,8.24,8.24,8.24,1907900.0
33,2020-12-01,8.32,8.4,8.1,8.1,8.1,2532800.0
34,2020-12-02,8.12,8.16,8.04,8.1,8.1,2012700.0
35,2020-12-03,8.12,8.28,8.08,8.26,8.26,3451900.0
36,2020-12-04,8.27,8.4,8.19,8.34,8.34,3426800.0
37,2020-12-07,8.34,8.45,8.29,8.37,8.37,9313500.0
38,2020-12-08,8.33,8.37,8.02,8.18,8.18,5459100.0
39,2020-12-09,8.18,8.24,7.79,7.9,7.9,8835100.0
40,2020-12-10,7.99,8.0,7.69,7.69,7.69,8543100.0
41,2020-12-11,7.55,7.81,7.53,7.72,7.72,5798200.0
42,2020-12-14,7.86,7.86,7.7,7.84,7.84,3245300.0
43,2020-12-15,7.84,7.96,7.75,7.88,7.88,3600300.0
44,2020-12-16,7.91,8.26,7.89,8.24,8.24,6538900.0
