,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.5,1.5,1.44,1.44,1.075424,13700.0
1,2016-01-05,1.44,1.46,1.35,1.37,1.023146,830700.0
2,2016-01-06,1.37,1.38,1.19,1.22,0.911123,1067400.0
3,2016-01-07,1.2,1.2,1.14,1.15,0.858845,1284600.0
4,2016-01-08,1.21,1.27,1.15,1.15,0.858845,928100.0
5,2016-01-11,1.18,1.23,1.16,1.16,0.866314,422500.0
6,2016-01-12,1.18,1.21,1.12,1.12,0.836441,64200.0
7,2016-01-13,1.17,1.19,1.05,1.05,0.784163,1868200.0
8,2016-01-14,1.05,1.09,1.01,1.05,0.784163,1405200.0
9,2016-01-15,1.04,1.05,1.02,1.05,0.784163,52800.0
10,2016-01-18,1.06,1.08,1.03,1.07,0.7991,867700.0
11,2016-01-19,1.12,1.12,1.06,1.06,0.791631,34800.0
12,2016-01-20,1.05,1.05,1.0,1.04,0.776695,203000.0
13,2016-01-21,1.04,1.07,1.01,1.01,0.75429,268200.0
14,2016-01-22,1.05,1.05,1.0,1.02,0.761759,1636200.0
15,2016-01-26,1.0,1.02,0.98,0.99,0.739354,142500.0
16,2016-01-27,0.99,1.03,0.98,1.02,0.761759,25700.0
17,2016-01-28,1.01,1.03,0.98,1.0,0.746822,72300.0
18,2016-01-29,1.02,1.05,0.98,1.05,0.784163,258700.0
19,2016-02-01,1.05,1.19,1.04,1.12,0.836441,134000.0
20,2016-02-02,1.15,1.26,1.15,1.2,0.896186,223700.0
21,2016-02-03,1.25,1.4,1.19,1.34,1.000742,224900.0
22,2016-02-04,1.42,1.59,1.38,1.55,1.157574,352900.0
23,2016-02-05,1.64,1.8,1.62,1.71,1.277066,1917200.0
24,2016-02-10,1.66,1.85,1.59,1.75,1.306939,506500.0
25,2016-02-11,1.73,1.83,1.5,1.5,1.120233,261300.0
26,2016-02-12,1.57,1.6,1.46,1.46,1.090361,76900.0
27,2016-02-15,1.46,1.55,1.46,1.52,1.13517,613100.0
28,2016-02-16,1.55,1.61,1.54,1.57,1.172511,79800.0
29,2016-02-17,1.62,1.7,1.55,1.55,1.157574,197800.0
30,2016-02-18,1.61,1.67,1.49,1.52,1.13517,148900.0
31,2016-02-19,1.48,1.57,1.45,1.51,1.127701,123000.0
32,2016-02-22,1.55,1.59,1.54,1.55,1.157574,78200.0
33,2016-02-23,1.55,1.58,1.49,1.49,1.112765,45100.0
34,2016-02-24,1.49,1.49,1.36,1.45,1.082892,58500.0
35,2016-02-25,1.34,1.34,1.27,1.31,0.978337,136600.0
36,2016-02-26,1.34,1.37,1.31,1.31,0.978337,90300.0
37,2016-02-29,1.3,1.34,1.3,1.32,0.985805,39700.0
38,2016-03-01,1.32,1.42,1.32,1.37,1.023146,146900.0
39,2016-03-02,1.43,1.5,1.4,1.46,1.090361,99500.0
40,2016-03-03,1.61,1.61,1.61,1.61,1.202383,197900.0
41,2016-03-04,1.65,1.82,1.62,1.75,1.306939,263100.0
42,2016-03-07,1.75,1.88,1.66,1.81,1.351748,224600.0
43,2016-03-08,1.8,1.8,1.71,1.75,1.306939,149900.0
44,2016-03-09,1.8,1.94,1.8,1.93,1.441367,152800.0
45,2016-03-10,2.0,2.18,1.85,2.12,1.583263,176400.0
46,2016-03-11,2.17,2.24,2.01,2.08,1.55339,80300.0
47,2016-03-14,2.15,2.2,2.02,2.04,1.523517,63100.0
48,2016-03-15,1.95,1.95,1.65,1.65,1.232256,88300.0
49,2016-03-16,1.65,1.8,1.58,1.77,1.321875,131900.0
50,2016-03-17,1.94,2.02,1.84,2.02,1.50858,115700.0
51,2016-03-18,2.02,2.15,2.0,2.07,1.545922,132800.0
52,2016-03-21,2.19,2.23,2.07,2.12,1.583263,51700.0
53,2016-03-22,2.09,2.18,2.05,2.15,1.605668,43700.0
54,2016-03-23,2.15,2.15,2.03,2.03,1.516049,16400.0
55,2016-03-24,2.0,2.15,1.88,2.05,1.530985,35300.0
56,2016-03-28,2.08,2.27,2.08,2.21,1.650477,74800.0
57,2016-03-29,2.29,2.46,2.11,2.25,1.680349,75900.0
