,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.42,2.53,2.4,2.41,2.41,1204200.0
1,2016-01-05,2.47,2.56,2.23,2.25,2.25,3266600.0
2,2016-01-06,2.25,2.26,1.99,2.0,2.0,2430600.0
3,2016-01-07,1.95,1.95,1.83,1.87,1.87,1075100.0
4,2016-01-08,1.9,1.94,1.75,1.79,1.79,1331000.0
5,2016-01-11,1.78,1.84,1.68,1.69,1.69,1691300.0
6,2016-01-12,1.68,1.71,1.58,1.61,1.61,1943000.0
7,2016-01-13,1.61,1.65,1.44,1.44,1.44,1722300.0
8,2016-01-14,1.44,1.46,1.27,1.31,1.31,1936500.0
9,2016-01-15,1.29,1.31,1.24,1.27,1.27,1383800.0
10,2016-01-18,1.28,1.39,1.25,1.3,1.3,1791800.0
11,2016-01-19,1.35,1.46,1.26,1.27,1.27,2824900.0
12,2016-01-20,1.32,1.4,1.25,1.28,1.28,5715200.0
13,2016-01-21,1.29,1.34,1.18,1.18,1.18,4597700.0
14,2016-01-22,1.2,1.26,1.14,1.16,1.16,3830600.0
15,2016-01-26,1.16,1.18,1.13,1.17,1.17,1965800.0
16,2016-01-27,1.17,1.23,1.16,1.19,1.19,1222700.0
17,2016-01-28,1.2,1.23,1.17,1.2,1.2,983500.0
18,2016-01-29,1.23,1.61,1.2,1.53,1.53,4372600.0
19,2016-02-01,1.8,2.3,1.8,2.3,2.3,13344400.0
20,2016-02-02,2.16,2.95,1.95,1.95,1.95,15449900.0
21,2016-02-03,1.86,2.24,1.83,2.16,2.16,10371700.0
22,2016-02-04,2.29,2.44,2.2,2.32,2.32,7444900.0
23,2016-02-05,2.3,2.45,2.14,2.22,2.22,5391000.0
24,2016-02-10,2.15,2.15,2.01,2.03,2.03,2070800.0
25,2016-02-11,2.03,2.08,1.88,1.95,1.95,3881000.0
26,2016-02-12,1.96,2.08,1.96,1.99,1.99,1965900.0
27,2016-02-15,2.04,2.07,1.91,1.91,1.91,1688100.0
28,2016-02-16,1.93,1.97,1.85,1.93,1.93,2378900.0
29,2016-02-17,1.94,1.99,1.88,1.88,1.88,2232400.0
30,2016-02-18,1.87,1.92,1.78,1.85,1.85,2211100.0
31,2016-02-19,1.8,1.84,1.78,1.8,1.8,885500.0
32,2016-02-22,1.87,1.99,1.86,1.98,1.98,1949300.0
