,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,7.75,8.16,7.75,8.16,8.16,29800.0
1,2016-01-05,8.0,8.06,8.0,8.0,8.0,2300.0
2,2016-01-06,8.0,8.4,8.0,8.39,8.39,43800.0
3,2016-01-07,8.42,8.42,7.8,8.1,8.1,73700.0
4,2016-01-08,8.06,8.06,7.8,7.8,7.8,51400.0
5,2016-01-11,7.95,7.96,7.81,7.81,7.81,7100.0
6,2016-01-12,8.0,8.1,7.9,8.1,8.1,39200.0
7,2016-01-13,8.1,8.11,8.0,8.0,8.0,900.0
8,2016-01-14,8.0,8.0,8.0,8.0,8.0,0.0
9,2016-01-15,7.91,7.99,7.75,7.75,7.75,9200.0
10,2016-01-18,7.75,7.82,7.58,7.8,7.8,57200.0
11,2016-01-19,7.7,7.78,7.63,7.68,7.68,25800.0
12,2016-01-20,7.67,7.82,7.6,7.65,7.65,157700.0
13,2016-01-21,7.7,8.0,7.5,7.55,7.55,64400.0
14,2016-01-22,7.56,7.61,7.56,7.6,7.6,8000.0
15,2016-01-26,7.62,7.62,7.55,7.56,7.56,18800.0
16,2016-01-27,7.55,7.84,7.55,7.8,7.8,59200.0
17,2016-01-28,7.8,7.8,7.65,7.65,7.65,4200.0
18,2016-01-29,7.77,7.79,7.77,7.79,7.79,400.0
19,2016-02-01,7.85,7.85,7.8,7.84,7.84,1600.0
20,2016-02-02,7.71,7.71,7.65,7.65,7.65,4900.0
21,2016-02-03,7.66,7.7,7.5,7.55,7.55,162600.0
22,2016-02-04,7.69,7.8,7.55,7.55,7.55,48300.0
23,2016-02-05,7.69,7.7,7.61,7.7,7.7,254100.0
24,2016-02-10,7.73,7.74,7.45,7.45,7.45,67800.0
25,2016-02-11,7.46,7.46,7.35,7.35,7.35,3400.0
26,2016-02-12,7.29,7.33,7.29,7.3,7.3,9500.0
27,2016-02-15,7.3,7.3,7.26,7.3,7.3,2200.0
28,2016-02-16,7.35,7.35,7.17,7.17,7.17,251700.0
29,2016-02-17,7.19,7.19,7.19,7.19,7.19,200.0
30,2016-02-18,7.17,7.23,7.17,7.17,7.17,5600.0
31,2016-02-19,7.22,7.24,7.22,7.24,7.24,600.0
32,2016-02-22,7.23,7.23,7.1,7.15,7.15,225600.0
33,2016-02-23,7.15,7.15,7.1,7.1,7.1,200600.0
34,2016-02-24,7.1,7.13,7.0,7.0,7.0,1000.0
35,2016-02-25,6.97,6.97,6.97,6.97,6.97,200.0
36,2016-02-26,6.98,7.03,6.98,7.0,7.0,1400.0
37,2016-02-29,6.98,7.06,6.98,7.05,7.05,1300.0
38,2016-03-01,7.05,7.05,7.01,7.01,7.01,1100.0
39,2016-03-02,7.01,7.14,7.01,7.14,7.14,1200.0
40,2016-03-03,7.26,7.26,7.05,7.05,7.05,1078500.0
41,2016-03-04,7.23,7.23,7.06,7.06,7.06,600.0
42,2016-03-07,7.18,7.18,7.05,7.06,7.06,1800.0
43,2016-03-08,7.07,7.07,7.02,7.02,7.02,2400.0
44,2016-03-09,6.99,7.47,6.99,7.25,7.25,4341800.0
45,2016-03-10,7.16,7.16,7.0,7.0,7.0,1005100.0
46,2016-03-11,6.9,6.99,6.87,6.96,6.96,526500.0
47,2016-03-14,6.96,7.08,6.95,7.08,7.08,3600.0
48,2016-03-15,6.95,7.06,6.95,6.96,6.96,2700.0
49,2016-03-16,6.96,7.25,6.95,7.25,7.25,107700.0
50,2016-03-17,7.4,7.89,7.4,7.5,7.5,37000.0
51,2016-03-18,7.4,7.54,7.4,7.54,7.54,21900.0
52,2016-03-21,7.46,7.5,7.4,7.5,7.5,12000.0
53,2016-03-22,7.41,7.48,7.35,7.37,7.37,6600.0
54,2016-03-23,7.4,7.4,7.15,7.15,7.15,253700.0
55,2016-03-24,7.0,7.17,7.0,7.1,7.1,13000.0
56,2016-03-28,7.1,7.63,7.1,7.57,7.57,10900.0
57,2016-03-29,7.41,7.53,7.4,7.5,7.5,4500.0
58,2016-03-30,7.43,7.99,7.43,7.7,7.7,26700.0
59,2016-03-31,7.54,7.65,7.01,7.25,7.25,24300.0
60,2016-04-01,7.24,7.24,6.8,6.8,6.8,32400.0
61,2016-04-04,6.8,6.92,6.79,6.89,6.89,8400.0
62,2016-04-05,6.9,6.93,6.6,6.6,6.6,42900.0
63,2016-04-06,6.61,6.73,6.6,6.68,6.68,8200.0
64,2016-04-07,6.73,6.73,6.71,6.72,6.72,400.0
65,2016-04-08,6.75,7.05,6.75,6.94,6.94,44700.0
66,2016-04-11,6.95,7.02,6.9,6.9,6.9,15800.0
67,2016-04-12,7.03,7.05,6.96,7.05,7.05,13800.0
68,2016-04-13,7.06,7.19,7.06,7.18,7.18,8100.0
69,2016-04-14,7.18,7.18,7.18,7.18,7.18,0.0
70,2016-04-15,7.29,7.44,7.29,7.4,7.4,11400.0
71,2016-04-18,7.53,7.65,7.53,7.55,7.55,15700.0
72,2016-04-19,7.68,7.68,7.68,7.68,7.68,3800.0
73,2016-04-20,7.7,7.83,7.69,7.69,7.69,21100.0
74,2016-04-22,7.73,7.73,7.22,7.22,7.22,16600.0
75,2016-04-25,7.16,7.17,7.03,7.03,7.03,41500.0
76,2016-04-26,7.03,7.14,6.85,6.85,6.85,12400.0
77,2016-04-27,6.92,7.03,6.92,7.03,7.03,11200.0
78,2016-04-28,7.11,7.34,7.11,7.34,7.34,12400.0
79,2016-04-29,7.45,7.69,7.45,7.69,7.69,8100.0
80,2016-05-02,7.85,7.85,7.7,7.7,7.7,6000.0
81,2016-05-03,7.77,7.77,7.6,7.65,7.65,6400.0
82,2016-05-04,7.5,7.5,7.5,7.5,7.5,200.0
83,2016-05-05,7.46,7.46,7.4,7.4,7.4,2500.0
84,2016-05-06,7.4,7.4,7.39,7.4,7.4,3000.0
85,2016-05-09,7.31,7.35,7.3,7.3,7.3,3500.0
86,2016-05-10,7.21,7.22,7.03,7.03,7.03,6100.0
87,2016-05-11,7.04,7.04,7.03,7.03,7.03,1400.0
88,2016-05-12,7.05,7.05,7.03,7.03,7.03,5900.0
89,2016-05-13,7.12,7.12,7.01,7.01,7.01,3300.0
90,2016-05-16,7.02,7.02,7.0,7.0,7.0,2200.0
91,2016-05-17,7.01,7.05,6.95,6.95,6.95,4100.0
92,2016-05-18,6.95,6.97,6.95,6.97,6.97,7000.0
93,2016-05-19,7.0,7.06,7.0,7.05,7.05,20000.0
94,2016-05-20,7.06,7.06,7.0,7.05,7.05,19400.0
95,2016-05-23,6.96,7.05,6.95,7.05,7.05,4700.0
96,2016-05-24,6.98,7.08,6.97,7.08,7.08,3600.0
97,2016-05-25,7.14,7.28,7.0,7.0,7.0,54100.0
98,2016-05-27,7.0,7.48,7.0,7.06,7.06,19400.0
99,2016-05-30,7.19,7.19,7.19,7.19,7.19,200.0
100,2016-05-31,7.16,7.16,6.98,7.04,7.04,17000.0
101,2016-06-01,7.04,7.12,7.04,7.04,7.04,6800.0
