,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,5.59,5.59,5.446666,5.5,4.137496,666000.0
1,2016-01-05,5.513333,5.586666,5.373333,5.466666,4.112421,1054200.0
2,2016-01-06,5.466666,5.466666,5.303333,5.373333,4.042209,433200.0
3,2016-01-07,5.366666,5.413333,5.22,5.413333,4.072299,591300.0
4,2016-01-08,5.41,5.743333,5.406666,5.613333,4.222754,820500.0
5,2016-01-11,5.666666,5.68,5.36,5.373333,4.042209,524400.0
6,2016-01-12,5.393333,5.613333,5.336666,5.596666,4.210215,521100.0
7,2016-01-13,5.6,5.633333,5.42,5.433333,4.087345,448200.0
8,2016-01-14,5.466666,5.513333,5.333333,5.333333,4.012119,345000.0
9,2016-01-15,5.343333,5.366666,5.22,5.25,3.949429,340800.0
10,2016-01-18,5.293333,5.38,5.173333,5.38,4.047225,207000.0
11,2016-01-19,5.396666,5.413333,5.19,5.233333,3.936891,412800.0
12,2016-01-20,5.183333,5.24,4.963333,4.99,3.753837,2707800.0
13,2016-01-21,5.0,5.0,4.866666,4.866666,3.661057,768000.0
14,2016-01-22,4.93,5.12,4.9,5.06,3.806496,1441500.0
15,2016-01-26,5.063333,5.08,4.97,4.976666,3.743807,1213200.0
16,2016-01-27,4.993333,5.063333,4.93,4.983333,3.748823,483600.0
17,2016-01-28,5.013333,5.046666,4.96,5.0,3.761361,466200.0
18,2016-01-29,5.013333,5.136666,5.013333,5.086666,3.826558,1304400.0
19,2016-02-01,5.12,5.19,5.05,5.05,3.798974,415200.0
20,2016-02-02,5.02,5.303333,5.02,5.303333,3.98955,654000.0
21,2016-02-03,5.3,5.303333,5.083333,5.2,3.911814,2057100.0
22,2016-02-04,5.23,5.373333,5.136666,5.166666,3.886739,1164000.0
23,2016-02-05,5.203333,5.28,5.166666,5.266666,3.961966,249000.0
24,2016-02-10,5.266666,5.273333,5.033333,5.033333,3.786437,524700.0
25,2016-02-11,5.046666,5.073333,4.983333,5.033333,3.786437,396900.0
26,2016-02-12,5.076666,5.076666,5.0,5.016666,3.773898,192900.0
27,2016-02-15,5.056666,5.076666,4.95,4.983333,3.748823,482100.0
28,2016-02-16,4.996666,5.16,4.996666,5.15,3.874201,574800.0
29,2016-02-17,5.15,5.233333,5.053333,5.153333,3.876709,538800.0
30,2016-02-18,5.15,5.223333,5.08,5.223333,3.929368,344100.0
31,2016-02-19,5.2,5.26,5.153333,5.26,3.956952,571200.0
32,2016-02-22,5.296666,5.366666,5.283333,5.293333,3.982027,332700.0
33,2016-02-23,5.31,5.39,5.26,5.303333,3.98955,413700.0
34,2016-02-24,5.316666,5.316666,5.186666,5.2,3.911814,299400.0
35,2016-02-25,5.233333,5.406666,5.19,5.406666,4.067284,217200.0
36,2016-02-26,5.48,5.48,5.283333,5.373333,4.042209,604200.0
37,2016-02-29,5.43,5.49,5.33,5.49,4.129972,920700.0
38,2016-03-01,5.523333,5.78,5.423333,5.75,4.325565,838800.0
39,2016-03-02,5.746666,5.856666,5.693333,5.816666,4.375716,847500.0
40,2016-03-03,5.873333,6.01,5.766666,5.813333,4.373209,956700.0
41,2016-03-04,5.853333,5.966666,5.65,5.65,4.250337,1107600.0
42,2016-03-07,5.65,5.863333,5.596666,5.766666,4.338102,1067700.0
43,2016-03-08,5.766666,5.876666,5.676666,5.773333,4.343117,604500.0
44,2016-03-09,5.813333,5.83,5.8,5.816666,4.375716,427500.0
45,2016-03-10,5.856666,5.89,5.713333,5.816666,4.375716,460200.0
46,2016-03-11,5.873333,5.876666,5.766666,5.816666,4.375716,386700.0
47,2016-03-14,5.856666,5.903333,5.676666,5.816666,4.375716,1426500.0
48,2016-03-15,5.776666,5.776666,5.6,5.686666,4.27792,777000.0
49,2016-03-16,5.646666,5.683333,5.546666,5.65,4.250337,683400.0
50,2016-03-17,5.823333,5.843333,5.656666,5.68,4.272906,1918500.0
51,2016-03-18,5.7,5.76,5.67,5.723333,4.305503,1006200.0
52,2016-03-21,5.733333,5.833333,5.716666,5.816666,4.375716,544200.0
53,2016-03-22,5.823333,5.933333,5.78,5.88,4.42336,753900.0
54,2016-03-23,5.88,5.916666,5.78,5.806666,4.368194,484800.0
55,2016-03-24,5.8,5.866666,5.8,5.863333,4.410821,528600.0
56,2016-03-28,5.933333,5.95,5.883333,5.903333,4.440913,562800.0
57,2016-03-29,5.9,5.933333,5.833333,5.866666,4.413328,430200.0
58,2016-03-30,5.9,5.916666,5.773333,5.85,4.400792,1377900.0
59,2016-03-31,5.8,5.873333,5.676666,5.7,4.28795,628800.0
60,2016-04-01,5.886666,5.886666,5.886666,5.886666,4.428374,1800.0
61,2016-04-04,5.646666,5.646666,5.646666,5.646666,4.247831,900.0
62,2016-04-05,5.54,5.54,5.54,5.54,4.167588,8700.0
63,2016-04-06,5.483333,5.483333,5.483333,5.483333,4.124959,300.0
64,2016-04-07,5.57,5.57,5.57,5.57,4.190156,2400.0
65,2016-04-08,5.633333,5.73,5.596666,5.73,4.310518,436200.0
66,2016-04-11,5.75,5.766666,5.62,5.62,4.227768,385200.0
67,2016-04-12,5.566666,5.566666,5.566666,5.566666,4.187647,5100.0
68,2016-04-13,5.716666,5.716666,5.716666,5.716666,4.300488,2100.0
69,2016-04-14,5.736666,5.76,5.576666,5.693333,4.282936,813000.0
70,2016-04-15,5.65,5.67,5.503333,5.536666,4.256973,746100.0
71,2016-04-18,5.63,5.653333,5.52,5.533333,4.25441,369900.0
72,2016-04-19,5.633333,5.633333,5.633333,5.633333,4.331298,1500.0
73,2016-04-20,5.593333,5.626666,5.483333,5.546666,4.264662,361200.0
74,2016-04-22,5.483333,5.57,5.48,5.523333,4.246722,339600.0
75,2016-04-25,5.53,5.563333,5.276666,5.316666,4.087823,832800.0
76,2016-04-26,5.38,5.51,5.363333,5.483333,4.215968,821100.0
77,2016-04-27,5.51,5.65,5.506666,5.61,4.313357,1444500.0
78,2016-04-28,5.613333,5.766666,5.566666,5.766666,4.433813,1463400.0
79,2016-04-29,5.723333,5.733333,5.636666,5.663333,4.354364,510600.0
80,2016-05-02,5.726666,5.79,5.656666,5.663333,4.354364,439800.0
81,2016-05-03,5.633333,5.746666,5.633333,5.746666,4.418436,334500.0
82,2016-05-04,5.67,5.67,5.506666,5.53,4.319493,712800.0
83,2016-05-05,5.596666,5.6,5.5,5.546666,4.332511,543900.0
84,2016-05-06,5.526666,5.573333,5.336666,5.336666,4.168481,790800.0
85,2016-05-09,5.346666,5.39,5.256666,5.336666,4.168481,622200.0
86,2016-05-10,5.386666,5.506666,5.346666,5.46,4.264816,528000.0
87,2016-05-11,5.496666,5.546666,5.353333,5.36,4.186706,1413000.0
88,2016-05-12,5.416666,5.566666,5.403333,5.566666,4.348134,1066800.0
89,2016-05-13,5.566666,5.566666,5.453333,5.52,4.311682,395100.0
90,2016-05-16,5.516666,5.546666,5.433333,5.466666,4.270024,688800.0
91,2016-05-17,5.48,5.55,5.436666,5.463333,4.267419,730800.0
92,2016-05-18,5.463333,5.47,5.366666,5.466666,4.270024,926700.0
93,2016-05-19,5.443333,5.483333,5.39,5.483333,4.283042,506700.0
94,2016-05-20,5.503333,5.533333,5.43,5.526666,4.31689,427500.0
95,2016-05-23,5.51,5.51,5.17,5.233333,4.087766,1665900.0
96,2016-05-24,5.296666,5.403333,5.2,5.376666,4.199723,1170900.0
97,2016-05-25,5.4,5.5,5.4,5.496666,4.293456,591300.0
98,2016-05-27,5.473333,5.523333,5.37,5.436666,4.24659,410700.0
99,2016-05-30,5.5,5.52,5.393333,5.466666,4.270024,540600.0
100,2016-05-31,5.456666,5.55,5.393333,5.513333,4.306475,672000.0
101,2016-06-01,5.49,5.506666,5.333333,5.333333,4.165877,918600.0
102,2016-06-02,5.333333,5.45,5.33,5.423333,4.236176,707700.0
103,2016-06-03,5.433333,5.48,5.343333,5.37,4.194518,627000.0
104,2016-06-06,5.4,5.4,5.316666,5.343333,4.173688,490500.0
