,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.61,1.61,1.59,1.59,1.59,600.0
1,2016-01-05,1.5,1.52,1.5,1.52,1.52,1200.0
2,2016-01-06,1.47,1.5,1.47,1.5,1.5,500.0
3,2016-01-07,1.42,1.49,1.42,1.49,1.49,800.0
4,2016-01-08,1.4,1.4,1.39,1.39,1.39,8300.0
5,2016-01-11,1.45,1.45,1.35,1.45,1.45,11000.0
6,2016-01-12,1.47,1.5,1.47,1.5,1.5,2000.0
7,2016-01-13,1.5,1.5,1.5,1.5,1.5,0.0
8,2016-01-14,1.5,1.5,1.5,1.5,1.5,0.0
9,2016-01-15,1.49,1.5,1.49,1.5,1.5,1100.0
10,2016-01-18,1.5,1.5,1.5,1.5,1.5,0.0
11,2016-01-19,1.42,1.42,1.4,1.4,1.4,7700.0
12,2016-01-20,1.36,1.36,1.3,1.3,1.3,13100.0
13,2016-01-21,1.31,1.35,1.3,1.3,1.3,400.0
14,2016-01-22,1.35,1.35,1.31,1.31,1.31,1700.0
15,2016-01-26,1.36,1.39,1.3,1.3,1.3,26400.0
16,2016-01-27,1.31,1.41,1.3,1.41,1.41,7600.0
17,2016-01-28,1.39,1.44,1.39,1.44,1.44,600.0
18,2016-01-29,1.44,1.44,1.44,1.44,1.44,0.0
19,2016-02-01,1.3,1.4,1.26,1.26,1.26,11300.0
20,2016-02-02,1.25,1.29,1.25,1.29,1.29,1400.0
21,2016-02-03,1.25,1.34,1.2,1.2,1.2,1700.0
22,2016-02-04,1.2,1.26,1.2,1.25,1.25,7300.0
23,2016-02-05,1.29,1.29,1.17,1.17,1.17,3100.0
24,2016-02-10,1.17,1.22,1.12,1.12,1.12,2200.0
25,2016-02-11,1.1,1.13,1.1,1.12,1.12,10800.0
26,2016-02-12,1.12,1.12,1.12,1.12,1.12,0.0
27,2016-02-15,1.09,1.09,1.02,1.08,1.08,1200.0
28,2016-02-16,1.06,1.06,0.99,0.99,0.99,7400.0
29,2016-02-17,1.11,1.14,1.01,1.08,1.08,21900.0
30,2016-02-18,1.07,1.1,1.05,1.05,1.05,6900.0
31,2016-02-19,1.06,1.08,1.0,1.0,1.0,6000.0
32,2016-02-22,1.03,1.04,1.03,1.04,1.04,4200.0
33,2016-02-23,1.15,1.15,1.15,1.15,1.15,200.0
34,2016-02-24,1.19,1.19,1.12,1.19,1.19,1700.0
35,2016-02-25,1.19,1.31,1.15,1.3,1.3,18100.0
36,2016-02-26,1.4,1.4,1.39,1.4,1.4,4400.0
37,2016-02-29,1.39,1.4,1.39,1.4,1.4,3900.0
38,2016-03-01,1.38,1.38,1.36,1.36,1.36,300.0
39,2016-03-02,1.36,1.36,1.36,1.36,1.36,0.0
40,2016-03-03,1.33,1.35,1.33,1.35,1.35,3100.0
41,2016-03-04,1.36,1.39,1.36,1.39,1.39,600.0
42,2016-03-07,1.39,1.39,1.39,1.39,1.39,100.0
43,2016-03-08,1.38,1.39,1.35,1.35,1.35,1700.0
44,2016-03-09,1.39,1.39,1.25,1.39,1.39,3400.0
45,2016-03-10,1.35,1.39,1.2,1.38,1.38,3900.0
46,2016-03-11,1.38,1.39,1.38,1.39,1.39,800.0
47,2016-03-14,1.38,1.39,1.38,1.39,1.39,600.0
48,2016-03-15,1.2,1.35,1.2,1.21,1.21,2000.0
49,2016-03-16,1.29,1.29,1.2,1.2,1.2,3000.0
50,2016-03-17,1.2,1.3,1.2,1.22,1.22,1500.0
51,2016-03-18,1.22,1.22,1.2,1.2,1.2,4300.0
52,2016-03-21,1.21,1.25,1.2,1.21,1.21,25000.0
53,2016-03-22,1.27,1.27,1.27,1.27,1.27,1000.0
54,2016-03-23,1.3,1.32,1.26,1.32,1.32,900.0
55,2016-03-24,1.36,1.36,1.3,1.35,1.35,4200.0
56,2016-03-28,1.39,1.39,1.39,1.39,1.39,200.0
57,2016-03-29,1.4,1.42,1.35,1.42,1.42,15100.0
58,2016-03-30,1.45,1.45,1.33,1.45,1.45,7200.0
59,2016-03-31,1.45,1.45,1.44,1.45,1.45,2900.0
60,2016-04-01,1.4,1.43,1.38,1.42,1.42,2600.0
61,2016-04-04,1.43,1.44,1.4,1.44,1.44,8000.0
62,2016-04-05,1.44,1.45,1.42,1.43,1.43,7100.0
63,2016-04-06,1.4,1.45,1.4,1.45,1.45,4400.0
64,2016-04-07,1.45,1.51,1.45,1.51,1.51,28700.0
65,2016-04-08,1.51,1.66,1.5,1.56,1.56,20500.0
66,2016-04-11,1.62,1.62,1.62,1.62,1.62,1100.0
67,2016-04-12,1.62,1.62,1.5,1.52,1.52,12100.0
68,2016-04-13,1.55,1.7,1.51,1.7,1.7,12600.0
69,2016-04-14,1.7,1.73,1.7,1.7,1.7,1000.0
70,2016-04-15,1.74,1.74,1.74,1.74,1.74,1100.0
71,2016-04-18,1.73,1.75,1.73,1.75,1.75,1100.0
72,2016-04-19,1.63,1.73,1.62,1.73,1.73,1600.0
73,2016-04-20,1.74,1.74,1.74,1.74,1.74,600.0
74,2016-04-22,1.74,1.74,1.74,1.74,1.74,600.0
75,2016-04-25,1.71,1.71,1.71,1.71,1.71,1200.0
76,2016-04-26,1.68,1.74,1.68,1.74,1.74,11300.0
77,2016-04-27,1.74,1.75,1.74,1.75,1.75,4100.0
78,2016-04-28,1.65,1.75,1.65,1.75,1.75,4700.0
79,2016-04-29,1.75,1.75,1.75,1.75,1.75,0.0
80,2016-05-02,1.74,1.78,1.73,1.73,1.73,15300.0
81,2016-05-03,1.75,1.77,1.75,1.77,1.77,7600.0
82,2016-05-04,1.75,1.76,1.75,1.76,1.76,14700.0
83,2016-05-05,1.75,1.75,1.75,1.75,1.75,6400.0
84,2016-05-06,1.75,1.75,1.75,1.75,1.75,9600.0
85,2016-05-09,1.75,1.75,1.72,1.75,1.75,10500.0
86,2016-05-10,1.75,1.75,1.75,1.75,1.75,0.0
87,2016-05-11,1.75,1.75,1.75,1.75,1.75,0.0
88,2016-05-12,1.7,1.75,1.7,1.75,1.75,5200.0
89,2016-05-13,1.76,1.76,1.76,1.76,1.76,2200.0
90,2016-05-16,1.79,1.85,1.76,1.85,1.85,13700.0
91,2016-05-17,1.95,1.95,1.91,1.93,1.93,9300.0
92,2016-05-18,1.93,1.95,1.8,1.8,1.8,12200.0
93,2016-05-19,1.86,1.86,1.8,1.84,1.84,1300.0
94,2016-05-20,1.9,1.9,1.8,1.86,1.86,5600.0
95,2016-05-23,1.8,1.86,1.7,1.86,1.86,25400.0
96,2016-05-24,1.86,1.86,1.86,1.86,1.86,0.0
97,2016-05-25,1.84,1.9,1.84,1.9,1.9,1600.0
98,2016-05-27,1.92,1.92,1.9,1.9,1.9,4000.0
99,2016-05-30,1.92,1.92,1.92,1.92,1.92,1100.0
100,2016-05-31,1.97,2.02,1.97,2.02,2.02,6800.0
101,2016-06-01,2.02,2.02,2.02,2.02,2.02,200.0
102,2016-06-02,2.02,2.02,2.02,2.02,2.02,0.0
