,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,7.316132,7.409331,6.943335,6.943335,6.607213,66202.0
1,2016-01-05,7.129734,7.176333,6.803537,7.176333,6.828931,112769.0
2,2016-01-06,7.269532,7.269532,6.803537,6.803537,6.474182,63884.0
3,2016-01-07,6.803537,6.989935,6.663738,6.896736,6.56287,19528.0
4,2016-01-08,6.896736,7.968526,6.896736,7.875327,7.494087,157919.0
5,2016-01-11,7.875327,7.875327,7.455931,7.455931,7.094994,31094.0
6,2016-01-12,7.362731,7.688928,7.083134,7.083134,6.740244,40944.0
7,2016-01-13,7.129734,7.409331,6.803537,6.803537,6.474182,110988.0
8,2016-01-14,6.989935,7.036534,6.710337,6.943335,6.607213,42403.0
9,2016-01-15,6.943335,7.362731,6.896736,6.989935,6.651556,86116.0
10,2016-01-18,7.036534,7.129734,6.756937,6.756937,6.429838,9570.0
11,2016-01-19,6.989935,7.129734,6.803537,6.943335,6.607213,45215.0
12,2016-01-20,6.896736,7.269532,6.850136,6.989935,6.651556,43605.0
13,2016-01-21,6.989935,7.316132,6.989935,7.036534,6.6959,25322.0
14,2016-01-22,7.129734,7.316132,7.036534,7.036534,6.6959,7725.0
15,2016-01-26,6.896736,7.176333,6.896736,6.989935,6.651556,44442.0
16,2016-01-27,7.083134,7.176333,6.989935,6.989935,6.651556,38111.0
17,2016-01-28,6.989935,6.989935,6.896736,6.896736,6.56287,8583.0
18,2016-01-29,6.989935,7.129734,6.710337,6.989935,6.651556,43541.0
19,2016-02-01,6.989935,7.269532,6.989935,7.222933,6.873275,30536.0
20,2016-02-02,7.222933,7.642329,7.176333,7.316132,6.961963,141267.0
21,2016-02-03,7.362731,7.735528,7.316132,7.455931,7.094994,48841.0
22,2016-02-04,7.50253,7.782127,7.50253,7.50253,7.139338,27017.0
23,2016-02-05,7.54913,7.642329,7.409331,7.409331,7.05065,26716.0
24,2016-02-10,7.455931,7.50253,7.222933,7.222933,6.873275,18669.0
25,2016-02-11,7.269532,7.269532,6.850136,6.850136,6.518525,20322.0
26,2016-02-12,6.989935,6.989935,6.617138,6.617138,6.296806,33433.0
27,2016-02-15,6.756937,7.036534,6.710337,6.989935,6.651556,29163.0
28,2016-02-16,6.989935,7.688928,6.850136,7.595729,7.228024,117855.0
29,2016-02-17,7.688928,8.154924,7.688928,7.782127,7.405399,74249.0
30,2016-02-18,7.968526,8.015125,7.50253,7.642329,7.272369,112876.0
31,2016-02-19,7.782127,8.061725,7.50253,7.782127,7.405399,24721.0
32,2016-02-22,7.968526,8.294723,7.642329,7.642329,7.272369,75966.0
33,2016-02-23,7.782127,7.921926,7.362731,7.409331,7.05065,40687.0
34,2016-02-24,7.595729,7.595729,7.129734,7.222933,6.873275,50880.0
35,2016-02-25,7.316132,7.50253,6.989935,6.989935,6.651556,35450.0
36,2016-02-26,7.269532,7.455931,6.989935,7.455931,7.094994,35107.0
37,2016-02-29,7.54913,7.828727,7.222933,7.409331,7.05065,52253.0
38,2016-03-01,7.642329,7.828727,7.455931,7.688928,7.316712,32232.0
39,2016-03-02,7.828727,7.828727,7.455931,7.50253,7.139338,68820.0
