,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.5,3.5,3.5,3.5,3.5,0.0
1,2016-01-05,3.5,3.5,3.5,3.5,3.5,0.0
2,2016-01-06,3.79,3.8,3.5,3.8,3.8,6800.0
3,2016-01-07,3.8,3.8,3.8,3.8,3.8,0.0
4,2016-01-08,3.79,3.79,3.79,3.79,3.79,200.0
5,2016-01-11,3.79,3.8,3.79,3.8,3.8,300.0
6,2016-01-12,3.8,3.8,3.8,3.8,3.8,0.0
7,2016-01-13,3.8,3.8,3.8,3.8,3.8,0.0
8,2016-01-14,3.78,3.78,3.78,3.78,3.78,4300.0
9,2016-01-15,3.79,3.79,3.79,3.79,3.79,200.0
10,2016-01-18,3.79,3.8,3.79,3.8,3.8,300.0
11,2016-01-19,3.8,3.8,3.8,3.8,3.8,0.0
12,2016-01-20,3.8,3.8,3.8,3.8,3.8,0.0
13,2016-01-21,3.8,3.8,3.8,3.8,3.8,0.0
14,2016-01-22,3.79,3.79,3.79,3.79,3.79,200.0
15,2016-01-26,3.79,3.79,3.79,3.79,3.79,0.0
16,2016-01-27,3.79,3.79,3.79,3.79,3.79,0.0
17,2016-01-28,3.79,3.79,3.79,3.79,3.79,0.0
18,2016-01-29,3.89,3.89,3.89,3.89,3.89,200.0
19,2016-02-01,3.89,3.89,3.89,3.89,3.89,0.0
20,2016-02-02,3.89,3.89,3.89,3.89,3.89,300.0
21,2016-02-03,3.88,3.88,3.88,3.88,3.88,300.0
22,2016-02-04,3.88,3.88,3.88,3.88,3.88,400.0
23,2016-02-05,3.54,3.88,3.54,3.88,3.88,500.0
24,2016-02-10,3.88,3.9,3.88,3.9,3.9,500.0
25,2016-02-11,3.9,3.9,3.9,3.9,3.9,0.0
26,2016-02-12,2.93,2.94,2.93,2.94,2.94,1200.0
27,2016-02-15,3.35,3.5,3.35,3.45,3.45,1000.0
28,2016-02-16,3.45,3.45,3.45,3.45,3.45,0.0
29,2016-02-17,3.3,3.3,3.3,3.3,3.3,2000.0
30,2016-02-18,3.3,3.3,3.3,3.3,3.3,0.0
31,2016-02-19,3.3,3.3,3.3,3.3,3.3,1000.0
32,2016-02-22,3.35,3.44,3.3,3.37,3.37,2800.0
33,2016-02-23,3.37,3.37,3.37,3.37,3.37,0.0
34,2016-02-24,3.29,3.29,3.29,3.29,3.29,800.0
35,2016-02-25,3.29,3.29,3.29,3.29,3.29,0.0
36,2016-02-26,3.25,3.25,3.25,3.25,3.25,600.0
37,2016-02-29,3.24,3.24,3.24,3.24,3.24,800.0
38,2016-03-01,3.24,3.24,3.24,3.24,3.24,0.0
39,2016-03-02,2.85,3.28,2.85,3.28,3.28,2000.0
40,2016-03-03,3.28,3.28,3.28,3.28,3.28,0.0
41,2016-03-04,3.25,3.25,3.25,3.25,3.25,1000.0
42,2016-03-07,3.25,3.25,3.25,3.25,3.25,0.0
43,2016-03-08,3.0,3.0,3.0,3.0,3.0,100.0
44,2016-03-09,3.0,3.0,3.0,3.0,3.0,2300.0
45,2016-03-10,3.0,3.0,3.0,3.0,3.0,0.0
46,2016-03-11,3.0,3.0,3.0,3.0,3.0,0.0
47,2016-03-14,3.28,3.29,3.28,3.29,3.29,1100.0
48,2016-03-15,2.96,2.96,2.95,2.95,2.95,1300.0
49,2016-03-16,2.95,2.95,2.95,2.95,2.95,0.0
50,2016-03-17,3.0,3.0,3.0,3.0,3.0,800.0
51,2016-03-18,3.0,3.0,3.0,3.0,3.0,0.0
52,2016-03-21,3.0,3.0,3.0,3.0,3.0,800.0
53,2016-03-22,3.0,3.0,3.0,3.0,3.0,300.0
54,2016-03-23,2.9,2.9,2.88,2.9,2.9,2200.0
55,2016-03-24,2.9,2.9,2.9,2.9,2.9,0.0
56,2016-03-28,3.0,3.0,3.0,3.0,3.0,300.0
