,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.4,2.4,2.31,2.31,2.31,2200.0
1,2016-01-05,2.21,2.25,2.15,2.16,2.16,8000.0
2,2016-01-06,2.35,2.35,2.16,2.16,2.16,3000.0
3,2016-01-07,2.1,2.23,2.1,2.19,2.19,2400.0
4,2016-01-08,2.29,2.3,2.29,2.29,2.29,11600.0
5,2016-01-11,2.21,2.3,2.09,2.3,2.3,15000.0
6,2016-01-12,2.16,2.18,2.03,2.07,2.07,10700.0
7,2016-01-13,2.19,2.3,2.02,2.3,2.3,14700.0
8,2016-01-14,2.22,2.32,2.17,2.32,2.32,22900.0
9,2016-01-15,2.5,2.57,2.45,2.53,2.53,24300.0
10,2016-01-18,2.42,2.42,2.15,2.15,2.15,14600.0
11,2016-01-19,2.2,2.33,2.1,2.1,2.1,5800.0
12,2016-01-20,2.1,2.19,2.03,2.19,2.19,8600.0
13,2016-01-21,2.1,2.16,2.07,2.16,2.16,2600.0
14,2016-01-22,2.04,2.04,2.04,2.04,2.04,2200.0
15,2016-01-26,2.13,2.13,2.03,2.11,2.11,18900.0
16,2016-01-27,2.13,2.25,2.06,2.2,2.2,9500.0
17,2016-01-28,2.2,2.2,2.09,2.09,2.09,11700.0
18,2016-01-29,2.09,2.32,2.08,2.32,2.32,14400.0
19,2016-02-01,2.15,2.3,2.05,2.28,2.28,33000.0
20,2016-02-02,2.15,2.15,1.97,1.97,1.97,19900.0
21,2016-02-03,1.96,2.05,1.95,1.95,1.95,12100.0
22,2016-02-04,2.01,2.01,1.93,1.95,1.95,5800.0
23,2016-02-05,2.04,2.11,1.96,2.0,2.0,10600.0
24,2016-02-10,2.1,2.1,1.95,2.0,2.0,1700.0
25,2016-02-11,2.0,2.0,1.94,2.0,2.0,2300.0
26,2016-02-12,1.94,1.94,1.85,1.87,1.87,12700.0
27,2016-02-15,1.83,1.89,1.76,1.89,1.89,2500.0
28,2016-02-16,1.84,1.85,1.84,1.84,1.84,6100.0
29,2016-02-17,1.9,1.9,1.75,1.88,1.88,1300.0
30,2016-02-18,1.88,1.88,1.88,1.88,1.88,0.0
