,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,0.18,0.21,0.18,0.18,0.18,234100.0
1,2016-01-05,0.19,0.19,0.17,0.17,0.17,194400.0
2,2016-01-06,0.16,0.18,0.16,0.18,0.18,115800.0
3,2016-01-07,0.17,0.19,0.17,0.19,0.19,57700.0
4,2016-01-08,0.19,0.2,0.18,0.19,0.19,84100.0
5,2016-01-11,0.18,0.18,0.17,0.17,0.17,521200.0
6,2016-01-12,0.17,0.18,0.16,0.18,0.18,100000.0
7,2016-01-13,0.18,0.18,0.16,0.18,0.18,110700.0
8,2016-01-14,0.17,0.18,0.17,0.18,0.18,74900.0
9,2016-01-15,0.18,0.2,0.17,0.19,0.19,297000.0
10,2016-01-18,0.18,0.18,0.18,0.18,0.18,10000.0
11,2016-01-19,0.17,0.18,0.16,0.17,0.17,278500.0
12,2016-01-20,0.17,0.18,0.17,0.18,0.18,59700.0
13,2016-01-21,0.18,0.19,0.16,0.18,0.18,68300.0
14,2016-01-22,0.17,0.18,0.16,0.17,0.17,151200.0
15,2016-01-26,0.17,0.17,0.16,0.16,0.16,40500.0
16,2016-01-27,0.16,0.18,0.16,0.17,0.17,94000.0
17,2016-01-28,0.16,0.18,0.16,0.18,0.18,60200.0
18,2016-01-29,0.18,0.18,0.16,0.17,0.17,88200.0
19,2016-02-01,0.17,0.18,0.16,0.17,0.17,71900.0
20,2016-02-02,0.17,0.17,0.16,0.16,0.16,60500.0
21,2016-02-03,0.17,0.17,0.16,0.16,0.16,15700.0
22,2016-02-04,0.16,0.17,0.16,0.16,0.16,25800.0
23,2016-02-05,0.17,0.17,0.16,0.17,0.17,46700.0
24,2016-02-10,0.16,0.18,0.16,0.17,0.17,200700.0
25,2016-02-11,0.17,0.18,0.16,0.16,0.16,113200.0
26,2016-02-12,0.16,0.17,0.15,0.16,0.16,505800.0
27,2016-02-15,0.16,0.17,0.14,0.15,0.15,823200.0
28,2016-02-16,0.16,0.16,0.15,0.16,0.16,310700.0
29,2016-02-17,0.15,0.16,0.15,0.16,0.16,119700.0
30,2016-02-18,0.15,0.16,0.14,0.15,0.15,501800.0
31,2016-02-19,0.15,0.16,0.15,0.16,0.16,2300.0
32,2016-02-22,0.15,0.16,0.15,0.15,0.15,72000.0
33,2016-02-23,0.15,0.16,0.15,0.16,0.16,22300.0
34,2016-02-24,0.16,0.16,0.15,0.16,0.16,115400.0
35,2016-02-25,0.16,0.16,0.16,0.16,0.16,0.0
36,2016-02-26,0.15,0.15,0.15,0.15,0.15,103100.0
37,2016-02-29,0.16,0.16,0.14,0.15,0.15,11900.0
38,2016-03-01,0.15,0.17,0.15,0.17,0.17,338000.0
39,2016-03-02,0.16,0.17,0.15,0.17,0.17,49800.0
40,2016-03-03,0.16,0.17,0.16,0.17,0.17,112800.0
41,2016-03-04,0.16,0.17,0.16,0.16,0.16,107500.0
42,2016-03-07,0.16,0.17,0.15,0.16,0.16,7200.0
43,2016-03-08,0.16,0.16,0.15,0.16,0.16,83400.0
44,2016-03-09,0.16,0.17,0.15,0.17,0.17,48700.0
45,2016-03-10,0.15,0.17,0.15,0.17,0.17,94800.0
46,2016-03-11,0.15,0.17,0.15,0.17,0.17,243600.0
47,2016-03-14,0.15,0.17,0.15,0.17,0.17,45800.0
48,2016-03-15,0.16,0.17,0.15,0.17,0.17,23900.0
49,2016-03-16,0.15,0.17,0.15,0.16,0.16,56700.0
50,2016-03-17,0.15,0.16,0.15,0.16,0.16,32200.0
51,2016-03-18,0.16,0.17,0.16,0.17,0.17,313900.0
52,2016-03-21,0.18,0.18,0.16,0.18,0.18,27400.0
53,2016-03-22,0.18,0.18,0.17,0.18,0.18,75600.0
54,2016-03-23,0.16,0.18,0.16,0.18,0.18,23800.0
55,2016-03-24,0.16,0.17,0.16,0.17,0.17,2700.0
56,2016-03-28,0.17,0.18,0.16,0.18,0.18,23900.0
57,2016-03-29,0.18,0.18,0.17,0.18,0.18,97400.0
58,2016-03-30,0.18,0.18,0.16,0.17,0.17,86600.0
59,2016-03-31,0.16,0.17,0.16,0.17,0.17,46200.0
60,2016-04-01,0.17,0.17,0.17,0.17,0.17,13500.0
61,2016-04-04,0.17,0.18,0.17,0.17,0.17,88500.0
62,2016-04-05,0.17,0.17,0.17,0.17,0.17,16400.0
63,2016-04-06,0.18,0.18,0.18,0.18,0.18,46000.0
64,2016-04-07,0.17,0.18,0.17,0.18,0.18,24600.0
65,2016-04-08,0.18,0.19,0.18,0.19,0.19,391100.0
66,2016-04-11,0.19,0.19,0.17,0.18,0.18,30700.0
67,2016-04-12,0.18,0.19,0.18,0.18,0.18,36400.0
68,2016-04-13,0.19,0.19,0.18,0.19,0.19,47000.0
69,2016-04-14,0.18,0.19,0.18,0.18,0.18,61400.0
70,2016-04-15,0.18,0.19,0.18,0.19,0.19,227600.0
71,2016-04-18,0.19,0.19,0.18,0.18,0.18,47000.0
72,2016-04-19,0.19,0.21,0.19,0.2,0.2,467000.0
73,2016-04-20,0.19,0.2,0.18,0.2,0.2,91500.0
74,2016-04-22,0.19,0.19,0.19,0.19,0.19,75300.0
75,2016-04-25,0.18,0.19,0.18,0.19,0.19,59400.0
76,2016-04-26,0.17,0.19,0.17,0.17,0.17,150500.0
77,2016-04-27,0.17,0.18,0.17,0.18,0.18,76200.0
78,2016-04-28,0.18,0.18,0.18,0.18,0.18,4300.0
79,2016-04-29,0.17,0.19,0.17,0.19,0.19,27000.0
80,2016-05-02,0.19,0.19,0.17,0.19,0.19,13100.0
81,2016-05-03,0.19,0.19,0.19,0.19,0.19,0.0
82,2016-05-04,0.18,0.19,0.17,0.19,0.19,15200.0
83,2016-05-05,0.17,0.18,0.17,0.18,0.18,61000.0
