,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-08,9.6,9.99,8.76,9.04,8.916956,14090600.0
1,2021-02-09,9.1,9.29,8.56,8.7,8.581583,4950300.0
2,2021-02-10,8.61,8.63,8.32,8.5,8.384306,3204900.0
3,2021-02-11,8.5,8.6,8.3,8.4,8.285666,1646600.0
4,2021-02-12,8.42,8.45,8.2,8.39,8.275804,1634800.0
5,2021-02-17,,,,,,
6,2021-02-18,8.85,8.97,8.51,8.9,8.778861,656500.0
7,2021-02-19,8.74,8.99,8.72,8.85,8.729543,534000.0
8,2021-02-22,8.7,8.7,8.4,8.47,8.354714,1207200.0
9,2021-02-23,8.51,8.81,8.33,8.65,8.532264,1423700.0
10,2021-02-24,8.65,8.79,8.45,8.59,8.473081,528800.0
11,2021-02-25,8.73,8.79,8.46,8.57,8.453353,645700.0
12,2021-02-26,8.46,8.56,8.22,8.3,8.187028,2550500.0
13,2021-03-01,8.61,8.68,8.22,8.22,8.108117,834200.0
14,2021-03-02,8.24,8.5,8.2,8.3,8.187028,735100.0
15,2021-03-03,8.31,8.5,8.05,8.32,8.206756,3376800.0
16,2021-03-04,8.39,8.48,8.21,8.3,8.187028,429800.0
17,2021-03-05,8.44,8.44,8.25,8.3,8.187028,587900.0
18,2021-03-08,8.28,8.29,7.92,8.1,7.989751,1076800.0
19,2021-03-09,7.93,8.14,7.93,8.02,7.91084,922200.0
20,2021-03-10,8.13,8.3,7.88,8.3,8.187028,1090500.0
21,2021-03-11,8.3,8.46,7.71,7.93,7.822064,1421300.0
22,2021-03-12,8.0,8.05,7.7,7.7,7.595194,498500.0
23,2021-03-15,7.7,7.84,7.7,7.73,7.624786,275400.0
24,2021-03-16,7.75,7.8,7.53,7.61,7.50642,776500.0
25,2021-03-17,7.47,7.83,7.37,7.75,7.644514,1004600.0
26,2021-03-18,7.73,7.8,7.35,7.4,7.299278,769000.0
27,2021-03-19,7.53,7.97,7.35,7.71,7.605059,681600.0
28,2021-03-22,7.9,8.32,7.9,8.32,8.206756,1386700.0
29,2021-03-23,8.34,8.85,8.34,8.61,8.492808,1445900.0
30,2021-03-24,8.61,8.7,8.25,8.35,8.236348,989900.0
31,2021-03-25,8.39,8.46,8.07,8.16,8.048933,869900.0
32,2021-03-26,8.18,8.26,7.94,8.05,7.940431,685500.0
33,2021-03-29,7.94,8.04,7.83,7.84,7.733289,569400.0
34,2021-03-30,7.89,7.97,7.8,7.97,7.861519,697600.0
35,2021-03-31,7.88,7.97,7.58,7.86,7.753017,302100.0
36,2021-04-01,7.88,8.04,7.77,8.04,7.930567,896200.0
37,2021-04-05,8.0,8.15,7.85,7.85,7.743153,406600.0
38,2021-04-06,7.95,8.1,7.79,7.83,7.723425,616500.0
39,2021-04-07,7.88,8.49,7.87,8.03,7.920703,1270600.0
40,2021-04-08,8.1,8.14,7.95,7.95,7.841792,229000.0
