,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,12.06,12.2,11.71,12.05,10.45246,6412800.0
1,2016-01-05,12.14,12.22,11.45,11.45,9.932007,7522700.0
2,2016-01-06,11.28,11.32,10.3,10.4,9.02121,15168200.0
3,2016-01-07,10.33,11.02,10.15,11.0,9.541664,15282900.0
4,2016-01-08,10.72,11.2,10.61,11.2,9.71515,13947300.0
5,2016-01-11,11.42,11.48,11.01,11.42,9.905983,8328400.0
6,2016-01-12,11.45,11.45,10.82,11.1,9.628407,6365700.0
7,2016-01-13,11.33,11.33,10.77,10.86,9.420225,5525700.0
8,2016-01-14,10.89,11.09,10.6,10.65,9.238067,6670600.0
9,2016-01-15,10.51,10.63,10.08,10.36,8.986513,7602900.0
10,2016-01-18,10.4,10.76,10.06,10.72,9.298787,3730200.0
11,2016-01-19,11.0,11.02,10.33,10.48,9.090604,6876800.0
12,2016-01-20,10.3,10.56,10.1,10.53,9.133975,8602100.0
13,2016-01-21,10.42,11.04,10.36,11.0,9.541664,7386300.0
14,2016-01-22,11.15,11.19,10.52,10.64,9.229392,6643000.0
15,2016-01-26,10.5,10.64,9.46,9.86,8.5528,19663300.0
16,2016-01-27,9.7,10.11,8.28,8.41,7.295037,48829100.0
17,2016-01-28,8.62,9.35,8.16,9.35,8.110415,32088400.0
18,2016-01-29,9.35,10.8,9.1,10.8,9.36818,27900800.0
19,2016-02-01,10.67,10.79,9.83,10.77,9.342157,16368000.0
20,2016-02-02,10.45,10.64,9.95,10.06,8.726285,16456600.0
21,2016-02-03,10.14,10.49,9.87,10.35,8.97784,17435600.0
22,2016-02-04,10.52,11.32,10.52,10.88,9.437574,11655500.0
23,2016-02-05,10.88,10.97,10.51,10.58,9.177346,7963900.0
24,2016-02-10,10.45,10.45,9.92,10.37,8.995187,7408700.0
25,2016-02-11,10.04,10.19,9.61,10.06,8.726285,10451000.0
26,2016-02-12,10.13,10.39,9.84,10.05,8.717613,5827500.0
27,2016-02-15,10.3,10.33,9.95,10.08,8.743635,5588300.0
28,2016-02-16,10.06,10.85,9.95,10.71,9.290113,4905000.0
29,2016-02-17,10.79,11.45,10.73,11.35,9.845264,10257100.0
30,2016-02-18,11.26,11.54,10.75,10.95,9.498294,8724200.0
31,2016-02-19,10.93,11.51,10.77,11.12,9.645757,5332200.0
32,2016-02-22,11.58,12.15,11.37,11.85,10.278976,10887800.0
33,2016-02-23,11.9,11.98,11.02,11.15,9.671779,6680800.0
34,2016-02-24,10.83,12.2,10.8,11.98,10.391741,6884100.0
35,2016-02-25,11.89,11.94,11.25,11.59,10.053445,6711700.0
36,2016-02-26,11.7,11.8,10.94,11.18,9.697802,6056100.0
37,2016-02-29,10.81,11.59,10.64,11.4,9.888635,11033400.0
38,2016-03-01,11.65,11.7,11.28,11.65,10.105491,5336800.0
39,2016-03-02,11.66,12.07,11.55,11.9,10.322347,6507900.0
40,2016-03-03,12.1,12.85,11.89,12.57,10.903521,8589200.0
41,2016-03-04,12.79,12.79,10.41,10.88,9.437574,14230000.0
42,2016-03-07,11.0,11.49,10.9,10.98,9.524318,6671100.0
43,2016-03-08,10.98,11.8,10.95,11.18,9.697802,10461500.0
44,2016-03-09,11.47,11.94,11.31,11.87,10.296324,8588400.0
45,2016-03-10,12.11,12.5,11.8,12.25,10.625945,10761000.0
46,2016-03-11,12.14,12.43,11.51,11.79,10.22693,7105500.0
47,2016-03-14,12.0,12.09,11.58,11.76,10.200908,5368800.0
48,2016-03-15,11.71,11.94,10.8,10.83,9.394202,7874500.0
49,2016-03-16,10.72,11.84,10.69,11.33,9.827914,8859100.0
50,2016-03-17,11.01,12.4,11.01,12.0,10.409088,11192500.0
51,2016-03-18,12.26,12.29,11.85,11.95,10.365717,4832300.0
52,2016-03-21,12.0,12.1,11.59,11.59,10.053445,4521100.0
53,2016-03-22,11.5,11.68,11.15,11.15,9.671779,5745400.0
54,2016-03-23,11.17,11.39,11.07,11.16,9.680452,4436900.0
55,2016-03-24,11.12,11.12,10.73,10.91,9.463596,5102100.0
56,2016-03-28,11.14,11.2,10.58,10.78,9.350831,5246200.0
57,2016-03-29,10.89,11.3,10.6,10.61,9.20337,6096300.0
58,2016-03-30,10.82,11.01,10.54,10.62,9.212045,5933900.0
59,2016-03-31,10.89,10.89,10.89,10.89,9.446249,20300.0
60,2016-04-01,10.77,10.77,10.77,10.77,9.342157,17800.0
61,2016-04-04,9.97,9.97,9.97,9.97,8.648218,66300.0
62,2016-04-05,9.82,9.82,9.82,9.82,8.518105,51000.0
63,2016-04-06,9.92,9.92,9.92,9.92,8.604847,22500.0
64,2016-04-07,10.23,10.23,10.23,10.23,8.873749,25600.0
65,2016-04-08,10.39,10.39,9.52,9.62,8.344621,9408600.0
66,2016-04-11,9.15,9.15,9.15,9.15,7.936931,115000.0
67,2016-04-12,9.16,9.16,9.16,9.16,7.945604,26600.0
68,2016-04-13,9.08,9.08,9.08,9.08,7.876211,102100.0
69,2016-04-14,9.16,9.9,9.07,9.75,8.457386,6663300.0
70,2016-04-15,9.8,9.86,9.44,9.65,8.370642,7256800.0
71,2016-04-18,9.72,9.76,9.31,9.45,8.197158,6384600.0
72,2016-04-19,9.68,9.68,9.68,9.68,8.396665,7000.0
73,2016-04-20,9.56,9.65,9.35,9.4,8.153785,4635700.0
74,2016-04-22,9.3,9.4,8.75,8.93,7.746098,8477700.0
75,2016-04-25,9.0,9.37,9.0,9.25,8.023673,5266600.0
76,2016-04-26,9.38,9.42,9.16,9.4,8.153785,4078000.0
77,2016-04-27,9.42,9.5,9.09,9.2,7.980301,7033600.0
78,2016-04-28,9.3,9.54,9.1,9.17,7.954278,9837300.0
79,2016-04-29,9.23,9.3,9.04,9.04,7.841514,7907500.0
80,2016-05-02,8.88,9.16,8.64,8.81,8.000859,4970800.0
81,2016-05-03,8.78,8.92,8.49,8.55,7.764739,7185900.0
82,2016-05-04,8.6,9.11,8.5,9.05,8.218816,7370300.0
83,2016-05-05,9.1,9.17,8.6,8.85,8.037185,5981600.0
84,2016-05-06,8.71,9.0,8.64,8.85,8.037185,5777700.0
85,2016-05-09,8.55,8.64,8.2,8.47,7.692085,11924600.0
86,2016-05-10,8.55,8.97,8.4,8.93,8.109838,7594700.0
87,2016-05-11,9.04,9.13,8.62,8.71,7.910042,6597200.0
88,2016-05-12,9.3,11.11,9.25,10.54,9.571969,41245200.0
89,2016-05-13,10.6,10.62,9.96,10.5,9.535643,13289200.0
90,2016-05-16,10.51,12.23,10.42,12.22,11.097671,22418900.0
91,2016-05-17,12.56,12.9,11.49,11.65,10.580022,22972500.0
92,2016-05-18,11.49,12.19,11.33,11.65,10.580022,17127900.0
93,2016-05-19,11.6,11.75,10.94,11.23,10.198595,11576400.0
94,2016-05-20,11.6,11.65,10.73,11.0,9.989719,9418900.0
95,2016-05-23,10.8,10.99,10.41,10.55,9.58105,12566500.0
