,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.25,1.25,1.18,1.2,1.014654,177600.0
1,2016-01-05,1.22,1.22,1.18,1.2,1.014654,40700.0
2,2016-01-06,1.18,1.24,1.15,1.19,1.006198,165800.0
3,2016-01-07,1.16,1.21,1.16,1.21,1.023109,48100.0
4,2016-01-08,1.21,1.21,1.17,1.21,1.023109,159400.0
5,2016-01-11,1.21,1.21,1.17,1.2,1.014654,137100.0
6,2016-01-12,1.24,1.24,1.17,1.2,1.014654,48700.0
7,2016-01-13,1.2,1.21,1.09,1.09,0.921644,223600.0
8,2016-01-14,1.12,1.12,1.06,1.1,0.930099,167800.0
9,2016-01-15,1.09,1.1,1.05,1.08,0.913188,219700.0
10,2016-01-18,1.07,1.12,1.04,1.12,0.94701,188700.0
11,2016-01-19,1.14,1.21,1.11,1.18,0.997743,364400.0
12,2016-01-20,1.17,1.27,1.12,1.27,1.073842,437700.0
13,2016-01-21,1.28,1.28,1.21,1.26,1.065386,179100.0
14,2016-01-22,1.25,1.26,1.21,1.22,1.031565,113900.0
15,2016-01-26,1.2,1.21,1.15,1.15,0.972377,133100.0
16,2016-01-27,1.17,1.25,1.15,1.19,1.006198,108700.0
17,2016-01-28,1.19,1.22,1.16,1.18,0.997743,55100.0
18,2016-01-29,1.2,1.27,1.18,1.25,1.056931,217900.0
19,2016-02-01,1.27,1.29,1.22,1.25,1.056931,190400.0
20,2016-02-02,1.24,1.26,1.21,1.25,1.056931,90100.0
21,2016-02-03,1.28,1.28,1.22,1.26,1.065386,72200.0
22,2016-02-04,1.27,1.45,1.27,1.35,1.141486,650800.0
23,2016-02-05,1.38,1.42,1.33,1.38,1.166852,105500.0
24,2016-02-10,1.4,1.43,1.31,1.35,1.141486,189700.0
25,2016-02-11,1.32,1.33,1.25,1.28,1.082297,228200.0
26,2016-02-12,1.28,1.28,1.24,1.28,1.082297,74300.0
27,2016-02-15,1.27,1.29,1.23,1.25,1.056931,81200.0
28,2016-02-16,1.28,1.3,1.24,1.28,1.082297,301400.0
29,2016-02-17,1.28,1.33,1.24,1.28,1.082297,273500.0
30,2016-02-18,1.25,1.29,1.2,1.21,1.023109,253300.0
31,2016-02-19,1.2,1.25,1.17,1.24,1.048476,276300.0
32,2016-02-22,1.24,1.28,1.24,1.28,1.082297,100600.0
33,2016-02-23,1.26,1.28,1.22,1.27,1.073842,139300.0
34,2016-02-24,1.26,1.27,1.21,1.24,1.048476,108800.0
35,2016-02-25,1.22,1.26,1.16,1.22,1.031565,439900.0
36,2016-02-26,1.22,1.23,1.18,1.18,0.997743,871700.0
