,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-10,9.65,9.98,9.22,9.49,9.362725,2780800.0
1,2020-09-11,9.3,9.57,9.0,9.12,8.997688,835100.0
2,2020-09-14,9.12,9.27,9.12,9.2,9.076614,496100.0
3,2020-09-15,9.5,9.5,9.05,9.2,9.076614,626300.0
4,2020-09-16,9.8,9.8,9.2,9.3,9.175274,264700.0
5,2020-09-17,9.25,9.46,9.13,9.35,9.224604,1084500.0
6,2020-09-18,9.35,9.4,8.82,9.05,8.928627,748500.0
7,2020-09-21,9.2,9.2,8.71,8.87,8.75104,441600.0
8,2020-09-22,8.91,9.12,8.7,8.77,8.652383,339300.0
9,2020-09-23,8.77,9.19,8.41,8.65,8.533991,267000.0
10,2020-09-24,8.65,8.7,7.91,8.6,8.484662,368700.0
11,2020-09-25,8.5,8.5,8.3,8.5,8.386003,350600.0
12,2020-09-28,8.8,8.92,7.95,8.15,8.040696,247600.0
13,2020-09-29,8.3,8.3,8.05,8.12,8.011099,702700.0
14,2020-09-30,8.14,8.7,8.07,8.33,8.218283,379100.0
15,2020-10-01,8.33,8.52,8.18,8.3,8.188685,478500.0
16,2020-10-02,8.3,8.3,8.02,8.2,8.090027,253600.0
17,2020-10-05,8.21,8.43,8.06,8.2,8.090027,459800.0
18,2020-10-06,8.2,8.6,8.2,8.44,8.326807,271600.0
19,2020-10-07,8.6,8.89,8.15,8.6,8.484662,462600.0
20,2020-10-08,8.6,9.4,8.6,9.15,9.027286,494600.0
21,2020-10-09,9.33,9.65,8.41,9.32,9.195004,991300.0
22,2020-10-13,9.2,9.2,8.92,9.0,8.879297,171000.0
23,2020-10-14,9.15,9.15,8.92,9.05,8.928627,56400.0
24,2020-10-15,9.1,9.11,8.93,8.97,8.8497,60400.0
25,2020-10-16,9.0,9.0,8.27,8.47,8.356405,115200.0
26,2020-10-19,8.65,9.04,8.4,8.43,8.316942,508300.0
27,2020-10-20,8.58,8.59,8.32,8.52,8.405735,79700.0
28,2020-10-21,8.9,9.19,8.83,8.95,8.829967,42900.0
29,2020-10-22,8.88,9.38,8.88,9.14,9.01742,201800.0
30,2020-10-23,9.2,9.33,9.1,9.1,8.977956,139400.0
31,2020-10-26,9.15,9.2,9.0,9.07,8.948358,35500.0
32,2020-10-27,9.19,9.19,9.01,9.01,8.889164,27600.0
33,2020-10-28,8.9,8.9,8.56,8.74,8.622784,365500.0
34,2020-10-29,8.89,8.89,8.4,8.8,8.68198,120000.0
35,2020-10-30,8.7,9.35,8.52,8.52,8.405735,136800.0
36,2020-11-03,9.2,9.2,8.72,9.0,8.879297,120000.0
37,2020-11-04,9.13,9.15,8.91,8.92,8.80037,585700.0
38,2020-11-05,9.05,9.05,8.84,8.84,8.721443,33500.0
39,2020-11-06,8.81,9.3,8.8,9.03,8.908895,70500.0
40,2020-11-09,9.34,9.46,8.92,8.96,8.839833,46100.0
41,2020-11-10,9.34,9.4,9.03,9.1,8.977956,21900.0
42,2020-11-11,9.3,10.0,8.6,9.27,9.145677,100700.0
43,2020-11-12,9.35,9.85,9.35,9.67,9.540311,91800.0
44,2020-11-13,9.84,9.99,9.66,9.91,9.777093,66700.0
45,2020-11-16,9.94,10.0,9.73,9.78,9.648836,65700.0
46,2020-11-17,9.9,10.01,9.8,9.86,9.727763,42300.0
47,2020-11-18,9.82,9.84,9.56,9.75,9.619239,71400.0
48,2020-11-19,9.7,9.88,9.56,9.65,9.520579,60600.0
49,2020-11-23,10.01,10.25,9.7,9.85,9.717897,203700.0
50,2020-11-24,9.81,9.95,9.81,9.85,9.717897,163200.0
51,2020-11-25,9.85,9.97,9.85,9.95,9.816556,55900.0
52,2020-11-26,9.95,10.0,9.87,9.88,9.747495,48000.0
53,2020-11-27,9.82,9.99,9.82,9.95,9.816556,134300.0
54,2020-11-30,9.95,10.4,9.85,10.15,10.013874,142200.0
55,2020-12-01,10.1,10.42,10.02,10.11,9.97441,177600.0
56,2020-12-02,10.06,10.39,9.9,9.94,9.80669,193600.0
57,2020-12-03,10.14,10.14,9.91,9.95,9.816556,177200.0
58,2020-12-04,9.96,10.0,9.83,9.83,9.698166,133400.0
59,2020-12-07,9.99,10.17,9.86,10.1,9.964545,112700.0
60,2020-12-08,10.11,10.75,9.96,10.75,10.605827,1315700.0
61,2020-12-09,10.75,10.99,10.5,10.7,10.556498,845400.0
62,2020-12-10,10.94,10.98,10.6,10.94,10.793279,112200.0
63,2020-12-11,10.83,11.0,10.67,11.0,10.852474,205400.0
64,2020-12-14,11.04,11.5,10.71,10.99,10.842608,353800.0
65,2020-12-15,10.99,11.27,10.71,10.8,10.655156,343500.0
66,2020-12-16,10.81,10.9,10.71,10.84,10.694621,152900.0
67,2020-12-17,10.87,10.96,10.53,10.71,10.566364,230600.0
