,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,16.200001,16.200001,15.35,15.35,11.584509,23300.0
1,2016-01-05,15.5,15.5,15.22,15.22,11.4864,5800.0
2,2016-01-06,15.25,15.25,14.69,14.69,11.086413,11500.0
3,2016-01-07,14.5,14.5,13.67,14.12,10.65624,32300.0
4,2016-01-08,14.29,14.59,14.03,14.41,10.875099,41900.0
5,2016-01-11,14.41,14.6,13.9,14.35,10.82982,13300.0
6,2016-01-12,14.6,14.6,13.56,13.56,10.233613,75600.0
7,2016-01-13,13.43,13.43,11.3,11.42,8.618572,240900.0
8,2016-01-14,11.65,11.65,10.8,11.4,8.603479,34000.0
9,2016-01-15,11.1,11.6,11.02,11.6,8.754418,11700.0
10,2016-01-18,11.6,11.87,11.5,11.75,8.867621,6100.0
11,2016-01-19,11.79,12.79,11.75,12.5,9.43364,43600.0
12,2016-01-20,12.1,12.1,11.49,11.8,8.905356,45000.0
13,2016-01-21,11.83,12.06,11.62,11.75,8.867621,46000.0
14,2016-01-22,11.93,12.4,11.71,12.4,9.35817,19500.0
15,2016-01-26,11.92,12.28,11.9,12.0,9.056295,34600.0
16,2016-01-27,11.99,12.59,11.9,12.29,9.275154,43500.0
17,2016-01-28,12.24,12.37,12.02,12.02,9.071388,16500.0
18,2016-01-29,12.1,12.25,11.99,12.0,9.056295,25400.0
19,2016-02-01,12.03,12.29,11.99,11.99,9.048747,11800.0
20,2016-02-02,12.0,12.33,11.71,11.88,8.965731,14300.0
21,2016-02-03,11.95,12.09,11.7,12.0,9.056295,26100.0
22,2016-02-04,12.0,12.76,11.88,12.0,9.056295,94900.0
23,2016-02-05,12.01,12.1,11.8,11.8,8.905356,11300.0
24,2016-02-10,11.63,11.87,11.51,11.87,8.958184,4200.0
25,2016-02-11,11.6,11.7,11.5,11.55,8.716683,14500.0
26,2016-02-12,11.69,12.3,11.37,12.3,9.282701,21100.0
27,2016-02-15,12.02,12.1,11.66,11.7,8.829887,53700.0
28,2016-02-16,12.0,12.12,11.81,11.81,8.912903,12800.0
29,2016-02-17,12.0,12.44,11.83,12.03,9.078935,85500.0
30,2016-02-18,12.19,12.22,12.0,12.0,9.056295,10000.0
31,2016-02-19,12.0,12.2,11.96,12.0,9.056295,9400.0
32,2016-02-22,12.39,12.4,12.12,12.25,9.244967,18400.0
33,2016-02-23,12.11,12.51,12.05,12.2,9.207232,15200.0
