,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-08-16,8.1,9.46,7.67,8.0,8.0,1141500
1,2021-08-17,8.1,8.17,6.79,8.0,8.0,680600
2,2021-08-18,7.98,8.55,7.63,8.08,8.08,243400
3,2021-08-19,7.99,8.31,7.55,8.15,8.15,123200
4,2021-08-20,8.05,8.39,7.78,8.1,8.1,515800
5,2021-08-23,8.16,8.16,7.54,7.65,7.65,289500
6,2021-08-24,7.84,7.84,7.53,7.54,7.54,187900
7,2021-08-25,7.5,7.57,7.4,7.5,7.5,212300
8,2021-08-26,7.4,7.57,7.07,7.3,7.3,536500
9,2021-08-27,7.3,7.5,7.21,7.5,7.5,494700
10,2021-08-30,7.6,7.83,7.41,7.56,7.56,334500
11,2021-08-31,7.52,7.53,7.28,7.53,7.53,224600
12,2021-09-01,7.53,7.78,7.5,7.6,7.6,854700
13,2021-09-02,7.67,7.97,7.26,7.45,7.45,825200
14,2021-09-03,7.45,7.79,7.2,7.79,7.79,924000
15,2021-09-06,7.65,7.98,7.62,7.98,7.98,164500
16,2021-09-08,7.83,7.98,7.48,7.98,7.98,162400
17,2021-09-09,7.9,8.34,7.79,8.1,8.1,86900
18,2021-09-10,8.0,8.38,7.75,8.12,8.12,106100
19,2021-09-13,8.08,8.2,7.85,7.88,7.88,236000
20,2021-09-14,7.88,8.05,7.88,7.88,7.88,115200
21,2021-09-15,7.86,7.98,7.84,7.93,7.93,92100
22,2021-09-16,7.86,7.94,7.73,7.74,7.74,53400
23,2021-09-17,7.75,7.83,7.65,7.7,7.7,55400
24,2021-09-20,7.6,7.69,7.12,7.69,7.69,291200
25,2021-09-21,7.69,7.97,7.54,7.9,7.9,37600
26,2021-09-22,7.9,7.97,7.74,7.8,7.8,163200
27,2021-09-23,7.97,7.97,7.55,7.65,7.65,135800
28,2021-09-24,7.7,8.29,7.61,7.65,7.65,232000
29,2021-09-27,7.67,7.67,7.3,7.3,7.3,237300
30,2021-09-28,7.25,7.25,6.91,6.92,6.92,197900
31,2021-09-29,6.95,7.1,6.89,6.9,6.9,82400
32,2021-09-30,7.32,7.32,7.01,7.1,7.1,436600
33,2021-10-01,7.12,7.2,6.92,7.1,7.1,229700
34,2021-10-04,7.08,7.14,6.81,6.85,6.85,168300
35,2021-10-05,6.88,6.99,6.65,6.75,6.75,108900
36,2021-10-06,6.67,6.8,6.24,6.75,6.75,45200
37,2021-10-07,6.85,6.95,6.66,6.79,6.79,21100
38,2021-10-08,6.66,6.97,6.53,6.62,6.62,108500
39,2021-10-11,6.75,7.45,6.67,7.45,7.45,178800
40,2021-10-13,7.52,7.61,7.12,7.25,7.25,521300
41,2021-10-14,7.27,7.39,6.91,7.39,7.39,280000
42,2021-10-15,7.45,7.5,7.15,7.5,7.5,307600
43,2021-10-18,7.2,7.35,7.14,7.2,7.2,340500
44,2021-10-19,7.3,7.33,6.98,7.0,7.0,252500
45,2021-10-20,7.17,7.17,6.95,7.05,7.05,609100
46,2021-10-21,7.1,7.1,6.65,6.87,6.87,281300
47,2021-10-22,6.8,6.89,6.44,6.5,6.5,205100
