,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-03,8.75,9.19,8.71,8.86,8.038931,6823600.0
1,2020-09-04,8.91,8.95,8.35,8.63,7.830246,4466000.0
2,2020-09-08,8.5,8.5,8.21,8.27,7.503608,2424200.0
3,2020-09-09,8.3,8.41,8.11,8.27,7.503608,2285500.0
4,2020-09-10,8.27,8.35,8.1,8.2,7.440094,1459400.0
5,2020-09-11,8.2,8.22,7.88,7.93,7.195116,1700200.0
6,2020-09-14,8.0,8.26,7.94,8.12,7.367508,2456700.0
7,2020-09-15,8.12,8.14,7.84,8.05,7.303996,1367400.0
8,2020-09-16,7.97,8.35,7.9,8.2,7.440094,4338600.0
9,2020-09-17,8.2,8.24,8.06,8.09,7.340289,1293300.0
10,2020-09-18,8.09,8.09,7.62,8.05,7.303996,1999600.0
11,2020-09-21,7.8,8.0,7.36,8.0,7.258629,2530900.0
12,2020-09-22,8.0,8.06,7.63,7.8,7.077164,3820400.0
13,2020-09-23,7.93,7.93,7.6,7.74,7.022723,1118600.0
14,2020-09-24,7.74,7.98,7.64,7.92,7.186043,1256100.0
15,2020-09-25,7.9,7.96,7.73,7.9,7.167896,2069200.0
16,2020-09-28,7.9,8.19,7.78,7.93,7.195116,1810400.0
17,2020-09-29,7.93,8.04,7.54,7.54,6.841258,2260600.0
18,2020-09-30,7.61,8.0,7.45,8.0,7.258629,1176500.0
19,2020-10-01,8.0,8.1,7.75,8.1,7.349362,1658300.0
20,2020-10-02,8.0,8.29,7.98,8.1,7.349362,685500.0
21,2020-10-05,8.01,8.01,7.68,7.94,7.204189,1420200.0
22,2020-10-06,7.91,8.17,7.8,7.92,7.186043,985600.0
23,2020-10-07,7.92,7.92,7.47,7.47,6.777744,2158400.0
24,2020-10-08,7.57,7.94,7.21,7.94,7.204189,2613100.0
25,2020-10-09,7.79,8.15,7.57,7.77,7.049943,1453900.0
26,2020-10-13,7.77,7.85,7.54,7.85,7.12253,877100.0
27,2020-10-14,7.89,8.04,7.66,7.89,7.158823,1103700.0
28,2020-10-15,8.0,8.11,7.65,7.8,7.077164,1994200.0
29,2020-10-16,7.82,8.18,7.75,7.9,7.167896,1328500.0
