,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.156666,1.156666,1.13,1.13,0.900962,197100.0
1,2016-01-05,1.13,1.17,1.12,1.17,0.932855,461700.0
2,2016-01-06,1.16,1.166666,1.153333,1.166666,0.930196,2400.0
3,2016-01-07,1.146666,1.16,1.126666,1.16,0.924882,19200.0
4,2016-01-08,1.153333,1.153333,1.073333,1.146666,0.91425,90300.0
5,2016-01-11,1.133333,1.133333,1.096666,1.116666,0.890331,89400.0
6,2016-01-12,1.1,1.146666,1.093333,1.133333,0.90362,951900.0
7,2016-01-13,1.126666,1.126666,1.1,1.116666,0.890331,126000.0
8,2016-01-14,1.113333,1.146666,1.113333,1.14,0.908935,30300.0
9,2016-01-15,1.126666,1.14,1.116666,1.116666,0.890331,35400.0
10,2016-01-18,1.116666,1.163333,1.116666,1.163333,0.927539,21600.0
11,2016-01-19,1.14,1.15,1.116666,1.116666,0.890331,118800.0
12,2016-01-20,1.166666,1.166666,1.063333,1.083333,0.863754,384900.0
13,2016-01-21,1.143333,1.143333,1.043333,1.083333,0.863754,104400.0
14,2016-01-22,1.076666,1.076666,1.066666,1.066666,0.850465,96900.0
15,2016-01-26,1.083333,1.083333,1.046666,1.046666,0.834519,558900.0
16,2016-01-27,1.046666,1.05,1.0,1.0,0.797312,17100.0
17,2016-01-28,1.026666,1.04,1.016666,1.026666,0.818573,11700.0
18,2016-01-29,1.033333,1.043333,0.98,1.01,0.805285,99300.0
19,2016-02-01,1.01,1.01,1.01,1.01,0.805285,3000.0
20,2016-02-02,0.996666,1.0,0.99,0.996666,0.794654,36600.0
21,2016-02-03,0.993333,0.993333,0.95,0.95,0.757446,99600.0
22,2016-02-04,0.95,0.966666,0.93,0.93,0.7415,108000.0
23,2016-02-05,0.956666,1.046666,0.956666,1.046666,0.834519,35700.0
24,2016-02-10,1.046666,1.08,1.043333,1.06,0.84515,3900.0
25,2016-02-11,1.066666,1.08,1.066666,1.08,0.861097,900.0
26,2016-02-12,1.08,1.08,1.08,1.08,0.861097,600.0
27,2016-02-15,1.08,1.08,1.08,1.08,0.861097,0.0
28,2016-02-16,1.05,1.133333,1.05,1.123333,0.895647,73800.0
29,2016-02-17,1.123333,1.123333,1.123333,1.123333,0.895647,4500.0
30,2016-02-18,1.123333,1.123333,1.123333,1.123333,0.895647,120000.0
31,2016-02-19,1.1,1.123333,1.1,1.123333,0.895647,252000.0
32,2016-02-22,1.123333,1.123333,1.123333,1.123333,0.895647,42000.0
33,2016-02-23,1.12,1.123333,1.12,1.123333,0.895647,9900.0
34,2016-02-24,1.15,1.15,1.133333,1.136666,0.906277,633900.0
35,2016-02-25,1.136666,1.136666,1.136666,1.136666,0.906277,4500.0
36,2016-02-26,1.133333,1.136666,1.133333,1.136666,0.906277,11100.0
37,2016-02-29,1.13,1.13,1.13,1.13,0.900962,600.0
38,2016-03-01,1.116666,1.123333,1.116666,1.123333,0.895647,4800.0
39,2016-03-02,1.136666,1.15,1.133333,1.133333,0.90362,98400.0
40,2016-03-03,1.133333,1.166666,1.116666,1.166666,0.930196,54900.0
41,2016-03-04,1.166666,1.173333,1.16,1.16,0.924882,35700.0
42,2016-03-07,1.156666,1.156666,1.156666,1.156666,0.922223,3900.0
43,2016-03-08,1.153333,1.156666,1.153333,1.156666,0.922223,95100.0
44,2016-03-09,1.166666,1.2,1.166666,1.186666,0.946143,102900.0
45,2016-03-10,1.176666,1.186666,1.166666,1.186666,0.946143,52800.0
46,2016-03-11,1.183333,1.186666,1.166666,1.176666,0.93817,14100.0
47,2016-03-14,1.18,1.2,1.116666,1.123333,0.895647,574500.0
48,2016-03-15,1.133333,1.173333,1.133333,1.163333,0.927539,440700.0
49,2016-03-16,1.176666,1.176666,1.143333,1.163333,0.927539,1501200.0
50,2016-03-17,1.156666,1.166666,1.156666,1.166666,0.930196,36600.0
51,2016-03-18,1.166666,1.166666,1.166666,1.166666,0.930196,900.0
52,2016-03-21,1.166666,1.216666,1.166666,1.186666,0.946143,16800.0
53,2016-03-22,1.2,1.2,1.166666,1.2,0.956774,202800.0
54,2016-03-23,1.223333,1.223333,1.216666,1.216666,0.970062,900.0
55,2016-03-24,1.216666,1.28,1.2,1.233333,0.983351,607800.0
56,2016-03-28,1.263333,1.266666,1.24,1.25,0.99664,158400.0
57,2016-03-29,1.27,1.27,1.263333,1.266666,1.009928,21000.0
58,2016-03-30,1.266666,1.283333,1.266666,1.266666,1.009928,17100.0
59,2016-03-31,1.266666,1.35,1.266666,1.346666,1.073713,548700.0
60,2016-04-01,1.35,1.35,1.316666,1.32,1.052451,28500.0
61,2016-04-04,1.32,1.336666,1.32,1.333333,1.063082,383700.0
62,2016-04-05,1.323333,1.323333,1.32,1.32,1.052451,12000.0
63,2016-04-06,1.293333,1.293333,1.233333,1.25,0.99664,54900.0
64,2016-04-07,1.266666,1.29,1.266666,1.266666,1.009928,76800.0
65,2016-04-08,1.333333,1.333333,1.24,1.27,1.012586,248400.0
66,2016-04-11,1.306666,1.35,1.303333,1.34,1.068398,19500.0
67,2016-04-12,1.373333,1.373333,1.333333,1.363333,1.087001,17400.0
68,2016-04-13,1.373333,1.4,1.366666,1.383333,1.102947,324000.0
69,2016-04-14,1.416666,1.47,1.416666,1.45,1.156102,450600.0
70,2016-04-15,1.403333,1.466666,1.383333,1.413333,1.126867,9900.0
71,2016-04-18,1.466666,1.466666,1.426666,1.433333,1.142813,94200.0
72,2016-04-19,1.416666,1.43,1.4,1.43,1.140156,64200.0
73,2016-04-20,1.43,1.45,1.43,1.45,1.156102,753600.0
74,2016-04-22,1.44,1.446666,1.41,1.446666,1.153443,9300.0
75,2016-04-25,1.423333,1.463333,1.423333,1.463333,1.166732,1200.0
76,2016-04-26,1.466666,1.466666,1.466666,1.466666,1.16939,4500.0
77,2016-04-27,1.463333,1.5,1.45,1.463333,1.166732,23100.0
78,2016-04-28,1.483333,1.533333,1.483333,1.5,1.195967,340200.0
79,2016-04-29,1.533333,1.533333,1.483333,1.496666,1.193309,65400.0
80,2016-05-02,1.5,1.5,1.483333,1.5,1.195967,104100.0
81,2016-05-03,1.52,1.563333,1.52,1.526666,1.217229,50700.0
82,2016-05-04,1.526666,1.583333,1.526666,1.57,1.251779,8400.0
83,2016-05-05,1.58,1.663333,1.58,1.663333,1.326195,50400.0
84,2016-05-06,1.496666,1.643333,1.496666,1.63,1.299618,49500.0
85,2016-05-09,1.616666,1.616666,1.566666,1.61,1.283672,19800.0
86,2016-05-10,1.633333,1.7,1.63,1.666666,1.328852,199500.0
87,2016-05-11,1.683333,1.693333,1.65,1.666666,1.328852,236400.0
88,2016-05-12,1.646666,1.65,1.633333,1.65,1.315564,7200.0
89,2016-05-13,1.65,1.65,1.65,1.65,1.315564,0.0
90,2016-05-16,1.633333,1.633333,1.583333,1.583333,1.26241,83700.0
91,2016-05-17,1.613333,1.613333,1.596666,1.61,1.283672,66600.0
92,2016-05-18,1.61,1.69,1.566666,1.69,1.347457,48600.0
93,2016-05-19,1.716666,1.716666,1.566666,1.63,1.299618,688200.0
94,2016-05-20,1.633333,1.666666,1.633333,1.666666,1.328852,18900.0
95,2016-05-23,1.646666,1.666666,1.606666,1.63,1.299618,22200.0
96,2016-05-24,1.633333,1.673333,1.616666,1.673333,1.334168,48000.0
97,2016-05-25,1.7,1.7,1.67,1.673333,1.334168,92400.0
98,2016-05-27,1.73,1.73,1.623333,1.633333,1.302276,41100.0
99,2016-05-30,1.613333,1.613333,1.613333,1.613333,1.286329,4500.0
100,2016-05-31,1.613333,1.7,1.613333,1.7,1.35543,72600.0
101,2016-06-01,1.7,1.7,1.7,1.7,1.35543,0.0
102,2016-06-02,1.666666,1.666666,1.61,1.61,1.283672,31200.0
103,2016-06-03,1.533333,1.603333,1.533333,1.603333,1.278356,128700.0
104,2016-06-06,1.57,1.576666,1.506666,1.53,1.219887,17100.0
105,2016-06-07,1.55,1.593333,1.55,1.586666,1.265067,10500.0
106,2016-06-08,1.59,1.6,1.59,1.6,1.275699,54300.0
107,2016-06-09,1.593333,1.6,1.566666,1.596666,1.273041,1537200.0
108,2016-06-10,1.566666,1.566666,1.566666,1.566666,1.249121,5100.0
109,2016-06-13,1.623333,1.626666,1.62,1.62,1.291645,2100.0
110,2016-06-14,1.623333,1.623333,1.586666,1.61,1.283672,7200.0
111,2016-06-15,1.606666,1.606666,1.58,1.596666,1.273041,183000.0
112,2016-06-16,1.566666,1.596666,1.566666,1.596666,1.273041,5700.0
113,2016-06-17,1.596666,1.67,1.59,1.67,1.331511,392700.0
114,2016-06-20,1.693333,1.693333,1.67,1.673333,1.334168,6600.0
115,2016-06-21,1.606666,1.666666,1.606666,1.663333,1.326195,3000.0
116,2016-06-22,1.676666,1.686666,1.623333,1.683333,1.342141,24000.0
117,2016-06-23,1.676666,1.676666,1.65,1.666666,1.328852,9000.0
118,2016-06-24,1.603333,1.676666,1.603333,1.676666,1.336825,488100.0
