,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,24.450001,24.76,23.6,23.6,18.256624,210700.0
1,2016-01-05,23.809999,24.700001,23.459999,24.6,19.030207,275400.0
2,2016-01-06,24.610001,24.610001,23.780001,24.299999,18.79813,340700.0
3,2016-01-07,23.969999,24.280001,23.639999,24.0,18.566059,234700.0
4,2016-01-08,24.110001,24.719999,23.950001,24.59,19.022474,233500.0
5,2016-01-11,24.700001,24.799999,24.02,24.799999,19.184923,314500.0
6,2016-01-12,25.09,25.09,24.389999,24.389999,18.867752,157400.0
7,2016-01-13,24.51,24.76,23.91,24.43,18.898699,183800.0
8,2016-01-14,24.4,24.4,23.6,23.6,18.256624,173400.0
9,2016-01-15,23.6,23.780001,23.459999,23.59,18.248884,298900.0
10,2016-01-18,23.59,23.629999,23.0,23.379999,18.08643,75800.0
11,2016-01-19,23.469999,23.549999,22.700001,22.700001,17.560394,188600.0
12,2016-01-20,22.68,23.5,22.66,23.33,18.04775,434300.0
13,2016-01-21,23.43,23.950001,23.41,23.41,18.109642,255400.0
14,2016-01-22,23.709999,23.76,23.469999,23.700001,18.333979,145100.0
15,2016-01-26,23.469999,23.870001,23.459999,23.52,18.194738,140700.0
16,2016-01-27,23.620001,23.99,23.559999,23.700001,18.333979,85600.0
17,2016-01-28,23.58,23.93,23.52,23.75,18.37266,96200.0
18,2016-01-29,23.73,24.860001,23.73,24.27,18.774923,164200.0
19,2016-02-01,24.040001,25.27,23.75,25.110001,19.424736,126100.0
20,2016-02-02,25.049999,25.49,24.93,25.290001,19.563982,171600.0
21,2016-02-03,25.48,25.49,24.6,24.879999,19.246811,180100.0
22,2016-02-04,24.879999,25.129999,24.110001,24.24,18.751715,171200.0
23,2016-02-05,24.48,24.76,24.01,24.389999,18.867752,276200.0
24,2016-02-10,24.0,24.65,24.0,24.26,18.767189,63600.0
25,2016-02-11,24.280001,24.66,23.139999,23.299999,18.024546,511300.0
26,2016-02-12,23.83,23.950001,23.01,23.5,18.179262,220300.0
27,2016-02-15,23.690001,24.02,23.41,23.67,18.310774,104500.0
28,2016-02-16,23.889999,24.68,23.209999,23.360001,18.070961,372600.0
29,2016-02-17,23.370001,23.559999,22.870001,23.280001,18.009075,220500.0
30,2016-02-18,23.27,24.0,23.139999,23.639999,18.287565,410100.0
31,2016-02-19,23.48,24.040001,23.41,23.5,18.179262,367600.0
32,2016-02-22,23.77,24.33,23.620001,23.75,18.37266,203500.0
33,2016-02-23,23.75,24.67,23.719999,24.030001,18.589266,285900.0
34,2016-02-24,24.200001,24.93,22.9,23.969999,18.542845,247700.0
35,2016-02-25,23.9,25.24,23.9,24.93,19.285488,294200.0
36,2016-02-26,25.200001,25.290001,24.639999,24.700001,19.107565,144600.0
37,2016-02-29,24.85,25.389999,24.709999,24.9,19.262283,254900.0
38,2016-03-01,25.139999,26.33,25.0,25.76,19.927565,253600.0
39,2016-03-02,25.98,26.33,25.549999,25.65,19.842472,377100.0
40,2016-03-03,25.790001,25.809999,24.040001,24.040001,18.596998,343200.0
41,2016-03-04,24.370001,24.940001,22.049999,23.209999,17.954922,734100.0
42,2016-03-07,23.629999,23.83,23.219999,23.690001,18.326242,474000.0
43,2016-03-08,23.74,24.450001,23.629999,24.309999,18.805866,352000.0
44,2016-03-09,24.4,24.690001,23.950001,24.290001,18.790396,330600.0
45,2016-03-10,24.450001,24.700001,23.870001,24.08,18.627943,230700.0
46,2016-03-11,23.809999,24.27,23.809999,24.0,18.566059,97400.0
47,2016-03-14,23.809999,24.190001,23.52,23.58,18.24115,261600.0
48,2016-03-15,23.549999,24.370001,23.5,24.370001,18.852283,263200.0
49,2016-03-16,24.51,24.76,23.959999,24.02,18.581526,189200.0
50,2016-03-17,24.889999,24.889999,23.84,24.15,18.682095,219100.0
51,2016-03-18,24.190001,24.5,24.0,24.299999,18.79813,203000.0
52,2016-03-21,24.299999,24.299999,23.139999,23.139999,17.90077,432900.0
53,2016-03-22,23.16,23.280001,22.74,22.82,17.653223,740400.0
54,2016-03-23,22.959999,24.26,22.77,23.66,18.303034,915300.0
55,2016-03-24,23.860001,24.290001,23.469999,23.530001,18.202469,207000.0
56,2016-03-28,23.99,24.48,23.879999,24.1,18.643415,267700.0
57,2016-03-29,23.889999,24.620001,23.889999,24.200001,18.720772,220100.0
58,2016-03-30,24.209999,25.41,24.200001,24.959999,19.308695,299000.0
59,2016-03-31,24.879999,24.93,23.559999,23.559999,18.225674,361000.0
60,2016-04-01,23.799999,24.629999,23.32,24.389999,18.867752,414300.0
61,2016-04-04,24.18,24.18,23.030001,23.120001,17.885303,133200.0
62,2016-04-05,23.309999,23.66,22.790001,23.65,18.2953,361800.0
63,2016-04-06,23.5,23.58,22.92,23.01,17.800207,254700.0
64,2016-04-07,23.16,23.299999,22.889999,22.959999,17.76153,291000.0
65,2016-04-08,23.120001,23.99,22.879999,23.299999,18.024546,416300.0
66,2016-04-11,23.4,23.6,22.76,22.799999,17.637753,233200.0
67,2016-04-12,23.120001,23.120001,22.6,22.77,17.614548,155700.0
68,2016-04-13,23.18,23.18,22.66,22.969999,17.76926,139100.0
69,2016-04-14,23.309999,23.309999,22.559999,22.75,17.599073,138400.0
70,2016-04-15,22.84,23.33,22.719999,23.27,18.001341,245300.0
71,2016-04-18,23.389999,23.469999,22.93,23.1,17.869829,206600.0
72,2016-04-19,23.1,23.370001,22.940001,23.15,17.90851,240000.0
73,2016-04-20,23.389999,23.389999,22.889999,23.02,17.807941,104600.0
74,2016-04-22,22.98,23.68,22.98,23.5,18.179262,162900.0
75,2016-04-25,23.450001,24.15,23.41,23.959999,18.53511,136900.0
76,2016-04-26,24.219999,24.23,23.66,24.0,18.566059,126200.0
77,2016-04-27,24.299999,24.48,23.74,24.120001,18.658888,83300.0
78,2016-04-28,23.959999,23.959999,22.860001,23.280001,18.299788,300200.0
79,2016-04-29,23.469999,23.5,22.610001,22.629999,17.788839,200000.0
80,2016-05-02,22.99,23.690001,22.629999,23.17,18.213316,179300.0
81,2016-05-03,23.25,23.32,22.68,22.790001,17.914608,94600.0
82,2016-05-04,22.860001,23.01,22.639999,22.969999,18.056101,71900.0
83,2016-05-05,22.959999,23.1,22.42,22.459999,17.655201,131000.0
84,2016-05-06,22.459999,23.1,22.450001,22.790001,17.914608,236400.0
85,2016-05-09,22.73,22.93,21.85,22.219999,17.466545,249300.0
86,2016-05-10,22.540001,23.09,22.309999,23.0,18.079681,289400.0
87,2016-05-11,22.91,23.77,22.91,23.4,18.394112,164200.0
88,2016-05-12,23.85,25.0,23.809999,24.940001,19.604668,291700.0
