,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,9.54,9.54,8.69,8.74,8.344243,895800.0
1,2016-01-05,8.8,8.81,8.5,8.63,8.239224,814200.0
2,2016-01-06,8.52,8.64,8.33,8.54,8.1533,533700.0
3,2016-01-07,8.33,8.68,8.1,8.6,8.210584,858900.0
4,2016-01-08,8.56,8.73,8.35,8.41,8.029187,663900.0
5,2016-01-11,8.45,8.6,7.67,8.25,7.876431,750300.0
6,2016-01-12,8.14,8.29,7.9,8.0,7.637752,552500.0
7,2016-01-13,8.09,8.09,7.51,7.66,7.313148,746100.0
8,2016-01-14,7.73,7.81,7.39,7.81,7.456355,720200.0
9,2016-01-15,7.76,7.92,7.51,7.92,7.561375,604200.0
10,2016-01-18,7.9,7.9,7.25,7.3,6.969449,598200.0
11,2016-01-19,7.39,7.45,6.94,7.19,6.864429,954500.0
12,2016-01-20,6.97,7.19,6.83,7.0,6.683033,776500.0
13,2016-01-21,7.08,7.14,6.93,6.96,6.644845,650700.0
14,2016-01-22,7.03,7.11,6.97,7.11,6.788053,446700.0
15,2016-01-26,6.97,7.21,6.9,7.02,6.702127,539400.0
16,2016-01-27,7.03,7.35,7.03,7.29,6.959901,877400.0
17,2016-01-28,7.34,7.85,7.11,7.8,7.446808,845300.0
18,2016-01-29,7.89,8.17,7.8,8.12,7.752318,962900.0
19,2016-02-01,8.28,8.88,7.99,8.77,8.372886,1054900.0
20,2016-02-02,8.55,8.63,7.92,7.92,7.561375,743600.0
21,2016-02-03,7.98,8.09,7.59,7.87,7.513638,729900.0
22,2016-02-04,8.05,8.3,7.9,8.16,7.790507,288500.0
23,2016-02-05,8.29,8.95,8.17,8.93,8.52564,700300.0
24,2016-02-10,8.6,8.82,8.55,8.8,8.401527,401000.0
25,2016-02-11,8.5,8.59,8.43,8.59,8.201036,470600.0
26,2016-02-12,8.72,8.72,8.16,8.3,7.924168,682800.0
27,2016-02-15,8.42,8.49,8.11,8.16,7.790507,392900.0
28,2016-02-16,8.16,8.65,8.16,8.45,8.067374,577100.0
29,2016-02-17,8.52,9.27,8.44,9.21,8.792962,831600.0
30,2016-02-18,9.35,9.35,8.77,8.89,8.487453,688000.0
31,2016-02-19,8.81,9.0,8.73,8.83,8.430169,325500.0
32,2016-02-22,9.2,9.56,9.08,9.56,9.127114,560500.0
33,2016-02-23,9.51,9.59,8.91,9.03,8.621112,606400.0
34,2016-02-24,9.03,9.03,8.62,8.7,8.306055,668100.0
35,2016-02-25,8.71,8.79,8.1,8.15,7.78096,1086100.0
36,2016-02-26,8.18,8.36,7.9,7.9,7.542281,879900.0
37,2016-02-29,7.91,8.1,7.71,8.1,7.733224,1248000.0
38,2016-03-01,8.2,8.73,8.03,8.53,8.143752,951900.0
39,2016-03-02,8.62,8.93,8.42,8.75,8.353791,906400.0
40,2016-03-03,8.84,9.4,8.63,9.25,8.831151,2347400.0
41,2016-03-04,9.5,9.76,9.05,9.22,8.802508,1419900.0
42,2016-03-07,9.18,9.65,9.05,9.14,8.726132,1380200.0
43,2016-03-08,9.14,9.59,9.13,9.48,9.050735,798700.0
44,2016-03-09,9.6,10.51,9.6,9.94,9.489906,3375100.0
45,2016-03-10,10.05,10.55,10.03,10.33,9.862247,1848400.0
46,2016-03-11,10.34,10.79,10.05,10.79,10.301417,1273300.0
47,2016-03-14,10.79,10.79,9.97,10.2,9.738133,1181400.0
48,2016-03-15,10.04,10.04,9.06,9.5,9.069831,1347300.0
49,2016-03-16,9.46,9.46,8.05,8.73,8.334697,2712500.0
50,2016-03-17,9.15,9.51,8.73,9.35,8.926622,3119400.0
51,2016-03-18,9.3,9.77,9.26,9.49,9.060283,4379700.0
52,2016-03-21,9.57,9.91,9.55,9.74,9.298963,792000.0
53,2016-03-22,9.77,10.2,9.77,10.1,9.642663,1345500.0
54,2016-03-23,10.0,10.0,9.45,9.68,9.24168,1172300.0
55,2016-03-24,9.5,9.74,9.17,9.7,9.260774,684000.0
56,2016-03-28,9.87,10.33,9.7,10.21,9.747681,612600.0
57,2016-03-29,10.15,10.3,9.92,10.1,9.642663,926300.0
58,2016-03-30,10.15,10.62,9.92,10.17,9.709492,1215200.0
59,2016-03-31,10.12,10.24,9.62,9.92,9.470813,16500.0
60,2016-04-01,9.72,9.77,9.37,9.77,9.327605,900.0
61,2016-04-04,9.67,9.74,9.24,9.5,9.069831,1000.0
62,2016-04-05,9.41,9.47,8.91,9.0,8.592471,2100.0
63,2016-04-06,8.95,8.98,8.29,8.4,8.019639,4800.0
64,2016-04-07,8.51,8.57,7.95,8.1,7.733224,2800.0
65,2016-04-08,8.25,8.79,8.25,8.79,8.39198,1313300.0
66,2016-04-11,8.73,8.73,8.73,8.73,8.334697,1200.0
67,2016-04-12,9.01,9.04,8.56,8.9,8.496999,1600.0
68,2016-04-13,9.48,10.0,9.36,9.86,9.413529,13400.0
69,2016-04-14,9.96,10.11,9.51,9.6,9.165302,1069500.0
70,2016-04-15,9.75,9.98,9.7,9.8,9.356247,1151900.0
71,2016-04-18,9.9,9.9,9.51,9.76,9.318059,701800.0
72,2016-04-19,9.74,9.74,9.74,9.74,9.298963,1600.0
73,2016-04-20,9.74,9.83,9.52,9.65,9.213037,465200.0
74,2016-04-22,9.48,9.52,8.85,9.38,8.955265,3668800.0
75,2016-04-25,9.43,9.7,9.33,9.51,9.079378,1409300.0
76,2016-04-26,9.67,9.67,9.47,9.59,9.155755,1336400.0
77,2016-04-27,9.7,9.93,9.58,9.9,9.451717,1043700.0
