,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,5.450817,7.151472,5.450817,5.886882,5.886882,434774.0
1,2016-01-05,6.497374,6.497374,5.319997,5.450817,5.450817,349534.0
2,2016-01-06,5.494424,5.756063,5.014752,5.276391,5.276391,142203.0
3,2016-01-07,5.232784,5.232784,4.622293,4.622293,4.622293,115097.0
4,2016-01-08,4.753112,4.883932,4.360653,4.578686,4.578686,69095.0
5,2016-01-11,4.578686,4.578686,4.229834,4.229834,4.229834,44075.0
6,2016-01-12,4.229834,4.491473,4.186227,4.27344,4.27344,40452.0
7,2016-01-13,4.360653,4.447867,4.055408,4.055408,4.055408,235698.0
8,2016-01-14,4.142621,4.186227,3.837375,3.924588,3.924588,49419.0
9,2016-01-15,3.793768,3.880982,3.619342,3.750162,3.750162,56619.0
10,2016-01-18,3.793768,3.837375,3.706555,3.706555,3.706555,17887.0
11,2016-01-19,3.793768,3.793768,3.488523,3.619342,3.619342,38709.0
12,2016-01-20,3.750162,3.750162,3.183277,3.444916,3.444916,70310.0
13,2016-01-21,3.488523,3.488523,3.226883,3.226883,3.226883,86042.0
14,2016-01-22,3.27049,3.357703,2.965244,3.13967,3.13967,99870.0
15,2016-01-26,3.13967,3.40131,3.13967,3.13967,3.13967,55289.0
16,2016-01-27,3.183277,3.444916,3.183277,3.444916,3.444916,30064.0
17,2016-01-28,3.619342,3.619342,3.27049,3.575736,3.575736,236111.0
18,2016-01-29,3.575736,3.750162,3.444916,3.619342,3.619342,172267.0
19,2016-02-01,3.575736,4.229834,3.488523,4.055408,4.055408,186118.0
20,2016-02-02,3.968195,4.27344,3.706555,3.968195,3.968195,118239.0
21,2016-02-03,3.924588,3.924588,3.706555,3.924588,3.924588,141240.0
22,2016-02-04,3.924588,3.968195,3.750162,3.750162,3.750162,363959.0
23,2016-02-05,3.750162,3.880982,3.575736,3.750162,3.750162,35934.0
24,2016-02-10,3.750162,3.750162,3.40131,3.532129,3.532129,69209.0
25,2016-02-11,3.488523,3.532129,3.357703,3.357703,3.357703,45543.0
26,2016-02-12,3.40131,3.619342,3.357703,3.488523,3.488523,60036.0
27,2016-02-15,3.619342,3.619342,3.40131,3.40131,3.40131,21739.0
28,2016-02-16,3.444916,3.532129,3.40131,3.40131,3.40131,29192.0
29,2016-02-17,3.488523,3.793768,3.357703,3.662949,3.662949,143992.0
30,2016-02-18,3.750162,3.750162,3.488523,3.619342,3.619342,33251.0
31,2016-02-19,3.619342,3.706555,3.40131,3.575736,3.575736,39925.0
32,2016-02-22,3.662949,3.662949,3.357703,3.357703,3.357703,236111.0
33,2016-02-23,3.357703,3.357703,3.226883,3.314097,3.314097,125462.0
34,2016-02-24,3.27049,3.40131,3.226883,3.357703,3.357703,88174.0
35,2016-02-25,3.357703,3.488523,3.314097,3.488523,3.488523,153807.0
36,2016-02-26,3.444916,3.532129,3.357703,3.532129,3.532129,114501.0
37,2016-02-29,3.488523,3.793768,3.488523,3.750162,3.750162,201666.0
38,2016-03-01,3.750162,3.880982,3.575736,3.619342,3.619342,117298.0
39,2016-03-02,3.662949,3.793768,3.575736,3.750162,3.750162,59142.0
40,2016-03-03,3.662949,4.927539,3.662949,4.927539,4.927539,959466.0
41,2016-03-04,4.927539,5.53803,4.186227,4.40426,4.40426,215632.0
42,2016-03-07,4.360653,4.927539,4.360653,4.796719,4.796719,155320.0
43,2016-03-08,4.971145,5.145571,4.796719,4.927539,4.927539,74415.0
44,2016-03-09,4.927539,5.101965,4.665899,4.665899,4.665899,65036.0
