,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.227894,2.227894,2.168747,2.188463,2.188463,66646.0
1,2016-01-05,2.218036,2.2969,2.218036,2.267326,2.267326,27389.0
2,2016-01-06,2.287042,2.375763,2.287042,2.326474,2.326474,50416.0
3,2016-01-07,2.326474,2.405337,2.326474,2.375763,2.375763,1469880.0
4,2016-01-08,2.415195,2.454627,2.415195,2.425053,2.425053,61676.0
5,2016-01-11,2.474343,2.474343,2.415195,2.434911,2.434911,3144.0
6,2016-01-12,2.444769,2.612354,2.405337,2.612354,2.612354,408503.0
7,2016-01-13,2.661644,2.701076,2.602496,2.661644,2.661644,362753.0
8,2016-01-14,2.710933,2.770081,2.661644,2.710933,2.710933,63806.0
9,2016-01-15,2.710933,2.750365,2.661644,2.710933,2.710933,109759.0
10,2016-01-18,2.710933,2.730649,2.671502,2.701076,2.701076,9738.0
11,2016-01-19,2.691218,2.710933,2.691218,2.710933,2.710933,1318.0
12,2016-01-20,2.710933,2.720791,2.602496,2.612354,2.612354,27389.0
13,2016-01-21,2.612354,2.651786,2.533491,2.58278,2.58278,46257.0
14,2016-01-22,2.58278,2.58278,2.58278,2.58278,2.58278,0.0
15,2016-01-26,2.602496,2.602496,2.533491,2.553206,2.553206,85514.0
16,2016-01-27,2.563064,2.572922,2.543348,2.563064,2.563064,76080.0
17,2016-01-28,2.592638,2.612354,2.592638,2.612354,2.612354,30736.0
18,2016-01-29,2.622212,2.622212,2.602496,2.612354,2.612354,41590.0
19,2016-02-01,2.58278,2.58278,2.523633,2.523633,2.523633,21099.0
20,2016-02-02,2.533491,2.563064,2.464485,2.523633,2.523633,191622.0
21,2016-02-03,2.543348,2.563064,2.365906,2.365906,2.365906,60763.0
22,2016-02-04,2.415195,2.415195,2.306758,2.336332,2.336332,191013.0
23,2016-02-05,2.385621,2.444769,2.34619,2.365906,2.365906,43112.0
24,2016-02-10,2.375763,2.444769,2.365906,2.444769,2.444769,14506.0
25,2016-02-11,2.464485,2.503917,2.434911,2.503917,2.503917,31548.0
26,2016-02-12,2.484201,2.494059,2.434911,2.474343,2.474343,12883.0
27,2016-02-15,2.464485,2.494059,2.375763,2.385621,2.385621,26273.0
28,2016-02-16,2.415195,2.484201,2.365906,2.415195,2.415195,76385.0
29,2016-02-17,2.405337,2.484201,2.405337,2.484201,2.484201,34997.0
30,2016-02-18,2.474343,2.503917,2.454627,2.484201,2.484201,22418.0
31,2016-02-19,2.513775,2.543348,2.434911,2.434911,2.434911,22114.0
32,2016-02-22,2.494059,2.503917,2.434911,2.434911,2.434911,69487.0
33,2016-02-23,2.464485,2.464485,2.306758,2.375763,2.375763,42300.0
34,2016-02-24,2.356048,2.356048,2.188463,2.267326,2.267326,282716.0
35,2016-02-25,2.277184,2.365906,2.277184,2.34619,2.34619,39866.0
36,2016-02-26,2.336332,2.375763,2.326474,2.326474,2.326474,564113.0
37,2016-02-29,2.356048,2.415195,2.336332,2.415195,2.415195,37431.0
38,2016-03-01,2.425053,2.513775,2.425053,2.513775,2.513775,42503.0
39,2016-03-02,2.543348,2.671502,2.543348,2.671502,2.671502,42706.0
40,2016-03-03,2.641928,2.789797,2.63207,2.770081,2.770081,2089279.0
41,2016-03-04,2.819371,2.977098,2.819371,2.908092,2.908092,107121.0
42,2016-03-07,3.075677,3.154541,2.957382,3.055961,3.055961,47575.0
43,2016-03-08,3.075677,3.134825,2.819371,2.947524,2.947524,120511.0
44,2016-03-09,3.01653,3.115109,2.977098,2.977098,2.977098,59343.0
45,2016-03-10,3.095393,3.105251,3.026388,3.095393,3.095393,77196.0
46,2016-03-11,3.046103,3.105251,2.937666,2.957382,2.957382,105194.0
47,2016-03-14,3.006672,3.006672,2.799655,2.898234,2.898234,11259.0
48,2016-03-15,2.888376,2.996814,2.612354,2.701076,2.701076,33779.0
49,2016-03-16,2.661644,2.996814,2.661644,2.937666,2.937666,37228.0
50,2016-03-17,3.026388,3.144683,3.026388,3.036246,3.036246,170218.0
51,2016-03-18,3.115109,3.154541,2.809513,3.026388,3.026388,176203.0
52,2016-03-21,2.96724,3.095393,2.927808,2.957382,2.957382,22824.0
53,2016-03-22,2.957382,3.085535,2.957382,2.996814,2.996814,23635.0
54,2016-03-23,2.858803,2.868661,2.68136,2.710933,2.710933,45851.0
55,2016-03-24,2.760223,2.858803,2.760223,2.839087,2.839087,22519.0
56,2016-03-28,2.779939,2.868661,2.779939,2.868661,2.868661,2028.0
57,2016-03-29,2.868661,2.888376,2.740507,2.760223,2.760223,19882.0
58,2016-03-30,2.819371,2.819371,2.661644,2.661644,2.661644,14810.0
59,2016-03-31,2.68136,2.68136,2.464485,2.58278,2.58278,46257.0
60,2016-04-01,2.553206,2.661644,2.503917,2.661644,2.661644,32156.0
61,2016-04-04,2.691218,2.691218,2.58278,2.612354,2.612354,140090.0
62,2016-04-05,2.58278,2.612354,2.513775,2.513775,2.513775,18259.0
63,2016-04-06,2.503917,2.503917,2.2969,2.415195,2.415195,59647.0
64,2016-04-07,2.425053,2.425053,2.34619,2.415195,2.415195,406677.0
65,2016-04-08,2.464485,2.533491,2.444769,2.474343,2.474343,67356.0
66,2016-04-11,2.513775,2.592638,2.484201,2.543348,2.543348,22317.0
67,2016-04-12,2.58278,2.622212,2.553206,2.553206,2.553206,20389.0
68,2016-04-13,2.592638,2.829229,2.563064,2.809513,2.809513,189999.0
69,2016-04-14,2.819371,2.839087,2.730649,2.829229,2.829229,41489.0
70,2016-04-15,2.799655,2.868661,2.760223,2.760223,2.760223,25563.0
71,2016-04-18,2.760223,2.839087,2.740507,2.839087,2.839087,14708.0
72,2016-04-19,2.878518,2.898234,2.701076,2.730649,2.730649,691625.0
73,2016-04-20,2.839087,2.937666,2.513775,2.612354,2.612354,141003.0
74,2016-04-22,2.612354,2.730649,2.563064,2.701076,2.701076,44126.0
75,2016-04-25,2.68136,2.68136,2.622212,2.68136,2.68136,8723.0
76,2016-04-26,2.661644,2.661644,2.602496,2.63207,2.63207,22418.0
77,2016-04-27,2.651786,2.740507,2.651786,2.740507,2.740507,3043.0
78,2016-04-28,2.691218,2.858803,2.671502,2.848945,2.848945,75472.0
79,2016-04-29,2.760223,2.96724,2.750365,2.957382,2.957382,152668.0
80,2016-05-02,2.977098,2.977098,2.878518,2.91795,2.91795,48285.0
81,2016-05-03,2.829229,2.868661,2.760223,2.789797,2.789797,15013.0
82,2016-05-04,2.858803,2.858803,2.612354,2.661644,2.661644,100528.0
83,2016-05-05,2.710933,2.720791,2.612354,2.612354,2.612354,10651.0
84,2016-05-06,2.63207,2.671502,2.602496,2.622212,2.622212,209272.0
85,2016-05-09,2.671502,2.671502,2.563064,2.612354,2.612354,57314.0
86,2016-05-10,2.671502,2.750365,2.671502,2.750365,2.750365,105701.0
87,2016-05-11,2.789797,2.957382,2.789797,2.957382,2.957382,187665.0
88,2016-05-12,2.957382,3.25312,2.898234,3.25312,3.25312,164943.0
89,2016-05-13,3.223546,3.450279,3.184115,3.3517,3.3517,344798.0
90,2016-05-16,3.341842,3.479853,3.322126,3.420705,3.420705,559244.0
91,2016-05-17,3.469995,3.558716,3.193973,3.223546,3.223546,71921.0
92,2016-05-18,3.223546,3.341842,3.164399,3.341842,3.341842,46054.0
93,2016-05-19,3.30241,3.371416,3.124967,3.282694,3.282694,107730.0
94,2016-05-20,3.3517,3.400989,3.203831,3.213688,3.213688,79732.0
95,2016-05-23,3.134825,3.134825,3.036246,3.075677,3.075677,94948.0
96,2016-05-24,3.065819,3.065819,3.026388,3.036246,3.036246,36315.0
97,2016-05-25,3.075677,3.124967,3.075677,3.085535,3.085535,15824.0
98,2016-05-27,2.996814,3.065819,2.986956,3.01653,3.01653,18157.0
99,2016-05-30,3.036246,3.075677,2.957382,2.996814,2.996814,29012.0
100,2016-05-31,2.977098,2.996814,2.908092,2.908092,2.908092,76587.0
101,2016-06-01,2.957382,2.957382,2.829229,2.868661,2.868661,2932052.0
102,2016-06-02,2.888376,2.898234,2.809513,2.858803,2.858803,339624.0
103,2016-06-03,2.908092,2.986956,2.898234,2.957382,2.957382,156219.0
104,2016-06-06,2.986956,2.986956,2.908092,2.947524,2.947524,7506.0
105,2016-06-07,2.957382,3.105251,2.947524,3.075677,3.075677,547984.0
106,2016-06-08,3.105251,3.233404,3.105251,3.233404,3.233404,26171.0
107,2016-06-09,3.262978,3.292552,3.203831,3.203831,3.203831,9738.0
108,2016-06-10,3.203831,3.203831,3.203831,3.203831,3.203831,0.0
