,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.855743,2.044007,1.855743,2.035042,2.035042,1561.0
1,2016-01-05,1.882638,2.035042,1.882638,2.035042,2.035042,334.0
2,2016-01-06,1.873673,1.873673,1.792988,1.792988,1.792988,3234.0
3,2016-01-07,1.909532,1.909532,1.909532,1.909532,1.909532,557.0
4,2016-01-08,1.837813,1.837813,1.792988,1.801953,1.801953,780.0
5,2016-01-11,1.801953,1.801953,1.801953,1.801953,1.801953,0.0
6,2016-01-12,1.819883,1.819883,1.792988,1.792988,1.792988,780.0
7,2016-01-13,1.792988,1.792988,1.792988,1.792988,1.792988,892.0
8,2016-01-14,1.613689,1.613689,1.479215,1.479215,1.479215,1450.0
9,2016-01-15,1.48818,1.50611,1.255092,1.50611,1.50611,25432.0
10,2016-01-18,1.792988,1.882638,1.784023,1.882638,1.882638,4573.0
11,2016-01-19,1.667479,1.703339,1.613689,1.658514,1.658514,8365.0
12,2016-01-20,1.622654,1.622654,1.344741,1.344741,1.344741,2788.0
13,2016-01-21,1.398531,1.52404,1.398531,1.398531,1.398531,1115.0
14,2016-01-22,1.461285,1.461285,1.174407,1.174407,1.174407,8923.0
15,2016-01-26,1.273021,1.273021,1.255092,1.255092,1.255092,2230.0
16,2016-01-27,1.371636,1.568865,1.192337,1.344741,1.344741,34579.0
17,2016-01-28,1.52404,1.703339,1.398531,1.43439,1.43439,22197.0
18,2016-01-29,1.595759,1.703339,1.568865,1.676444,1.676444,10819.0
19,2016-02-01,1.792988,1.792988,1.631619,1.658514,1.658514,2900.0
20,2016-02-02,1.864708,1.864708,1.425426,1.515075,1.515075,25209.0
21,2016-02-03,1.54197,1.54197,1.165442,1.165442,1.165442,53764.0
22,2016-02-04,1.264057,1.264057,1.156477,1.165442,1.165442,28555.0
23,2016-02-05,1.174407,1.174407,1.075793,1.084758,1.084758,31121.0
24,2016-02-10,1.129582,1.228197,1.129582,1.219232,1.219232,22643.0
25,2016-02-11,1.299916,1.299916,1.030968,1.030968,1.030968,84105.0
26,2016-02-12,1.066828,1.066828,1.030968,1.030968,1.030968,42721.0
27,2016-02-15,1.030968,1.156477,1.022003,1.075793,1.075793,16731.0
28,2016-02-16,1.147512,1.147512,0.986143,0.995108,0.995108,53430.0
29,2016-02-17,1.030968,1.102688,1.030968,1.030968,1.030968,21416.0
30,2016-02-18,1.039933,1.039933,0.968213,0.977178,0.977178,43502.0
31,2016-02-19,0.995108,0.995108,0.950284,0.986143,0.986143,27328.0
32,2016-02-22,0.986143,0.986143,0.986143,0.986143,0.986143,15727.0
33,2016-02-23,0.995108,1.030968,0.995108,1.022003,1.022003,15393.0
34,2016-02-24,1.022003,1.030968,0.995108,1.013038,1.013038,1450.0
35,2016-02-25,0.995108,0.995108,0.950284,0.950284,0.950284,6358.0
36,2016-02-26,0.896494,0.896494,0.851669,0.887529,0.887529,89013.0
37,2016-02-29,0.914424,0.932354,0.896494,0.932354,0.932354,7027.0
38,2016-03-01,0.959248,0.986143,0.896494,0.986143,0.986143,18405.0
39,2016-03-02,0.986143,0.986143,0.932354,0.932354,0.932354,2007.0
40,2016-03-03,0.986143,1.004073,0.932354,0.986143,0.986143,28109.0
41,2016-03-04,0.986143,0.986143,0.887529,0.896494,0.896494,38817.0
42,2016-03-07,0.968213,0.968213,0.896494,0.914424,0.914424,26324.0
