,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-29,24.15,24.799999,23.58,23.98,23.98,822900
1,2021-07-30,24.01,24.98,23.200001,24.4,24.4,1129100
2,2021-08-02,24.860001,25.459999,24.799999,24.99,24.99,761700
3,2021-08-03,25.23,26.35,24.52,24.790001,24.790001,442900
4,2021-08-04,25.200001,25.200001,23.9,24.59,24.59,591400
5,2021-08-05,24.309999,25.030001,23.940001,24.450001,24.450001,259700
6,2021-08-06,24.5,24.790001,23.370001,23.549999,23.549999,400300
7,2021-08-09,23.700001,23.700001,22.43,22.85,22.85,625700
8,2021-08-10,23.08,23.65,22.450001,23.43,23.43,285500
9,2021-08-11,23.58,23.58,22.49,23.200001,23.200001,376700
10,2021-08-12,23.200001,23.58,22.85,23.200001,23.200001,563100
11,2021-08-13,23.299999,23.790001,23.0,23.389999,23.389999,390100
12,2021-08-16,23.620001,23.620001,21.27,21.5,21.5,937100
13,2021-08-17,21.5,21.5,19.07,20.99,20.99,1170600
14,2021-08-18,20.99,21.709999,20.16,21.25,21.25,483500
15,2021-08-19,20.99,21.98,20.309999,21.5,21.5,528400
16,2021-08-20,21.51,22.99,21.5,22.99,22.99,485800
17,2021-08-23,23.0,23.950001,23.0,23.700001,23.700001,241500
18,2021-08-24,23.91,24.27,23.200001,23.99,23.99,484400
19,2021-08-25,23.98,24.370001,23.129999,23.74,23.74,196800
20,2021-08-26,23.66,25.0,23.549999,24.25,24.25,296500
21,2021-08-27,24.49,25.700001,23.98,25.200001,25.200001,328900
22,2021-08-30,25.299999,26.73,25.299999,26.73,26.73,500600
23,2021-08-31,27.0,27.299999,24.9,26.0,26.0,586900
24,2021-09-01,26.190001,26.219999,25.219999,25.48,25.48,267600
25,2021-09-02,25.559999,25.799999,24.07,24.110001,24.110001,425100
26,2021-09-03,24.6,25.57,24.23,24.799999,24.799999,359200
27,2021-09-06,24.5,24.99,24.389999,24.940001,24.940001,120100
28,2021-09-08,24.389999,24.389999,22.790001,23.280001,23.280001,537900
29,2021-09-09,23.0,23.24,22.1,22.530001,22.530001,730000
30,2021-09-10,23.200001,23.4,22.549999,23.0,23.0,295900
31,2021-09-13,23.440001,23.440001,22.780001,23.200001,23.200001,147900
32,2021-09-14,23.35,23.530001,22.9,23.15,23.15,250400
33,2021-09-15,23.540001,23.540001,22.040001,22.25,22.25,1008100
34,2021-09-16,22.200001,23.0,22.0,23.0,23.0,232100
35,2021-09-17,22.99,22.99,21.799999,22.91,22.91,225100
36,2021-09-20,22.0,22.950001,21.5,22.950001,22.950001,227200
37,2021-09-21,23.299999,23.41,21.700001,21.700001,21.700001,816500
38,2021-09-22,22.190001,22.77,21.709999,22.35,22.35,554600
39,2021-09-23,22.379999,22.709999,22.120001,22.450001,22.450001,191800
40,2021-09-24,22.43,22.969999,22.1,22.379999,22.379999,307700
41,2021-09-27,22.370001,22.450001,21.719999,22.0,22.0,157300
42,2021-09-28,21.709999,21.709999,20.24,21.030001,21.030001,328400
43,2021-09-29,21.030001,21.030001,19.799999,20.02,20.02,857900
44,2021-09-30,20.32,20.459999,19.4,20.0,20.0,498000
45,2021-10-01,20.059999,20.23,19.049999,19.4,19.4,923000
46,2021-10-04,19.299999,19.889999,19.209999,19.4,19.4,333300
47,2021-10-05,19.450001,19.690001,18.51,18.950001,18.950001,304300
48,2021-10-06,18.950001,18.950001,17.459999,17.92,17.92,1124600
49,2021-10-07,18.700001,19.0,17.67,18.280001,18.280001,815400
50,2021-10-08,18.4,18.75,18.139999,18.75,18.75,430900
51,2021-10-11,18.459999,19.18,18.459999,19.0,19.0,175400
52,2021-10-13,19.4,19.870001,19.299999,19.629999,19.629999,233800
53,2021-10-14,19.68,20.200001,19.58,20.200001,20.200001,164800
54,2021-10-15,20.25,20.25,19.83,20.049999,20.049999,137700
55,2021-10-18,19.85,20.629999,19.73,20.48,20.48,182300
56,2021-10-19,20.68,20.68,18.780001,19.440001,19.440001,179000
57,2021-10-20,19.639999,19.73,18.58,19.139999,19.139999,286700
58,2021-10-21,18.959999,18.959999,17.629999,18.049999,18.049999,295000
59,2021-10-22,18.299999,18.299999,16.450001,17.92,17.92,371600
