,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-06,4.95,5.4425,4.92,5.15,5.139727,86956800.0
1,2020-02-07,5.125,5.5,5.0575,5.075,5.064876,12471600.0
2,2020-02-10,5.15,5.15,4.85,5.05,5.039927,12146800.0
3,2020-02-11,5.0875,5.1225,4.875,5.05,5.039927,13196000.0
4,2020-02-12,5.0925,5.48,5.075,5.48,5.469069,9556000.0
5,2020-02-13,5.33,5.6625,5.235,5.5,5.489028,4396800.0
6,2020-02-14,5.5025,5.7675,5.5,5.6,5.588829,4862400.0
7,2020-02-17,5.6525,5.905,5.6525,5.825,5.81338,2898000.0
8,2020-02-18,5.825,6.05,5.775,5.9,5.888231,3286400.0
9,2020-02-19,5.94,6.01,5.675,6.0,5.988031,6237200.0
10,2020-02-20,6.0875,6.4125,5.8475,6.375,6.362283,1832400.0
11,2020-02-21,6.225,6.3325,6.045,6.15,6.137732,6730800.0
12,2020-02-26,,,,,,
13,2020-02-27,5.3825,5.3825,5.015,5.205,5.194617,6326000.0
14,2020-02-28,5.1475,5.3675,4.95,5.325,5.314378,5031600.0
15,2020-03-02,5.2475,6.0,5.2125,6.0,5.988031,2798000.0
16,2020-03-03,6.0175,6.25,5.665,6.1225,6.110287,3279200.0
17,2020-03-04,6.2825,6.3625,5.6625,6.0475,6.035437,7484000.0
18,2020-03-05,5.95,5.95,5.4675,5.5,5.489028,3642800.0
19,2020-03-06,5.2125,5.2125,4.91,4.975,4.965076,8596800.0
20,2020-03-09,4.15,4.72,4.15,4.375,4.366273,4211200.0
21,2020-03-10,4.75,4.95,4.53,4.75,4.740525,2349600.0
22,2020-03-11,4.725,4.8125,4.38,4.8125,4.8029,2027600.0
23,2020-03-12,4.1475,4.625,3.675,4.0225,4.014476,1163200.0
24,2020-03-13,4.9125,4.9125,3.9125,4.385,4.376253,6545600.0
25,2020-03-16,3.79,3.8375,3.4375,3.775,3.76747,21936000.0
26,2020-03-17,3.985,3.985,3.6525,3.75,3.74252,1926800.0
27,2020-03-18,3.38,3.5,2.7875,3.0,2.994016,4954400.0
28,2020-03-19,3.0,3.2,2.7175,3.0275,3.021461,8774400.0
29,2020-03-20,3.175,3.3625,2.875,2.9025,2.89671,2835200.0
30,2020-03-23,2.905,2.905,2.43,2.55,2.544913,5378000.0
31,2020-03-24,2.83,3.3,2.65,3.3,3.293417,3478000.0
32,2020-03-25,3.205,3.7475,3.205,3.7025,3.695114,4454400.0
33,2020-03-26,3.7475,4.145,3.6625,4.0875,4.079346,1597600.0
34,2020-03-27,3.85,4.4475,3.72,4.3625,4.353798,2057600.0
35,2020-03-30,4.3625,4.595,4.1875,4.5875,4.578349,1450000.0
36,2020-03-31,4.585,4.5875,4.4275,4.5,4.491024,1315600.0
37,2020-04-01,4.2875,4.45,3.6625,3.75,3.74252,4519200.0
38,2020-04-02,3.875,3.875,3.4425,3.615,3.607789,6638400.0
39,2020-04-03,3.5625,4.315,3.34,4.18,4.171661,15550000.0
40,2020-04-06,4.305,4.45,4.0625,4.3875,4.378747,7346400.0
41,2020-04-07,4.625,4.75,4.385,4.645,4.635734,10064400.0
42,2020-04-08,4.75,4.9325,4.445,4.7525,4.74302,6474000.0
43,2020-04-09,4.8,5.1375,4.8,4.99,4.980046,5905600.0
44,2020-04-13,5.0,5.1225,4.6725,4.6725,4.663179,10228800.0
45,2020-04-14,4.85,4.91,4.7125,4.91,4.900206,4073600.0
46,2020-04-15,4.86,5.0,4.735,4.85,4.840325,806000.0
47,2020-04-16,5.0,5.025,4.7875,4.875,4.865275,1594000.0
48,2020-04-17,5.045,5.045,4.6925,4.8375,4.82785,3591600.0
49,2020-04-20,4.7975,5.1275,4.7175,5.1275,5.117272,3608400.0
