,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-05-13,15.77,16.1,15.75,15.75,15.75,1090400
1,2021-05-14,15.9,16.639999,15.81,16.559999,16.559999,1551600
2,2021-05-17,16.540001,16.540001,16.02,16.200001,16.200001,153200
3,2021-05-18,16.110001,16.309999,15.96,16.0,16.0,164800
4,2021-05-19,16.01,16.040001,15.66,15.85,15.85,164700
5,2021-05-20,15.67,15.9,15.58,15.86,15.86,101400
6,2021-05-21,15.9,16.02,15.8,15.89,15.89,151000
7,2021-05-24,15.94,16.219999,15.6,16.18,16.18,287300
8,2021-05-25,16.01,16.15,15.65,15.74,15.74,487000
9,2021-05-26,15.94,16.09,15.47,15.56,15.56,2650900
10,2021-05-27,15.69,15.9,15.45,15.48,15.48,645300
11,2021-05-28,15.64,16.049999,15.58,16.049999,16.049999,519900
12,2021-05-31,16.5,16.51,16.1,16.379999,16.379999,466400
13,2021-06-01,16.610001,16.860001,15.93,16.059999,16.059999,901800
14,2021-06-02,16.059999,16.26,15.82,16.0,16.0,580700
15,2021-06-04,16.24,16.24,15.9,16.049999,16.049999,214900
16,2021-06-07,16.129999,16.15,15.65,15.79,15.79,933700
17,2021-06-08,15.92,15.92,15.56,15.7,15.7,206700
18,2021-06-09,15.72,15.79,15.32,15.43,15.43,392700
19,2021-06-10,15.44,15.52,15.33,15.46,15.46,154500
20,2021-06-11,15.56,15.69,15.35,15.46,15.46,170100
21,2021-06-14,15.5,15.5,15.25,15.25,15.25,213800
22,2021-06-15,15.34,15.39,15.15,15.22,15.22,183800
23,2021-06-16,15.3,15.36,15.16,15.36,15.36,200000
24,2021-06-17,15.36,15.95,15.34,15.79,15.79,1197100
25,2021-06-18,15.99,15.99,15.53,15.86,15.86,344500
26,2021-06-21,15.96,16.280001,15.51,16.280001,16.280001,453600
27,2021-06-22,16.290001,16.440001,16.07,16.190001,16.190001,266900
28,2021-06-23,16.190001,16.32,15.98,16.299999,16.299999,206300
29,2021-06-24,16.360001,16.540001,16.290001,16.540001,16.540001,663000
30,2021-06-25,16.51,16.59,16.35,16.5,16.5,627900
31,2021-06-28,16.49,16.860001,16.379999,16.860001,16.860001,411000
32,2021-06-29,16.860001,16.860001,16.34,16.5,16.5,380700
33,2021-06-30,16.459999,16.780001,16.4,16.780001,16.780001,813800
34,2021-07-01,16.879999,16.93,16.23,16.25,16.25,434400
35,2021-07-02,16.4,16.57,16.280001,16.4,16.4,431900
36,2021-07-05,16.57,16.91,16.0,16.07,16.07,528400
37,2021-07-06,16.200001,16.6,16.030001,16.6,16.6,888900
38,2021-07-07,17.5,17.73,17.1,17.65,17.65,4765500
39,2021-07-08,17.4,18.440001,17.4,18.0,18.0,3705900
40,2021-07-12,18.040001,18.940001,17.719999,18.85,18.85,2435300
41,2021-07-13,18.73,19.0,18.68,18.799999,18.799999,2832800
42,2021-07-14,18.889999,18.950001,18.51,18.799999,18.799999,494900
43,2021-07-15,18.790001,19.1,18.35,18.83,18.83,1174300
44,2021-07-16,18.67,19.040001,18.52,18.889999,18.889999,630600
45,2021-07-19,18.639999,18.9,18.450001,18.780001,18.780001,618000
46,2021-07-20,18.809999,18.870001,18.030001,18.549999,18.549999,376300
47,2021-07-21,18.59,18.780001,18.07,18.5,18.5,571400
48,2021-07-22,18.41,19.110001,18.41,19.08,19.08,653800
49,2021-07-23,19.08,19.299999,18.809999,19.15,19.15,373200
50,2021-07-26,19.24,19.43,18.91,19.120001,19.120001,664500
51,2021-07-27,19.0,19.1,18.120001,18.5,18.5,600100
52,2021-07-28,18.559999,18.6,17.83,18.43,18.43,587100
53,2021-07-29,18.389999,18.889999,18.17,18.860001,18.860001,350400
54,2021-07-30,18.66,18.99,18.209999,18.59,18.59,603800
55,2021-08-02,18.82,18.879999,18.440001,18.52,18.52,322600
56,2021-08-03,18.57,18.799999,17.9,18.48,18.48,243200
57,2021-08-04,18.360001,18.469999,17.860001,18.110001,18.110001,462800
58,2021-08-05,18.299999,18.32,17.73,17.73,17.73,234500
59,2021-08-06,17.73,17.9,17.209999,17.209999,17.209999,268600
60,2021-08-09,17.049999,17.48,17.02,17.48,17.48,347800
61,2021-08-10,17.48,17.530001,17.200001,17.35,17.35,399200
62,2021-08-11,17.190001,17.33,17.01,17.23,17.23,207400
63,2021-08-12,17.09,18.35,17.09,18.02,18.02,1245100
64,2021-08-13,18.02,19.32,18.02,19.32,19.32,1214600
65,2021-08-16,19.32,19.860001,19.01,19.860001,19.860001,845400
66,2021-08-17,19.84,19.84,19.07,19.59,19.59,557600
67,2021-08-18,19.59,20.200001,19.23,20.17,20.17,1310200
68,2021-08-19,19.940001,20.99,19.639999,20.969999,20.969999,678900
69,2021-08-20,20.6,21.290001,20.43,21.190001,21.190001,529700
70,2021-08-23,21.200001,21.51,20.799999,21.049999,21.049999,332500
71,2021-08-24,21.27,21.6,21.0,21.200001,21.200001,234000
72,2021-08-25,21.35,21.790001,21.209999,21.5,21.5,851300
73,2021-08-26,21.280001,21.459999,21.129999,21.299999,21.299999,654500
74,2021-08-27,21.01,21.559999,20.6,21.549999,21.549999,897200
75,2021-08-30,21.43,21.77,20.84,21.200001,21.200001,536200
76,2021-08-31,20.98,21.32,20.76,21.15,21.15,631400
77,2021-09-01,21.24,21.690001,21.059999,21.299999,21.299999,708600
78,2021-09-02,21.16,21.41,20.73,20.73,20.73,215700
79,2021-09-03,20.85,20.950001,20.049999,20.299999,20.299999,304500
80,2021-09-06,20.49,20.85,20.040001,20.450001,20.450001,119500
81,2021-09-08,20.120001,20.200001,19.43,19.799999,19.799999,399500
82,2021-09-09,19.799999,19.879999,19.049999,19.639999,19.639999,485300
83,2021-09-10,19.700001,19.700001,19.02,19.02,19.02,339600
84,2021-09-13,19.16,19.24,18.73,18.76,18.76,836400
85,2021-09-14,18.809999,19.18,18.77,19.0,19.0,420800
86,2021-09-15,18.83,19.01,18.41,19.0,19.0,613100
87,2021-09-16,18.84,19.200001,18.5,19.200001,19.200001,398800
88,2021-09-17,19.200001,19.26,18.48,18.93,18.93,737100
89,2021-09-20,18.58,18.68,17.76,18.4,18.4,400700
90,2021-09-21,18.73,18.73,18.17,18.6,18.6,260600
91,2021-09-22,18.84,18.91,18.24,18.790001,18.790001,490300
92,2021-09-23,18.790001,18.799999,18.41,18.799999,18.799999,283000
93,2021-09-24,18.620001,19.059999,18.32,19.0,19.0,403900
94,2021-09-27,19.01,19.450001,18.860001,19.450001,19.450001,669600
95,2021-09-28,19.280001,19.33,18.84,19.15,19.15,1423300
96,2021-09-29,19.23,19.23,18.719999,18.799999,18.799999,491600
97,2021-09-30,18.799999,18.9,18.1,18.4,18.4,664000
98,2021-10-01,18.66,18.66,17.9,17.940001,17.940001,479300
99,2021-10-04,18.0,18.0,16.610001,16.610001,16.610001,534800
100,2021-10-05,16.65,17.33,16.52,17.1,17.1,1341500
101,2021-10-06,17.01,17.01,16.190001,16.299999,16.299999,596400
102,2021-10-07,16.48,16.530001,15.82,16.219999,16.219999,744300
103,2021-10-08,16.209999,16.620001,15.99,16.32,16.32,758000
104,2021-10-11,16.52,16.52,15.98,16.15,16.15,345100
105,2021-10-13,16.25,16.360001,15.9,16.15,16.15,451200
106,2021-10-14,16.200001,16.4,16.040001,16.4,16.4,383200
107,2021-10-15,16.4,17.219999,16.16,17.219999,17.219999,603700
108,2021-10-18,16.950001,17.459999,16.719999,17.4,17.4,608200
109,2021-10-19,17.15,17.200001,16.059999,16.299999,16.299999,869600
110,2021-10-20,16.299999,16.559999,15.95,16.299999,16.299999,574000
111,2021-10-21,16.0,16.309999,15.2,15.4,15.4,926100
112,2021-10-22,15.24,15.4,14.38,15.4,15.4,466800
