,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-09,25.0,26.4,22.709999,26.4,26.4,2560200.0
1,2021-02-10,25.870001,26.120001,23.700001,23.809999,23.809999,1907900.0
2,2021-02-11,23.809999,24.34,22.559999,22.559999,22.559999,1219100.0
3,2021-02-12,22.549999,22.549999,21.309999,21.549999,21.549999,1050700.0
4,2021-02-17,,,,,,
5,2021-02-18,21.0,21.0,20.200001,20.860001,20.860001,280200.0
6,2021-02-19,20.860001,23.01,20.370001,23.01,23.01,669600.0
7,2021-02-22,22.0,23.23,21.74,23.17,23.17,333100.0
8,2021-02-23,23.27,24.67,22.84,23.799999,23.799999,595200.0
9,2021-02-24,23.6,25.389999,23.200001,24.4,24.4,686800.0
10,2021-02-25,24.4,24.99,23.42,24.24,24.24,299000.0
11,2021-02-26,24.49,24.709999,23.18,24.0,24.0,394500.0
12,2021-03-01,24.5,25.0,23.33,23.33,23.33,412600.0
13,2021-03-02,23.969999,24.049999,22.09,23.99,23.99,460100.0
14,2021-03-03,23.66,24.719999,22.4,22.4,22.4,689000.0
15,2021-03-04,22.799999,25.25,22.15,23.5,23.5,687100.0
16,2021-03-05,23.799999,24.389999,22.42,22.799999,22.799999,920400.0
17,2021-03-08,22.110001,22.85,20.540001,21.34,21.34,353500.0
18,2021-03-09,21.5,21.860001,20.719999,21.4,21.4,100400.0
19,2021-03-10,22.0,22.26,21.09,21.85,21.85,111100.0
20,2021-03-11,21.879999,21.969999,20.98,21.799999,21.799999,410100.0
21,2021-03-12,21.77,22.35,21.280001,21.65,21.65,139200.0
22,2021-03-15,22.299999,22.48,21.700001,21.799999,21.799999,65300.0
23,2021-03-16,22.4,23.0,21.92,23.0,23.0,308500.0
24,2021-03-17,23.0,24.42,22.5,24.42,24.42,154700.0
25,2021-03-18,24.5,24.57,23.52,23.74,23.74,258900.0
26,2021-03-19,23.690001,24.129999,22.84,23.6,23.6,909600.0
27,2021-03-22,23.1,23.690001,23.1,23.299999,23.299999,59100.0
28,2021-03-23,22.99,23.75,22.73,23.75,23.75,59800.0
29,2021-03-24,23.459999,24.0,23.0,23.0,23.0,97300.0
30,2021-03-25,22.85,23.299999,22.4,23.15,23.15,148500.0
31,2021-03-26,22.700001,24.219999,22.440001,23.59,23.59,82500.0
32,2021-03-29,23.200001,23.440001,22.75,23.15,23.15,93400.0
33,2021-03-30,23.0,23.42,22.799999,23.129999,23.129999,104500.0
34,2021-03-31,22.99,23.200001,21.700001,22.0,22.0,404800.0
35,2021-04-01,22.49,22.6,21.65,22.26,22.26,136500.0
36,2021-04-05,21.969999,22.26,21.32,21.35,21.35,226300.0
37,2021-04-06,21.32,21.35,20.860001,20.860001,20.860001,66300.0
38,2021-04-07,20.98,21.59,20.450001,21.450001,21.450001,171900.0
39,2021-04-08,21.65,21.85,20.99,21.6,21.6,160200.0
40,2021-04-09,21.450001,21.469999,20.870001,20.99,20.99,180600.0
41,2021-04-12,21.049999,21.34,20.549999,21.0,21.0,124200.0
42,2021-04-13,21.1,21.1,20.6,20.780001,20.780001,110600.0
43,2021-04-14,20.99,20.99,20.6,20.84,20.84,129800.0
44,2021-04-15,20.99,20.99,20.26,20.389999,20.389999,240000.0
45,2021-04-16,20.379999,20.639999,19.469999,19.9,19.9,395400.0
46,2021-04-19,20.32,20.93,19.690001,20.780001,20.780001,164700.0
47,2021-04-20,20.309999,20.9,20.1,20.65,20.65,256400.0
48,2021-04-22,20.48,20.84,20.25,20.450001,20.450001,165500.0
49,2021-04-23,20.49,20.799999,20.309999,20.549999,20.549999,205500.0
50,2021-04-26,20.51,21.299999,20.43,21.24,21.24,82300.0
51,2021-04-27,20.950001,21.790001,20.889999,21.790001,21.790001,146100.0
52,2021-04-28,21.790001,22.879999,21.190001,22.83,22.83,142100.0
53,2021-04-29,22.83,22.98,22.139999,22.700001,22.700001,139500.0
