,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-13,18.309999,18.799999,17.93,18.5,18.5,15222400.0
1,2020-02-14,18.5,18.65,18.07,18.16,18.16,2943100.0
2,2020-02-17,18.290001,18.42,17.790001,18.1,18.1,2041900.0
3,2020-02-18,17.84,18.299999,17.82,18.299999,18.299999,412500.0
4,2020-02-19,18.4,18.5,18.26,18.5,18.5,366500.0
5,2020-02-20,18.469999,18.5,18.26,18.41,18.41,386300.0
6,2020-02-21,18.440001,18.5,17.77,17.959999,17.959999,1045500.0
7,2020-02-26,,,,,,
8,2020-02-27,16.299999,16.42,15.84,16.129999,16.129999,907800.0
9,2020-02-28,15.8,16.879999,15.09,16.879999,16.879999,1883900.0
10,2020-03-02,16.639999,17.0,15.9,16.290001,16.290001,1029400.0
11,2020-03-03,16.17,17.299999,15.96,16.040001,16.040001,1339600.0
12,2020-03-04,16.299999,16.99,16.1,16.99,16.99,558300.0
13,2020-03-05,17.0,17.299999,15.78,16.049999,16.049999,461500.0
14,2020-03-06,15.11,15.81,14.65,15.8,15.8,1676500.0
15,2020-03-09,14.96,14.96,12.16,12.8,12.8,2170600.0
16,2020-03-10,13.44,13.89,12.17,13.4,13.4,1932500.0
17,2020-03-11,13.18,13.18,11.06,13.0,13.0,1242400.0
18,2020-03-12,11.47,11.7,9.02,9.75,9.75,800900.0
19,2020-03-13,11.06,11.39,9.02,10.88,10.88,1937300.0
20,2020-03-16,8.75,9.34,7.69,7.69,7.69,836200.0
21,2020-03-17,7.96,8.01,7.0,7.06,7.06,691900.0
22,2020-03-18,6.67,6.67,3.87,5.01,5.01,776400.0
23,2020-03-19,4.9,5.59,3.68,5.0,5.0,1076600.0
24,2020-03-20,5.61,5.66,5.0,5.4,5.4,927400.0
25,2020-03-23,5.57,5.89,4.31,4.31,4.31,552500.0
26,2020-03-24,4.64,4.9,4.21,4.35,4.35,1370200.0
27,2020-03-25,4.5,5.65,4.35,5.65,5.65,3324900.0
28,2020-03-26,6.0,6.9,5.7,6.33,6.33,776600.0
29,2020-03-27,6.01,6.69,5.82,6.41,6.41,842700.0
30,2020-03-30,6.51,6.9,6.12,6.29,6.29,620500.0
31,2020-03-31,6.29,6.29,5.87,6.18,6.18,735200.0
32,2020-04-01,6.0,6.28,5.45,5.96,5.96,1516400.0
33,2020-04-02,6.2,6.2,5.34,5.39,5.39,2942200.0
34,2020-04-03,5.5,5.5,4.75,5.0,5.0,2418300.0
35,2020-04-06,5.3,5.75,5.24,5.32,5.32,337900.0
36,2020-04-07,5.94,5.94,5.35,5.45,5.45,215900.0
37,2020-04-08,5.45,6.19,5.4,6.0,6.0,197400.0
38,2020-04-09,6.14,6.99,6.04,6.43,6.43,571000.0
