,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.07,4.15,4.01,4.14,4.130637,81500.0
1,2016-01-05,4.1,4.15,4.04,4.1,4.090727,72700.0
2,2016-01-06,4.17,4.44,4.05,4.19,4.180524,893200.0
3,2016-01-07,4.17,4.2,3.95,4.1,4.090727,500800.0
4,2016-01-08,4.2,4.31,4.1,4.19,4.180524,58500.0
5,2016-01-11,4.11,4.2,4.11,4.19,4.180524,16600.0
6,2016-01-12,4.15,4.23,4.1,4.1,4.090727,64700.0
7,2016-01-13,4.1,4.29,3.91,4.04,4.030863,799300.0
8,2016-01-14,4.05,4.05,3.9,4.0,3.990953,166100.0
9,2016-01-15,3.96,4.04,3.88,3.88,3.871225,316300.0
10,2016-01-18,4.0,4.08,3.91,4.0,3.990953,623200.0
11,2016-01-19,4.07,4.07,3.87,4.0,3.990953,65300.0
12,2016-01-20,3.9,4.04,3.75,3.95,3.941067,204100.0
13,2016-01-21,3.86,4.0,3.7,3.84,3.831315,481500.0
14,2016-01-22,3.81,4.0,3.75,3.85,3.841293,46500.0
15,2016-01-26,3.87,3.87,3.75,3.79,3.781429,35100.0
16,2016-01-27,3.75,3.82,3.65,3.65,3.641745,317000.0
17,2016-01-28,3.68,3.74,3.55,3.55,3.541971,1021300.0
18,2016-01-29,3.57,3.65,3.43,3.6,3.591858,1626800.0
19,2016-02-01,3.85,3.94,3.6,3.74,3.731542,350000.0
20,2016-02-02,3.79,3.99,3.72,3.99,3.980976,23600.0
21,2016-02-03,4.0,4.0,3.82,3.96,3.951044,234700.0
22,2016-02-04,3.96,4.16,3.92,3.99,3.980976,104600.0
23,2016-02-05,3.98,4.08,3.86,3.98,3.970999,680700.0
24,2016-02-10,4.0,4.0,3.82,3.95,3.941067,44000.0
25,2016-02-11,3.99,4.16,3.52,3.9,3.89118,703300.0
26,2016-02-12,3.9,3.94,3.77,3.89,3.881202,77700.0
27,2016-02-15,3.93,3.93,3.8,3.89,3.881202,35900.0
28,2016-02-16,3.82,4.0,3.74,3.74,3.731542,129400.0
29,2016-02-17,3.82,3.94,3.82,3.83,3.821338,66700.0
30,2016-02-18,3.9,3.94,3.83,3.89,3.881202,40200.0
31,2016-02-19,3.97,4.0,3.78,3.89,3.881202,84200.0
32,2016-02-22,3.89,4.0,3.89,3.98,3.970999,47900.0
33,2016-02-23,3.98,3.99,3.8,3.98,3.970999,64900.0
34,2016-02-24,3.96,4.44,3.88,4.14,4.130637,134100.0
35,2016-02-25,4.14,4.26,4.09,4.17,4.160569,48500.0
36,2016-02-26,4.25,4.25,4.1,4.17,4.160569,70300.0
37,2016-02-29,4.17,4.35,4.08,4.17,4.160569,56200.0
38,2016-03-01,4.27,4.27,4.01,4.05,4.040841,105500.0
39,2016-03-02,4.12,4.12,4.0,4.08,4.070772,27100.0
40,2016-03-03,4.08,4.15,3.97,4.15,4.140615,218500.0
41,2016-03-04,4.26,4.5,4.06,4.1,4.090727,133200.0
42,2016-03-07,4.1,4.19,4.05,4.15,4.140615,49500.0
43,2016-03-08,4.15,4.32,3.9,4.19,4.180524,240500.0
44,2016-03-09,4.19,4.34,4.16,4.25,4.240388,1406900.0
45,2016-03-10,4.39,4.58,4.2,4.4,4.390049,273500.0
46,2016-03-11,4.4,4.6,4.39,4.49,4.479845,321900.0
47,2016-03-14,4.59,4.6,4.35,4.4,4.390049,116800.0
48,2016-03-15,4.5,4.62,4.26,4.36,4.35014,251300.0
49,2016-03-16,4.48,4.5,4.26,4.45,4.439936,170100.0
50,2016-03-17,4.5,4.7,4.2,4.28,4.27032,601300.0
51,2016-03-18,4.38,4.4,3.9,4.11,4.100705,1530700.0
