,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-29,8.4,8.4,8.05,8.2,8.191787,1090600.0
1,2020-09-30,8.09,8.23,8.09,8.2,8.191787,1255900.0
2,2020-10-01,8.22,8.47,8.2,8.45,8.441536,402700.0
3,2020-10-02,8.32,8.41,8.21,8.26,8.251727,440100.0
4,2020-10-05,8.27,8.35,8.17,8.3,8.291687,109400.0
5,2020-10-06,8.38,8.38,7.88,7.94,7.932047,970900.0
6,2020-10-07,7.95,8.06,7.75,7.94,7.932047,1276800.0
7,2020-10-08,8.0,8.0,7.86,7.94,7.932047,131500.0
8,2020-10-09,7.9,8.03,7.9,7.95,7.942037,241300.0
9,2020-10-13,8.0,8.29,7.81,7.86,7.852128,310600.0
10,2020-10-14,7.86,7.99,7.81,7.99,7.981997,111200.0
11,2020-10-15,7.97,8.05,7.8,8.05,8.041937,118800.0
12,2020-10-16,8.09,8.09,7.84,7.89,7.882097,477300.0
13,2020-10-19,7.97,8.07,7.76,7.76,7.752228,132100.0
14,2020-10-20,7.76,7.9,7.54,7.54,7.532448,447600.0
15,2020-10-21,7.52,7.52,7.24,7.5,7.492488,335500.0
16,2020-10-22,7.5,7.5,7.3,7.32,7.312668,1047000.0
17,2020-10-23,7.33,7.47,7.26,7.4,7.392588,940600.0
18,2020-10-26,7.37,7.48,7.37,7.48,7.472508,296600.0
19,2020-10-27,7.5,7.99,7.5,7.75,7.742238,1213400.0
20,2020-10-28,7.7,7.7,7.26,7.29,7.282698,226800.0
21,2020-10-29,7.3,7.3,7.07,7.19,7.182798,388400.0
22,2020-10-30,7.11,7.4,6.63,6.72,6.713269,1015300.0
23,2020-11-03,6.88,7.09,6.53,6.53,6.52346,547700.0
24,2020-11-04,6.56,6.94,6.52,6.94,6.933049,365700.0
25,2020-11-05,6.99,7.08,6.82,6.97,6.963019,370900.0
26,2020-11-06,6.97,7.3,6.76,7.3,7.292688,283400.0
27,2020-11-09,7.34,7.54,6.98,7.5,7.492488,370500.0
28,2020-11-10,7.5,7.75,7.27,7.3,7.292688,343800.0
29,2020-11-11,7.34,7.53,7.01,7.03,7.022959,573800.0
30,2020-11-12,7.19,7.19,6.85,6.9,6.893089,522000.0
31,2020-11-13,7.06,7.06,6.82,6.95,6.943039,491900.0
32,2020-11-16,7.06,7.27,7.0,7.2,7.192788,467700.0
33,2020-11-17,7.29,7.29,7.07,7.11,7.102879,223700.0
34,2020-11-18,7.1,7.19,6.96,6.96,6.953029,351200.0
35,2020-11-19,6.96,7.07,6.85,6.99,6.982999,326500.0
36,2020-11-23,7.01,7.24,6.92,7.02,7.012969,696800.0
37,2020-11-24,7.1,7.27,7.04,7.12,7.112868,264600.0
38,2020-11-25,7.2,7.79,7.2,7.6,7.592388,792300.0
39,2020-11-26,7.6,7.97,7.6,7.85,7.842137,379800.0
40,2020-11-27,7.97,8.06,7.9,7.96,7.952027,1149100.0
41,2020-11-30,7.99,8.18,7.7,8.0,7.991987,936500.0
42,2020-12-01,8.1,8.15,7.72,7.81,7.802177,578100.0
43,2020-12-02,7.88,8.1,7.87,8.1,8.091887,573800.0
44,2020-12-03,8.1,8.1,7.96,8.08,8.071907,789300.0
45,2020-12-04,8.1,8.1,7.93,7.94,7.932047,404000.0
46,2020-12-07,7.92,8.1,7.9,8.03,8.021956,557800.0
47,2020-12-08,8.03,8.08,7.97,8.06,8.051928,241300.0
48,2020-12-09,8.06,8.1,7.94,8.09,8.081897,210000.0
49,2020-12-10,8.1,8.1,7.83,7.99,7.981997,309800.0
50,2020-12-11,8.01,8.01,7.78,7.92,7.912067,406700.0
51,2020-12-14,7.9,8.5,7.78,8.08,8.071907,568500.0
52,2020-12-15,8.08,8.27,7.89,8.1,8.091887,438600.0
53,2020-12-16,8.18,8.18,7.86,7.93,7.922057,596400.0
54,2020-12-17,7.95,7.98,7.6,7.79,7.782197,672200.0
55,2020-12-18,7.76,7.87,7.62,7.78,7.772208,464200.0
56,2020-12-21,7.71,7.88,7.54,7.79,7.782197,446600.0
57,2020-12-22,7.88,7.88,7.5,7.58,7.572408,605800.0
58,2020-12-23,7.53,7.74,7.48,7.55,7.542438,489800.0
