,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.66,2.66,2.47,2.55,2.512056,559200.0
1,2016-01-05,2.53,2.58,2.49,2.54,2.502205,318600.0
2,2016-01-06,2.52,2.56,2.48,2.48,2.443097,222400.0
3,2016-01-07,2.42,2.5,2.31,2.42,2.38399,594700.0
4,2016-01-08,2.47,2.59,2.43,2.49,2.452949,518900.0
5,2016-01-11,2.56,2.56,2.46,2.5,2.4628,60300.0
6,2016-01-12,2.51,2.56,2.45,2.45,2.413544,120200.0
7,2016-01-13,2.45,2.45,2.37,2.4,2.364288,706900.0
8,2016-01-14,2.37,2.41,2.32,2.35,2.315032,686800.0
9,2016-01-15,2.3,2.36,2.28,2.36,2.324883,691100.0
10,2016-01-18,2.36,2.42,2.34,2.35,2.315032,183500.0
11,2016-01-19,2.36,2.41,2.34,2.4,2.364288,271900.0
12,2016-01-20,2.49,2.49,2.29,2.31,2.275627,2398400.0
13,2016-01-21,2.36,2.36,2.22,2.25,2.21652,555500.0
14,2016-01-22,2.25,2.33,2.25,2.33,2.295329,192200.0
15,2016-01-26,2.36,2.36,2.26,2.29,2.255924,205600.0
16,2016-01-27,2.27,2.39,2.26,2.38,2.344586,286900.0
17,2016-01-28,2.39,2.42,2.33,2.41,2.374139,115100.0
18,2016-01-29,2.43,2.49,2.35,2.49,2.452949,597900.0
19,2016-02-01,2.56,2.66,2.44,2.63,2.590865,395300.0
20,2016-02-02,2.63,2.68,2.54,2.55,2.512056,301700.0
21,2016-02-03,2.59,2.76,2.5,2.76,2.718931,546000.0
22,2016-02-04,2.76,2.84,2.69,2.7,2.659824,474600.0
23,2016-02-05,2.74,2.77,2.62,2.77,2.728782,378500.0
24,2016-02-10,2.7,2.76,2.5,2.5,2.4628,512700.0
25,2016-02-11,2.48,2.56,2.31,2.43,2.393842,1161800.0
26,2016-02-12,2.43,2.58,2.41,2.58,2.541609,1335100.0
27,2016-02-15,2.65,2.96,2.52,2.82,2.778038,487200.0
28,2016-02-16,2.87,3.2,2.87,2.99,2.945508,791600.0
29,2016-02-17,3.05,3.08,2.8,2.85,2.807592,678600.0
30,2016-02-18,2.87,2.87,2.71,2.71,2.669675,595100.0
31,2016-02-19,2.73,2.73,2.55,2.55,2.512056,600700.0
32,2016-02-22,2.61,2.8,2.54,2.55,2.512056,1223700.0
33,2016-02-23,2.56,2.6,2.4,2.46,2.423395,1946100.0
34,2016-02-24,2.46,2.53,2.33,2.45,2.413544,1678600.0
35,2016-02-25,2.5,2.52,2.37,2.4,2.364288,160900.0
36,2016-02-26,2.45,2.49,2.4,2.41,2.374139,536500.0
37,2016-02-29,2.42,2.52,2.34,2.34,2.305181,472200.0
38,2016-03-01,2.36,2.43,2.26,2.29,2.255924,838200.0
39,2016-03-02,2.29,2.54,2.27,2.51,2.472651,1074500.0
40,2016-03-03,2.59,2.69,2.47,2.66,2.620419,3822200.0
41,2016-03-04,2.73,2.83,2.66,2.67,2.63027,2817300.0
