,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-22,12.05,13.0,12.05,12.95,12.95,26601400
1,2021-07-23,12.95,13.28,12.52,12.98,12.98,9563700
2,2021-07-26,12.97,12.99,12.13,12.7,12.7,4349400
3,2021-07-27,12.65,12.65,11.5,12.2,12.2,5391500
4,2021-07-28,12.28,12.28,11.5,11.5,11.5,2876700
5,2021-07-29,11.47,11.5,11.14,11.45,11.45,5874100
6,2021-07-30,11.3,11.35,10.98,11.05,11.05,3647300
7,2021-08-02,11.25,11.55,11.03,11.2,11.2,1864000
8,2021-08-03,11.01,11.12,10.71,10.98,10.98,1120100
9,2021-08-04,11.05,11.05,10.56,10.7,10.7,1358100
10,2021-08-05,10.7,11.2,10.6,10.6,10.6,1765400
11,2021-08-06,10.65,11.14,10.64,11.11,11.11,881800
12,2021-08-09,11.12,11.15,10.7,10.7,10.7,671800
13,2021-08-10,10.8,10.94,10.66,10.66,10.66,1066800
14,2021-08-11,10.73,10.85,10.42,10.8,10.8,2730200
15,2021-08-12,10.56,10.6,10.4,10.45,10.45,2909200
16,2021-08-13,10.59,10.75,10.22,10.5,10.5,3373800
17,2021-08-16,10.49,10.5,9.66,9.8,9.8,5244100
18,2021-08-17,9.81,9.81,8.63,8.72,8.72,13351100
19,2021-08-18,8.72,9.0,8.5,8.5,8.5,3497000
20,2021-08-19,8.4,8.8,8.15,8.57,8.57,4979100
21,2021-08-20,8.53,9.34,8.47,9.2,9.2,4016600
22,2021-08-23,9.2,9.23,8.86,8.9,8.9,570800
23,2021-08-24,9.0,9.17,8.8,9.06,9.06,1767200
24,2021-08-25,9.09,9.55,9.08,9.4,9.4,1134100
25,2021-08-26,9.34,9.61,9.21,9.47,9.47,523000
26,2021-08-27,9.49,9.65,9.32,9.36,9.36,1770100
27,2021-08-30,9.52,9.81,9.33,9.47,9.47,1636100
28,2021-08-31,9.61,9.84,9.08,9.3,9.3,1532400
29,2021-09-01,9.37,9.41,8.97,9.18,9.18,1493500
30,2021-09-02,9.17,9.17,8.57,8.58,8.58,1171700
31,2021-09-03,8.75,8.8,8.51,8.6,8.6,503700
32,2021-09-06,8.59,8.78,8.25,8.57,8.57,994800
33,2021-09-08,8.56,8.56,7.72,7.72,7.72,916600
34,2021-09-09,7.75,8.08,7.63,7.87,7.87,1987400
35,2021-09-10,8.03,8.46,7.91,8.32,8.32,2053700
36,2021-09-13,8.4,8.53,7.92,8.19,8.19,1356900
37,2021-09-14,8.12,8.21,7.89,8.13,8.13,4243000
38,2021-09-15,8.13,8.15,7.93,7.95,7.95,3925500
39,2021-09-16,7.91,8.11,7.85,7.85,7.85,1674900
40,2021-09-17,7.85,7.85,7.32,7.5,7.5,1014600
41,2021-09-20,7.22,7.45,6.91,7.38,7.38,2189700
42,2021-09-21,7.44,7.59,7.23,7.47,7.47,901900
43,2021-09-22,7.57,7.57,7.26,7.33,7.33,1768000
44,2021-09-23,7.38,7.75,7.25,7.51,7.51,6170700
45,2021-09-24,7.47,8.06,7.47,7.89,7.89,1418600
46,2021-09-27,7.86,7.86,7.5,7.56,7.56,1334400
47,2021-09-28,7.45,7.51,7.16,7.24,7.24,2501100
48,2021-09-29,7.3,7.39,7.12,7.2,7.2,2694900
49,2021-09-30,7.29,7.51,7.22,7.49,7.49,1761100
50,2021-10-01,7.5,7.84,7.32,7.84,7.84,1423800
51,2021-10-04,7.78,7.78,7.41,7.49,7.49,1632200
52,2021-10-05,7.54,7.56,6.91,6.96,6.96,3977800
53,2021-10-06,7.25,8.13,7.25,8.08,8.08,25184400
54,2021-10-07,7.65,7.93,7.52,7.92,7.92,4649800
55,2021-10-08,7.99,8.3,7.78,7.85,7.85,1837200
56,2021-10-11,7.89,8.03,7.7,7.92,7.92,829300
57,2021-10-13,7.91,8.26,7.79,8.26,8.26,1226000
58,2021-10-14,8.26,8.41,8.11,8.32,8.32,1526500
59,2021-10-15,8.38,8.44,8.12,8.33,8.33,799500
60,2021-10-18,8.27,8.27,7.93,8.01,8.01,974200
61,2021-10-19,8.01,8.14,7.6,7.6,7.6,939400
62,2021-10-20,7.68,7.84,7.32,7.57,7.57,4979800
63,2021-10-21,7.45,7.48,7.1,7.15,7.15,1869300
64,2021-10-22,7.11,7.19,6.53,6.78,6.78,4526800
