,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,5.98,5.98,5.98,5.98,5.98,0.0
1,2016-01-05,5.98,5.98,5.98,5.98,5.98,0.0
2,2016-01-06,5.7,5.98,5.7,5.98,5.98,1000.0
3,2016-01-07,5.98,5.98,5.98,5.98,5.98,0.0
4,2016-01-08,5.5,5.89,5.5,5.89,5.89,2600.0
5,2016-01-11,5.4,5.55,5.3,5.3,5.3,5100.0
6,2016-01-12,5.3,5.3,5.3,5.3,5.3,0.0
7,2016-01-13,5.3,5.48,4.9,5.2,5.2,2400.0
8,2016-01-14,4.9,4.9,4.9,4.9,4.9,1800.0
9,2016-01-15,4.63,5.2,4.62,5.19,5.19,2800.0
10,2016-01-18,5.2,5.3,5.2,5.3,5.3,4100.0
11,2016-01-19,5.0,5.19,5.0,5.19,5.19,10100.0
12,2016-01-20,5.1,5.2,5.1,5.2,5.2,1300.0
13,2016-01-21,5.2,5.2,5.2,5.2,5.2,0.0
14,2016-01-22,5.2,5.2,5.2,5.2,5.2,0.0
15,2016-01-26,5.2,5.2,5.2,5.2,5.2,0.0
16,2016-01-27,4.9,5.0,4.9,5.0,5.0,10100.0
17,2016-01-28,5.0,5.02,4.73,5.0,5.0,3200.0
18,2016-01-29,5.0,5.0,5.0,5.0,5.0,0.0
19,2016-02-01,4.9,5.1,4.9,5.1,5.1,2000.0
20,2016-02-02,5.1,5.1,5.1,5.1,5.1,400.0
21,2016-02-03,5.09,5.1,4.72,5.1,5.1,3900.0
22,2016-02-04,5.1,5.1,5.1,5.1,5.1,0.0
23,2016-02-05,5.09,5.23,5.09,5.23,5.23,1100.0
24,2016-02-10,4.82,5.0,4.6,4.99,4.99,2200.0
25,2016-02-11,4.51,4.86,4.51,4.84,4.84,1600.0
26,2016-02-12,4.84,4.84,4.84,4.84,4.84,1100.0
27,2016-02-15,4.7,5.28,4.7,5.25,5.25,5800.0
28,2016-02-16,5.89,5.89,5.06,5.38,5.38,400.0
29,2016-02-17,5.7,5.7,5.15,5.15,5.15,1400.0
30,2016-02-18,5.24,5.29,5.15,5.29,5.29,1300.0
31,2016-02-19,5.12,5.22,5.12,5.22,5.22,1100.0
32,2016-02-22,5.22,5.22,5.22,5.22,5.22,0.0
33,2016-02-23,5.27,5.27,5.27,5.27,5.27,400.0
34,2016-02-24,5.27,5.27,5.27,5.27,5.27,0.0
35,2016-02-25,5.27,5.27,5.27,5.27,5.27,0.0
36,2016-02-26,5.23,5.23,5.23,5.23,5.23,1000.0
37,2016-02-29,5.1,5.26,5.1,5.26,5.26,1800.0
38,2016-03-01,4.96,5.26,4.95,5.26,5.26,1300.0
39,2016-03-02,5.0,5.27,5.0,5.27,5.27,500.0
40,2016-03-03,4.96,5.24,4.96,5.24,5.24,1300.0
41,2016-03-04,5.2,5.2,4.96,4.97,4.97,700.0
42,2016-03-07,5.15,5.15,5.15,5.15,5.15,300.0
43,2016-03-08,5.15,5.15,5.15,5.15,5.15,0.0
44,2016-03-09,4.8,5.2,4.2,4.2,4.2,229900.0
45,2016-03-10,4.83,4.88,4.35,4.8,4.8,6900.0
46,2016-03-11,4.96,5.0,4.9,4.9,4.9,1300.0
47,2016-03-14,4.9,4.9,4.9,4.9,4.9,0.0
48,2016-03-15,4.61,4.61,4.3,4.3,4.3,2000.0
49,2016-03-16,4.45,4.45,4.45,4.45,4.45,300.0
50,2016-03-17,4.4,4.41,4.3,4.41,4.41,34600.0
51,2016-03-18,4.55,4.7,4.4,4.4,4.4,1900.0
52,2016-03-21,4.4,4.4,4.4,4.4,4.4,0.0
53,2016-03-22,4.4,4.4,4.4,4.4,4.4,0.0
54,2016-03-23,4.36,4.66,4.36,4.66,4.66,3000.0
55,2016-03-24,4.7,4.89,4.7,4.89,4.89,3800.0
56,2016-03-28,4.89,4.89,4.89,4.89,4.89,0.0
57,2016-03-29,4.9,5.18,4.9,5.18,5.18,2400.0
58,2016-03-30,5.26,5.26,5.2,5.2,5.2,4300.0
59,2016-03-31,5.0,5.2,4.75,5.2,5.2,500.0
60,2016-04-01,4.81,4.93,4.81,4.93,4.93,2200.0
61,2016-04-04,5.0,5.09,5.0,5.09,5.09,900.0
62,2016-04-05,4.76,5.08,4.76,5.08,5.08,1100.0
63,2016-04-06,5.06,5.08,5.05,5.05,5.05,1900.0
64,2016-04-07,5.29,5.45,5.29,5.45,5.45,5100.0
65,2016-04-08,5.45,5.45,5.45,5.45,5.45,0.0
66,2016-04-11,5.3,5.4,5.3,5.4,5.4,800.0
67,2016-04-12,5.4,5.4,5.4,5.4,5.4,0.0
68,2016-04-13,5.4,5.4,5.4,5.4,5.4,0.0
69,2016-04-14,5.4,5.4,5.4,5.4,5.4,0.0
70,2016-04-15,5.39,5.39,5.39,5.39,5.39,200.0
71,2016-04-18,5.38,5.38,5.38,5.38,5.38,300.0
72,2016-04-19,5.15,5.31,5.15,5.31,5.31,500.0
73,2016-04-20,5.31,5.31,5.31,5.31,5.31,0.0
74,2016-04-22,4.9,5.0,4.8,4.99,4.99,10100.0
75,2016-04-25,4.73,4.8,4.73,4.75,4.75,700.0
76,2016-04-26,4.75,5.0,4.6,4.95,4.95,6500.0
77,2016-04-27,4.9,6.03,4.9,5.8,5.8,21200.0
78,2016-04-28,6.19,7.32,5.9,6.21,6.21,9400.0
79,2016-04-29,6.8,7.1,6.25,6.97,6.97,13400.0
80,2016-05-02,6.5,8.0,6.5,7.19,7.19,14100.0
81,2016-05-03,6.56,7.85,6.4,7.47,7.47,3100.0
82,2016-05-04,7.31,7.69,7.12,7.54,7.54,11900.0
83,2016-05-05,7.6,9.0,7.6,8.85,8.85,29300.0
84,2016-05-06,8.51,9.0,8.51,8.99,8.99,4000.0
85,2016-05-09,8.9,9.18,8.79,8.79,8.79,900.0
86,2016-05-10,8.98,8.98,8.03,8.9,8.9,12800.0
87,2016-05-11,8.99,9.0,8.89,8.89,8.89,24000.0
88,2016-05-12,8.5,8.85,8.0,8.0,8.0,8700.0
89,2016-05-13,7.98,8.02,7.98,8.0,8.0,1500.0
90,2016-05-16,8.0,8.0,7.58,7.6,7.6,2000.0
91,2016-05-17,7.21,7.4,7.0,7.19,7.19,3200.0
92,2016-05-18,7.19,7.79,7.0,7.0,7.0,9500.0
93,2016-05-19,7.0,7.0,7.0,7.0,7.0,0.0
94,2016-05-20,7.18,7.18,6.66,6.66,6.66,800.0
95,2016-05-23,6.97,6.97,6.96,6.96,6.96,400.0
96,2016-05-24,6.81,6.89,6.25,6.39,6.39,5000.0
97,2016-05-25,6.97,7.74,6.96,7.74,7.74,16700.0
98,2016-05-27,7.75,8.39,7.59,8.39,8.39,5200.0
99,2016-05-30,8.39,8.39,8.39,8.39,8.39,0.0
100,2016-05-31,8.31,8.31,8.31,8.31,8.31,5100.0
101,2016-06-01,8.26,8.26,8.26,8.26,8.26,10700.0
102,2016-06-02,8.26,8.26,8.26,8.26,8.26,0.0
103,2016-06-03,8.17,8.17,8.17,8.17,8.17,200.0
104,2016-06-06,7.5,8.15,7.5,8.15,8.15,6100.0
105,2016-06-07,8.2,8.34,7.7,8.32,8.32,17300.0
106,2016-06-08,8.32,8.32,8.32,8.32,8.32,0.0
107,2016-06-09,8.0,8.06,7.99,7.99,7.99,1800.0
108,2016-06-10,7.99,7.99,7.99,7.99,7.99,0.0
109,2016-06-13,7.97,7.97,7.9,7.9,7.9,700.0
110,2016-06-14,7.9,8.12,7.9,8.12,8.12,7500.0
111,2016-06-15,8.12,8.12,8.12,8.12,8.12,0.0
112,2016-06-16,7.7,8.0,7.7,7.7,7.7,11400.0
113,2016-06-17,7.7,7.7,7.1,7.1,7.1,700.0
114,2016-06-20,7.1,7.1,7.1,7.1,7.1,0.0
115,2016-06-21,7.1,7.1,7.1,7.1,7.1,0.0
116,2016-06-22,7.79,8.5,7.7,8.5,8.5,17400.0
117,2016-06-23,8.5,8.8,8.41,8.41,8.41,7300.0
118,2016-06-24,8.7,9.0,8.7,9.0,9.0,3600.0
119,2016-06-27,9.0,9.0,9.0,9.0,9.0,0.0
120,2016-06-28,9.0,9.0,9.0,9.0,9.0,0.0
121,2016-06-29,8.71,8.9,8.52,8.52,8.52,4000.0
122,2016-06-30,8.7,8.7,8.7,8.7,8.7,1100.0
123,2016-07-01,8.88,9.0,8.7,9.0,9.0,2900.0
124,2016-07-04,8.7,8.9,8.7,8.9,8.9,800.0
125,2016-07-05,9.1,9.1,9.1,9.1,9.1,100.0
126,2016-07-06,9.0,9.25,8.5,9.2,9.2,9900.0
127,2016-07-07,9.2,9.6,9.2,9.5,9.5,13200.0
128,2016-07-08,9.5,9.8,9.49,9.49,9.49,4000.0
129,2016-07-11,9.9,10.5,9.9,10.01,10.01,4000.0
130,2016-07-12,10.5,10.75,10.5,10.6,10.6,2500.0
131,2016-07-13,10.59,10.6,9.85,9.85,9.85,3700.0
132,2016-07-14,10.49,10.5,9.91,9.91,9.91,1200.0
133,2016-07-15,9.87,9.87,9.85,9.85,9.85,1300.0
134,2016-07-18,9.5,9.5,8.89,8.93,8.93,12900.0
135,2016-07-19,8.93,9.7,8.93,9.7,9.7,3900.0
136,2016-07-20,10.14,10.15,9.55,10.13,10.13,800.0
137,2016-07-21,9.57,10.2,9.5,10.2,10.2,6100.0
138,2016-07-22,10.43,10.5,10.43,10.45,10.45,2200.0
139,2016-07-25,10.6,10.7,10.6,10.7,10.7,500.0
140,2016-07-26,10.7,10.8,10.7,10.8,10.8,400.0
141,2016-07-27,10.8,11.33,10.8,11.33,11.33,4600.0
142,2016-07-28,11.59,11.6,11.59,11.6,11.6,300.0
143,2016-07-29,12.0,12.0,12.0,12.0,12.0,600.0
144,2016-08-01,11.62,11.62,11.62,11.62,11.62,100.0
145,2016-08-02,12.2,12.2,11.99,12.19,12.19,2500.0
146,2016-08-03,12.19,12.19,12.19,12.19,12.19,0.0
147,2016-08-04,11.62,11.63,11.6,11.6,11.6,900.0
148,2016-08-05,11.6,11.6,11.59,11.59,11.59,200.0
