,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,4.0,4.0,4.0,4.0,4.0,200.0
1,2016-01-05,4.0,4.0,4.0,4.0,4.0,1000.0
2,2016-01-06,4.0,4.0,4.0,4.0,4.0,0.0
3,2016-01-07,4.0,4.0,3.0,3.0,3.0,2695.0
4,2016-01-08,5.0,5.0,5.0,5.0,5.0,132.0
5,2016-01-11,4.0,4.0,4.0,4.0,4.0,100.0
6,2016-01-12,5.0,5.0,4.0,5.0,5.0,661.0
7,2016-01-13,4.0,4.0,4.0,4.0,4.0,305.0
8,2016-01-14,4.0,5.0,4.0,5.0,5.0,157.0
9,2016-01-15,4.0,4.0,4.0,4.0,4.0,1250.0
10,2016-01-18,4.0,4.0,4.0,4.0,4.0,0.0
11,2016-01-19,4.0,4.0,4.0,4.0,4.0,54.0
12,2016-01-20,4.0,4.0,4.0,4.0,4.0,2541.0
13,2016-01-21,4.0,5.0,3.0,5.0,5.0,677.0
14,2016-01-22,5.0,5.0,5.0,5.0,5.0,0.0
15,2016-01-26,5.0,5.0,3.0,3.0,3.0,1001.0
16,2016-01-27,4.0,4.0,4.0,4.0,4.0,278.0
17,2016-01-28,4.0,4.0,4.0,4.0,4.0,150.0
18,2016-01-29,4.0,4.0,4.0,4.0,4.0,0.0
19,2016-02-01,4.0,4.0,4.0,4.0,4.0,75.0
20,2016-02-02,4.0,4.0,4.0,4.0,4.0,0.0
21,2016-02-03,4.0,4.0,4.0,4.0,4.0,0.0
22,2016-02-04,4.0,4.0,3.0,3.0,3.0,883.0
23,2016-02-05,3.0,3.0,3.0,3.0,3.0,0.0
24,2016-02-10,4.0,4.0,4.0,4.0,4.0,120.0
25,2016-02-11,4.0,4.0,3.0,3.0,3.0,280.0
26,2016-02-12,4.0,4.0,4.0,4.0,4.0,80.0
27,2016-02-15,4.0,4.0,4.0,4.0,4.0,0.0
28,2016-02-16,4.0,4.0,4.0,4.0,4.0,45.0
29,2016-02-17,3.0,4.0,3.0,3.0,3.0,461.0
30,2016-02-18,3.0,4.0,3.0,4.0,4.0,2192.0
31,2016-02-19,4.0,5.0,4.0,5.0,5.0,6660.0
32,2016-02-22,4.0,5.0,4.0,5.0,5.0,249.0
33,2016-02-23,4.0,5.0,4.0,5.0,5.0,502.0
34,2016-02-24,5.0,5.0,4.0,4.0,4.0,1717.0
35,2016-02-25,4.0,5.0,3.0,4.0,4.0,1683.0
