,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-05-10,18.57,18.57,17.709999,17.799999,17.66692,418900
1,2021-05-11,17.85,18.389999,17.35,17.99,17.855501,772600
2,2021-05-12,17.9,18.459999,17.9,18.110001,17.974606,319300
3,2021-05-13,18.4,18.940001,17.549999,18.0,17.865427,852700
4,2021-05-14,18.190001,18.389999,17.549999,18.01,17.875353,478000
5,2021-05-17,18.1,18.4,17.9,18.4,18.262436,259100
6,2021-05-18,18.280001,18.799999,18.209999,18.4,18.262436,185900
7,2021-05-19,18.4,18.4,17.799999,17.85,17.716549,283400
8,2021-05-20,17.940001,18.0,17.620001,17.799999,17.66692,118600
9,2021-05-21,17.85,17.85,17.25,17.6,17.468418,251500
10,2021-05-24,17.690001,17.940001,17.52,17.719999,17.587521,453000
11,2021-05-25,17.74,17.959999,17.299999,17.6,17.468418,197200
12,2021-05-26,17.700001,17.73,17.08,17.1,16.972155,685600
13,2021-05-27,17.24,17.24,16.65,16.9,16.773649,394300
14,2021-05-28,16.940001,17.25,16.65,16.9,16.773649,767300
15,2021-05-31,17.0,17.18,16.809999,16.92,16.793501,368300
16,2021-06-01,17.07,17.34,16.75,17.280001,17.15081,566900
17,2021-06-02,17.299999,18.0,17.129999,17.85,17.716549,801000
18,2021-06-04,18.110001,18.75,18.110001,18.200001,18.063932,1442200
19,2021-06-07,18.120001,18.219999,17.709999,17.799999,17.66692,510000
20,2021-06-08,18.139999,18.18,17.18,17.35,17.220285,700000
21,2021-06-09,17.549999,17.82,17.18,17.18,17.051558,691900
22,2021-06-10,17.27,17.540001,17.110001,17.190001,17.061483,248600
23,2021-06-11,17.16,17.27,16.75,16.799999,16.674398,577600
24,2021-06-14,16.9,16.92,16.360001,16.360001,16.237688,1295500
25,2021-06-15,16.59,16.639999,16.41,16.450001,16.327015,552200
26,2021-06-16,16.450001,16.799999,16.32,16.58,16.456043,572500
27,2021-06-17,16.66,16.68,16.309999,16.309999,16.188061,250400
28,2021-06-18,16.35,16.389999,15.83,15.97,15.850604,565800
29,2021-06-21,15.9,15.97,15.43,15.59,15.473445,786900
30,2021-06-22,15.59,15.93,15.45,15.7,15.582623,453800
31,2021-06-23,15.7,16.25,15.7,16.129999,16.009407,1790000
32,2021-06-24,16.309999,16.66,16.129999,16.25,16.128511,523500
33,2021-06-25,16.290001,17.5,16.290001,17.24,17.111109,3374100
34,2021-06-28,17.280001,18.01,16.66,17.07,16.942379,1093500
35,2021-06-29,17.450001,17.74,17.25,17.379999,17.250061,552000
36,2021-06-30,17.32,19.5,17.32,18.559999,18.42124,2328000
37,2021-07-01,18.559999,19.200001,17.92,18.99,18.848024,1826200
38,2021-07-02,19.15,19.15,18.51,18.65,18.573065,357100
39,2021-07-05,18.65,18.84,17.76,18.4,18.324095,542600
40,2021-07-06,18.370001,18.9,17.809999,18.610001,18.53323,1008100
41,2021-07-07,18.9,19.700001,18.860001,19.0,18.921621,953100
42,2021-07-08,18.25,18.92,18.15,18.25,18.174715,461700
43,2021-07-12,18.309999,19.0,17.950001,18.49,18.413725,507500
44,2021-07-13,18.26,18.77,18.01,18.76,18.682611,354100
45,2021-07-14,19.0,19.49,18.25,18.309999,18.234467,475700
46,2021-07-15,18.299999,18.370001,17.5,17.5,17.427809,1175300
47,2021-07-16,17.35,18.879999,17.15,18.25,18.174715,811800
48,2021-07-19,17.75,18.469999,17.299999,17.75,17.676777,839000
49,2021-07-20,17.780001,18.0,17.59,17.76,17.686735,312400
50,2021-07-21,17.809999,18.790001,17.809999,18.200001,18.124922,915700
51,2021-07-22,18.190001,18.5,18.08,18.08,18.005415,345100
52,2021-07-23,18.08,18.5,17.91,18.5,18.423683,431800
53,2021-07-26,18.52,18.940001,18.059999,18.620001,18.543188,639800
54,2021-07-27,18.299999,18.5,17.719999,17.84,17.766405,478600
55,2021-07-28,17.85,18.35,17.799999,18.200001,18.124922,327200
56,2021-07-29,18.1,18.139999,17.450001,17.450001,17.378016,332500
57,2021-07-30,17.25,17.5,16.209999,16.52,16.451851,753700
58,2021-08-02,16.969999,17.200001,16.309999,16.4,16.332346,706000
59,2021-08-03,16.5,16.5,15.81,16.459999,16.392097,473300
60,2021-08-04,16.35,17.139999,16.34,16.459999,16.392097,453200
61,2021-08-05,16.549999,16.940001,15.76,16.700001,16.631109,583100
62,2021-08-06,16.68,16.860001,16.33,16.33,16.262634,175100
63,2021-08-09,16.35,16.559999,15.99,15.99,15.924037,270500
64,2021-08-10,16.059999,16.43,16.01,16.43,16.362223,317700
65,2021-08-11,16.75,17.6,16.75,17.4,17.32822,1626300
66,2021-08-12,17.4,17.549999,16.799999,17.4,17.32822,325800
67,2021-08-13,17.4,17.639999,16.559999,17.200001,17.129047,756700
68,2021-08-16,17.059999,17.16,15.95,15.95,15.884202,323900
69,2021-08-17,15.91,15.91,14.71,14.85,14.78874,929200
70,2021-08-18,15.09,15.16,14.28,14.32,14.260926,1086600
