,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,6.31,6.35,6.12,6.23,5.785328,1532600.0
1,2016-01-05,6.25,6.32,5.95,5.95,5.525313,1748300.0
2,2016-01-06,5.95,6.03,5.82,5.92,5.497455,2101300.0
3,2016-01-07,5.89,5.89,5.61,5.67,5.265299,2486900.0
4,2016-01-08,5.68,6.02,5.65,5.9,5.478883,8061500.0
5,2016-01-11,5.86,6.09,5.86,6.0,5.571744,4160500.0
6,2016-01-12,6.03,6.13,5.75,5.84,5.423165,3205600.0
7,2016-01-13,5.92,6.03,5.72,5.73,5.321016,2210000.0
8,2016-01-14,5.7,5.91,5.56,5.77,5.358161,1962200.0
9,2016-01-15,5.69,5.79,5.49,5.6,5.200295,2784600.0
10,2016-01-18,5.66,5.69,5.41,5.6,5.200295,1758400.0
11,2016-01-19,5.66,5.9,5.57,5.6,5.200295,4604800.0
12,2016-01-20,5.5,5.63,5.32,5.48,5.08886,3445400.0
13,2016-01-21,5.49,5.62,5.42,5.62,5.218868,2311800.0
14,2016-01-22,5.66,5.85,5.56,5.85,5.432451,3231200.0
15,2016-01-26,5.81,5.94,5.47,5.72,5.311729,4485500.0
16,2016-01-27,5.72,5.78,5.53,5.6,5.200295,4484300.0
17,2016-01-28,5.59,5.95,5.51,5.95,5.525313,2053800.0
18,2016-01-29,5.98,6.24,5.94,6.1,5.664607,3815100.0
19,2016-02-01,6.1,6.22,5.97,6.12,5.683179,3384600.0
20,2016-02-02,6.08,6.22,5.9,5.96,5.5346,4011200.0
21,2016-02-03,6.0,6.14,5.97,6.01,5.581031,1930800.0
22,2016-02-04,6.1,6.19,5.91,5.93,5.506741,2978400.0
23,2016-02-05,5.9,6.21,5.9,6.05,5.618176,4534300.0
24,2016-02-10,6.0,6.23,5.93,6.0,5.571744,1572100.0
25,2016-02-11,5.96,6.01,5.68,5.9,5.478883,4249000.0
26,2016-02-12,6.01,6.04,5.78,5.93,5.506741,1799000.0
27,2016-02-15,5.97,6.11,5.86,5.86,5.441737,1369000.0
28,2016-02-16,5.82,6.14,5.81,6.02,5.590317,3424200.0
29,2016-02-17,6.07,6.14,5.96,6.0,5.571744,2541500.0
30,2016-02-18,6.0,6.11,5.92,5.92,5.497455,3247300.0
31,2016-02-19,5.9,6.18,5.82,6.13,5.692466,4241800.0
32,2016-02-22,6.24,6.59,6.18,6.48,6.017484,2638700.0
33,2016-02-23,6.46,6.65,6.04,6.11,5.673893,2919500.0
34,2016-02-24,6.0,6.14,5.87,6.1,5.664607,2484300.0
35,2016-02-25,6.09,6.25,6.0,6.23,5.785328,2871300.0
36,2016-02-26,6.25,6.34,5.97,5.97,5.543886,2803800.0
37,2016-02-29,6.03,6.34,5.98,6.25,5.803901,2585800.0
38,2016-03-01,6.29,6.43,6.17,6.29,5.841046,2839400.0
39,2016-03-02,6.34,6.49,6.25,6.38,5.924622,3847400.0
40,2016-03-03,6.43,6.67,6.34,6.41,5.952481,9121500.0
41,2016-03-04,6.51,6.6,5.93,6.47,6.008198,3757300.0
42,2016-03-07,6.6,6.65,6.35,6.45,5.989625,1619700.0
43,2016-03-08,6.49,6.59,6.27,6.29,5.841046,4538800.0
44,2016-03-09,6.37,6.45,6.25,6.25,5.803901,3156500.0
45,2016-03-10,6.3,6.51,6.29,6.41,5.952481,3716300.0
46,2016-03-11,6.42,6.73,6.37,6.56,6.091774,3127800.0
47,2016-03-14,6.6,6.76,6.46,6.68,6.203209,1854400.0
48,2016-03-15,6.58,6.58,6.07,6.5,6.036057,6488500.0
49,2016-03-16,6.45,6.8,6.25,6.75,6.268213,4304000.0
50,2016-03-17,6.87,7.15,6.75,6.9,6.407506,4174200.0
51,2016-03-18,6.95,6.97,6.72,6.72,6.240354,4653200.0
52,2016-03-21,6.74,7.02,6.73,6.84,6.351789,3550000.0
53,2016-03-22,6.85,6.95,6.78,6.79,6.305358,3259900.0
54,2016-03-23,6.74,6.86,6.7,6.72,6.240354,6122200.0
55,2016-03-24,6.66,6.82,6.64,6.75,6.268213,1723300.0
56,2016-03-28,6.82,6.94,6.77,6.85,6.361075,6459100.0
57,2016-03-29,6.88,7.0,6.79,6.83,6.342503,2368300.0
58,2016-03-30,6.92,6.92,6.8,6.8,6.314644,2492800.0
59,2016-03-31,6.58,6.58,6.58,6.58,6.110347,100.0
60,2016-04-01,6.7,6.7,6.7,6.7,6.221782,3800.0
61,2016-04-04,6.42,6.42,6.42,6.42,5.961767,7400.0
62,2016-04-05,6.35,6.35,6.35,6.35,5.896763,3400.0
63,2016-04-06,6.53,6.53,6.53,6.53,6.063916,10000.0
64,2016-04-07,6.64,6.64,6.64,6.64,6.166064,7500.0
65,2016-04-08,6.84,6.84,6.42,6.43,5.971053,4889900.0
66,2016-04-11,6.36,6.36,6.36,6.36,5.906049,5400.0
67,2016-04-12,6.44,6.44,6.44,6.44,5.98034,3600.0
68,2016-04-13,6.46,6.46,6.46,6.46,5.998912,9700.0
69,2016-04-14,6.5,6.61,6.44,6.5,6.036057,1949100.0
70,2016-04-15,6.56,6.65,6.43,6.46,5.998912,2190900.0
71,2016-04-18,6.48,6.48,6.29,6.29,5.841046,1665300.0
72,2016-04-19,6.52,6.52,6.52,6.52,6.054629,2400.0
73,2016-04-20,6.45,6.51,6.36,6.49,6.02677,1038400.0
74,2016-04-22,6.35,6.45,6.32,6.39,5.933908,1178500.0
75,2016-04-25,6.39,6.46,6.31,6.31,5.859618,7027500.0
76,2016-04-26,6.34,6.4,6.09,6.3,5.850332,5724500.0
77,2016-04-27,6.36,6.62,6.3,6.55,6.082489,1716900.0
78,2016-04-28,6.57,6.66,6.48,6.52,6.054629,3311300.0
79,2016-04-29,6.52,6.69,6.42,6.49,6.02677,2049400.0
80,2016-05-02,6.48,6.52,6.27,6.3,5.850332,2777600.0
81,2016-05-03,6.25,6.32,6.08,6.3,5.850332,6569700.0
82,2016-05-04,6.3,6.37,6.11,6.37,5.915335,3292800.0
83,2016-05-05,6.35,6.43,6.26,6.4,5.943195,2739000.0
84,2016-05-06,6.35,6.45,6.25,6.25,5.803901,2899000.0
85,2016-05-09,6.2,6.29,6.01,6.15,5.711039,3859100.0
86,2016-05-10,6.15,6.25,6.1,6.15,5.711039,3400500.0
87,2016-05-11,6.22,6.25,6.16,6.19,5.748183,2267600.0
88,2016-05-12,6.25,6.47,6.23,6.37,5.915335,4571000.0
89,2016-05-13,6.3,6.39,6.22,6.3,5.850332,2099600.0
90,2016-05-16,6.2,6.55,6.19,6.5,6.036057,5227700.0
91,2016-05-17,6.56,6.57,6.4,6.47,6.008198,2258300.0
