,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,8.98,8.98,8.98,8.98,7.054296,1100.0
1,2016-01-05,8.98,8.98,8.98,8.98,7.054296,0.0
2,2016-01-06,8.98,8.98,8.98,8.98,7.054296,0.0
3,2016-01-07,8.9,8.9,8.8,8.8,6.912898,1500.0
4,2016-01-08,9.0,9.0,9.0,9.0,7.070008,4500.0
5,2016-01-11,9.0,9.0,9.0,9.0,7.070008,0.0
6,2016-01-12,9.18,9.18,8.21,8.21,6.449419,1100.0
7,2016-01-13,8.21,8.21,8.0,8.01,6.292307,1400.0
8,2016-01-14,8.01,8.01,8.01,8.01,6.292307,0.0
9,2016-01-15,8.31,8.31,8.3,8.3,6.520119,800.0
10,2016-01-18,8.0,8.5,8.0,8.5,6.67723,600.0
11,2016-01-19,8.5,8.5,8.5,8.5,6.67723,0.0
12,2016-01-20,8.5,8.5,8.5,8.5,6.67723,0.0
13,2016-01-21,8.01,8.01,7.01,7.01,5.506751,700.0
14,2016-01-22,7.22,7.75,7.22,7.44,5.84454,500.0
15,2016-01-26,7.44,7.44,7.44,7.44,5.84454,0.0
16,2016-01-27,7.8,8.0,7.8,8.0,6.284452,300.0
17,2016-01-28,8.0,8.0,8.0,8.0,6.284452,0.0
18,2016-01-29,8.0,8.0,8.0,8.0,6.284452,0.0
19,2016-02-01,8.0,8.0,8.0,8.0,6.284452,0.0
20,2016-02-02,7.99,8.0,7.99,8.0,6.284452,30300.0
21,2016-02-03,8.0,8.0,8.0,8.0,6.284452,0.0
22,2016-02-04,8.0,8.0,8.0,8.0,6.284452,1200.0
23,2016-02-05,8.0,8.0,8.0,8.0,6.284452,100.0
24,2016-02-10,7.99,7.99,7.99,7.99,6.276595,10000.0
25,2016-02-11,7.99,7.99,7.99,7.99,6.276595,0.0
26,2016-02-12,7.99,7.99,7.99,7.99,6.276595,0.0
27,2016-02-15,7.99,7.99,7.99,7.99,6.276595,0.0
28,2016-02-16,7.99,7.99,7.99,7.99,6.276595,0.0
29,2016-02-17,7.99,7.99,7.99,7.99,6.276595,0.0
30,2016-02-18,7.99,7.99,7.99,7.99,6.276595,0.0
31,2016-02-19,7.99,7.99,7.99,7.99,6.276595,0.0
32,2016-02-22,7.98,8.03,7.8,8.03,6.308018,4700.0
33,2016-02-23,8.03,8.03,8.03,8.03,6.308018,0.0
34,2016-02-24,8.03,8.03,8.03,8.03,6.308018,0.0
35,2016-02-25,7.98,7.98,7.98,7.98,6.268741,200.0
36,2016-02-26,8.0,8.0,7.95,8.0,6.284452,1200.0
37,2016-02-29,8.03,8.03,8.02,8.02,6.300163,2000.0
38,2016-03-01,8.02,8.02,8.02,8.02,6.300163,0.0
39,2016-03-02,8.02,8.02,8.02,8.02,6.300163,0.0
40,2016-03-03,8.0,8.03,8.0,8.03,6.308018,1600.0
41,2016-03-04,8.0,8.35,8.0,8.01,6.292307,5500.0
42,2016-03-07,8.5,8.5,8.5,8.5,6.67723,4000.0
43,2016-03-08,8.5,8.5,8.5,8.5,6.67723,1000.0
44,2016-03-09,8.5,8.5,8.5,8.5,6.67723,0.0
45,2016-03-10,8.5,8.5,8.5,8.5,6.67723,0.0
46,2016-03-11,8.6,8.6,8.6,8.6,6.755785,1400.0
47,2016-03-14,8.7,8.7,8.7,8.7,6.834341,200.0
48,2016-03-15,8.7,8.7,8.7,8.7,6.834341,0.0
49,2016-03-16,8.69,8.69,8.3,8.3,6.520119,600.0
50,2016-03-17,8.0,8.5,8.0,8.5,6.67723,1600.0
51,2016-03-18,8.5,8.5,8.5,8.5,6.67723,0.0
52,2016-03-21,8.5,8.5,8.5,8.5,6.67723,0.0
53,2016-03-22,8.5,8.5,8.5,8.5,6.67723,0.0
54,2016-03-23,8.98,8.98,8.98,8.98,7.054296,100.0
55,2016-03-24,8.98,8.98,8.98,8.98,7.054296,0.0
56,2016-03-28,8.96,8.96,8.8,8.8,6.912898,300.0
57,2016-03-29,8.96,11.47,8.96,11.47,9.010332,12600.0
58,2016-03-30,9.98,10.03,9.98,10.03,7.879131,600.0
59,2016-03-31,10.03,10.03,10.03,10.03,7.879131,0.0
60,2016-04-01,10.0,10.0,10.0,10.0,7.855564,1300.0
61,2016-04-04,10.0,10.0,10.0,10.0,7.855564,0.0
62,2016-04-05,10.0,10.0,10.0,10.0,7.855564,0.0
63,2016-04-06,10.0,10.0,10.0,10.0,7.855564,0.0
64,2016-04-07,10.0,10.0,10.0,10.0,7.855564,0.0
65,2016-04-08,10.0,10.0,10.0,10.0,7.855564,500.0
66,2016-04-11,10.0,10.0,10.0,10.0,7.855564,0.0
67,2016-04-12,10.0,10.0,10.0,10.0,7.855564,0.0
68,2016-04-13,9.32,10.0,9.32,10.0,7.855564,3200.0
69,2016-04-14,10.0,10.0,10.0,10.0,7.855564,0.0
70,2016-04-15,9.67,10.39,9.67,10.39,8.161932,5100.0
71,2016-04-18,10.29,10.29,10.29,10.29,8.083376,49000.0
72,2016-04-19,10.29,10.29,10.29,10.29,8.083376,1000.0
73,2016-04-20,10.29,10.29,10.29,10.29,8.083376,0.0
74,2016-04-22,10.29,10.29,10.29,10.29,8.083376,0.0
75,2016-04-25,10.29,10.29,10.29,10.29,8.083376,0.0
76,2016-04-26,10.29,10.29,10.29,10.29,8.083376,0.0
77,2016-04-27,9.79,9.79,9.51,9.51,7.470641,300.0
78,2016-04-28,9.51,9.51,9.51,9.51,7.470641,0.0
79,2016-04-29,9.55,9.83,9.52,9.52,7.478498,6600.0
80,2016-05-02,9.35,9.45,9.33,9.44,7.415653,3600.0
81,2016-05-03,9.12,9.35,9.11,9.35,7.344953,2000.0
82,2016-05-04,9.35,9.35,9.35,9.35,7.344953,700.0
83,2016-05-05,9.35,9.83,8.91,9.5,7.462787,13000.0
84,2016-05-06,9.5,9.75,9.5,9.75,7.659175,400.0
85,2016-05-09,9.75,9.95,9.75,9.95,7.816287,300.0
86,2016-05-10,9.95,9.95,9.95,9.95,7.816287,0.0
87,2016-05-11,9.99,9.99,9.99,9.99,7.847708,300.0
88,2016-05-12,9.99,9.99,9.99,9.99,7.847708,0.0
89,2016-05-13,9.3,9.8,9.0,9.0,7.070008,500.0
90,2016-05-16,9.01,9.01,9.01,9.01,7.077864,800.0
91,2016-05-17,9.06,9.06,9.03,9.06,7.117142,1400.0
92,2016-05-18,9.06,9.06,9.06,9.06,7.117142,100.0
93,2016-05-19,9.87,10.5,9.87,10.5,8.248343,500.0
94,2016-05-20,10.5,10.5,10.5,10.5,8.248343,0.0
95,2016-05-23,10.5,10.5,10.5,10.5,8.248343,0.0
96,2016-05-24,10.5,10.5,10.5,10.5,8.248343,0.0
97,2016-05-25,10.5,10.5,10.5,10.5,8.248343,0.0
98,2016-05-27,10.5,10.5,10.5,10.5,8.248343,0.0
99,2016-05-30,10.5,10.5,10.5,10.5,8.248343,0.0
100,2016-05-31,10.49,10.49,10.49,10.49,8.240485,400.0
101,2016-06-01,10.49,10.49,10.49,10.49,8.240485,0.0
102,2016-06-02,9.5,10.17,9.5,10.17,7.989109,300.0
103,2016-06-03,10.17,10.17,10.17,10.17,7.989109,0.0
104,2016-06-06,10.16,10.16,10.16,10.16,7.981254,200.0
105,2016-06-07,9.61,10.1,9.6,10.0,7.855564,600.0
106,2016-06-08,9.99,9.99,9.99,9.99,7.847708,200.0
107,2016-06-09,9.55,9.95,9.5,9.95,7.816287,1500.0
108,2016-06-10,9.95,9.95,9.95,9.95,7.816287,0.0
109,2016-06-13,9.95,9.95,9.95,9.95,7.816287,0.0
110,2016-06-14,9.7,9.7,9.7,9.7,7.619897,1900.0
111,2016-06-15,10.15,10.15,10.15,10.15,7.973397,200.0
112,2016-06-16,10.15,10.15,10.15,10.15,7.973397,0.0
113,2016-06-17,9.5,9.53,9.5,9.53,7.486353,700.0
114,2016-06-20,9.53,9.53,9.53,9.53,7.486353,0.0
115,2016-06-21,9.51,9.99,9.51,9.99,7.847708,300.0
116,2016-06-22,9.54,10.12,9.54,10.12,7.949832,600.0
117,2016-06-23,10.12,10.12,10.12,10.12,7.949832,0.0
118,2016-06-24,10.12,10.12,10.12,10.12,7.949832,0.0
119,2016-06-27,9.37,9.89,9.37,9.45,7.42351,1100.0
