,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.16,1.4,1.16,1.4,1.4,1400.0
1,2016-01-05,1.32,1.33,1.32,1.32,1.32,2100.0
2,2016-01-06,1.32,1.32,1.32,1.32,1.32,0.0
3,2016-01-07,1.32,1.32,1.32,1.32,1.32,0.0
4,2016-01-08,1.4,1.4,1.4,1.4,1.4,1000.0
5,2016-01-11,1.4,1.4,1.4,1.4,1.4,0.0
6,2016-01-12,1.4,1.4,1.4,1.4,1.4,0.0
7,2016-01-13,1.4,1.4,1.4,1.4,1.4,0.0
8,2016-01-14,1.4,1.4,1.4,1.4,1.4,0.0
9,2016-01-15,1.4,1.4,1.4,1.4,1.4,0.0
10,2016-01-18,1.4,1.4,1.4,1.4,1.4,0.0
11,2016-01-19,1.4,1.4,1.4,1.4,1.4,0.0
12,2016-01-20,1.4,1.4,1.4,1.4,1.4,0.0
13,2016-01-21,1.4,1.4,1.4,1.4,1.4,0.0
14,2016-01-22,1.4,1.4,1.4,1.4,1.4,200.0
15,2016-01-26,1.4,1.4,1.4,1.4,1.4,0.0
16,2016-01-27,1.4,1.4,1.4,1.4,1.4,0.0
17,2016-01-28,1.4,1.4,1.4,1.4,1.4,0.0
18,2016-01-29,1.5,1.5,1.48,1.48,1.48,5100.0
19,2016-02-01,1.48,1.48,1.48,1.48,1.48,5000.0
20,2016-02-02,1.48,1.48,1.48,1.48,1.48,0.0
21,2016-02-03,1.48,1.48,1.48,1.48,1.48,0.0
22,2016-02-04,1.48,1.48,1.48,1.48,1.48,0.0
23,2016-02-05,1.4,1.4,1.4,1.4,1.4,100.0
24,2016-02-10,1.4,1.4,1.4,1.4,1.4,0.0
25,2016-02-11,1.4,1.4,1.4,1.4,1.4,0.0
26,2016-02-12,1.4,1.4,1.4,1.4,1.4,0.0
27,2016-02-15,1.4,1.4,1.4,1.4,1.4,0.0
28,2016-02-16,1.4,1.4,1.4,1.4,1.4,0.0
29,2016-02-17,1.4,1.4,1.4,1.4,1.4,0.0
30,2016-02-18,1.4,1.4,1.4,1.4,1.4,0.0
31,2016-02-19,1.4,1.4,1.4,1.4,1.4,0.0
32,2016-02-22,1.4,1.4,1.4,1.4,1.4,0.0
33,2016-02-23,1.32,1.32,1.24,1.24,1.24,2000.0
34,2016-02-24,1.4,1.4,1.4,1.4,1.4,1500.0
35,2016-02-25,1.4,1.4,1.4,1.4,1.4,0.0
36,2016-02-26,1.4,1.4,1.4,1.4,1.4,0.0
37,2016-02-29,1.4,1.4,1.4,1.4,1.4,0.0
38,2016-03-01,1.4,1.4,1.4,1.4,1.4,0.0
39,2016-03-02,1.4,1.4,1.4,1.4,1.4,0.0
40,2016-03-03,1.4,1.4,1.4,1.4,1.4,0.0
41,2016-03-04,1.4,1.4,1.4,1.4,1.4,0.0
42,2016-03-07,1.4,1.4,1.4,1.4,1.4,0.0
43,2016-03-08,1.4,1.4,1.4,1.4,1.4,0.0
