,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-12-21,4.58,5.35,4.5,4.94,4.93156,9396600.0
1,2020-12-22,5.12,5.36,5.06,5.32,5.310911,8043400.0
2,2020-12-23,5.56,6.35,5.56,6.3,6.289237,13124500.0
3,2020-12-28,6.65,7.72,6.65,7.39,7.377374,19355400.0
4,2020-12-29,7.79,8.04,7.15,7.44,7.427289,19651900.0
5,2020-12-30,7.72,7.73,6.95,7.15,7.137784,12343200.0
6,2021-01-04,7.3,7.37,6.63,6.69,6.67857,14584900.0
7,2021-01-05,6.64,7.12,6.32,7.1,7.08787,12558300.0
8,2021-01-06,7.16,7.39,7.05,7.26,7.247596,9855600.0
9,2021-01-07,7.35,7.65,7.27,7.43,7.417305,8524800.0
10,2021-01-08,7.51,7.58,7.13,7.34,7.32746,5639600.0
11,2021-01-11,7.25,7.59,7.01,7.41,7.39734,6349700.0
12,2021-01-12,7.48,7.63,7.27,7.44,7.427289,4753000.0
13,2021-01-13,7.48,8.0,7.45,7.59,7.577033,12970500.0
14,2021-01-14,7.75,9.0,7.6,8.85,8.83488,19959800.0
15,2021-01-15,8.85,9.92,8.61,9.51,9.493752,22171500.0
16,2021-01-18,10.0,11.0,9.73,11.0,10.981207,21003900.0
17,2021-01-19,11.27,11.88,10.22,11.41,11.390506,42974500.0
18,2021-01-20,11.45,11.84,10.9,11.51,11.490335,20503800.0
19,2021-01-21,11.28,12.38,11.2,11.73,11.709959,21435100.0
20,2021-01-22,11.51,12.15,11.28,11.59,11.570199,15220300.0
21,2021-01-26,12.01,12.1,9.89,9.89,9.873103,18313600.0
22,2021-01-27,9.52,9.92,8.57,8.57,8.555358,33019400.0
23,2021-01-28,8.65,9.11,8.23,8.68,8.665171,18932600.0
24,2021-01-29,8.51,9.35,8.34,9.04,9.024555,18116200.0
25,2021-02-01,9.45,9.55,9.0,9.36,9.344008,8795700.0
26,2021-02-02,9.41,9.6,9.28,9.3,9.284111,7265300.0
27,2021-02-03,9.28,9.28,8.83,8.87,8.854845,12489600.0
28,2021-02-04,8.88,9.19,8.65,8.72,8.705102,10389800.0
29,2021-02-05,8.82,8.95,8.37,8.53,8.515427,8449200.0
30,2021-02-08,8.57,8.62,7.9,7.99,7.976349,10968300.0
31,2021-02-09,7.88,9.25,7.65,9.25,9.234197,24243900.0
32,2021-02-10,9.42,9.68,8.51,8.65,8.635221,23464600.0
33,2021-02-11,8.65,8.9,8.28,8.46,8.445546,9947100.0
34,2021-02-12,8.3,8.45,8.12,8.35,8.335734,5702200.0
35,2021-02-17,,,,,,
36,2021-02-18,8.31,8.36,7.83,7.83,7.816622,5741000.0
37,2021-02-19,7.81,8.08,7.73,7.83,7.816622,4677700.0
38,2021-02-22,7.65,7.65,7.2,7.2,7.187698,7191600.0
39,2021-02-23,7.42,8.12,7.41,8.09,8.076179,8498100.0
40,2021-02-24,8.15,8.62,7.82,8.56,8.545376,10242500.0
41,2021-02-25,8.56,8.85,8.03,8.14,8.126093,8946700.0
42,2021-02-26,8.31,8.8,8.21,8.8,8.784966,14204200.0
43,2021-03-01,9.02,9.32,8.84,9.03,9.014572,14796600.0
44,2021-03-02,8.83,9.15,8.67,9.03,9.014572,6992900.0
45,2021-03-03,8.91,9.09,8.27,8.76,8.745033,6571600.0
46,2021-03-04,8.88,9.03,8.4,8.45,8.435563,4176400.0
47,2021-03-05,8.56,8.56,8.01,8.1,8.086162,5408200.0
48,2021-03-08,7.99,8.3,7.54,7.73,7.716793,6097100.0
49,2021-03-09,7.83,8.14,7.57,7.86,7.846571,4499800.0
50,2021-03-10,7.92,8.2,7.82,7.9,7.886503,3579100.0
51,2021-03-11,8.01,8.09,7.91,8.01,7.996315,2471900.0
52,2021-03-12,7.95,8.29,7.9,8.05,8.036246,2981500.0
53,2021-03-15,8.03,8.18,8.0,8.0,7.986332,1720900.0
54,2021-03-16,8.07,8.52,8.02,8.18,8.166025,4991700.0
55,2021-03-17,8.15,8.34,8.09,8.23,8.215939,1933000.0
56,2021-03-18,8.2,8.3,7.86,7.97,7.956383,2519000.0
57,2021-03-19,8.02,8.09,7.9,7.96,7.9464,1942100.0
58,2021-03-22,8.12,8.27,7.98,7.99,7.976349,2074400.0
59,2021-03-23,8.02,8.05,7.95,7.97,7.956383,1282200.0
60,2021-03-24,8.05,8.05,7.66,7.79,7.77669,1763700.0
61,2021-03-25,7.8,7.9,7.65,7.8,7.786674,1693300.0
62,2021-03-26,7.82,8.0,7.57,7.87,7.856554,1568600.0
63,2021-03-29,7.9,7.99,7.66,7.73,7.716793,1784000.0
64,2021-03-30,7.84,8.08,7.73,7.75,7.736759,4029200.0
65,2021-03-31,7.8,7.83,7.45,7.62,7.606981,3775200.0
66,2021-04-01,7.61,7.64,7.49,7.52,7.507152,2208500.0
67,2021-04-05,7.59,7.64,7.31,7.47,7.457237,3315600.0
68,2021-04-06,7.46,7.52,7.35,7.35,7.337442,2402800.0
69,2021-04-07,7.34,7.41,7.25,7.29,7.277545,2295500.0
70,2021-04-08,7.3,7.68,7.28,7.66,7.646913,3481400.0
71,2021-04-09,7.59,7.94,7.55,7.8,7.786674,4069900.0
72,2021-04-12,7.8,7.93,7.64,7.92,7.906469,1770200.0
73,2021-04-13,7.88,8.19,7.83,7.9,7.886503,3485200.0
74,2021-04-14,7.99,8.05,7.61,7.64,7.626947,3180700.0
75,2021-04-15,7.73,7.77,7.47,7.48,7.46722,2523200.0
76,2021-04-16,7.48,7.59,7.42,7.51,7.497169,1892500.0
77,2021-04-19,7.5,7.69,7.47,7.53,7.517135,1564000.0
78,2021-04-20,7.51,7.59,7.11,7.15,7.137784,8773000.0
79,2021-04-22,7.21,7.23,7.02,7.06,7.047938,3015400.0
80,2021-04-23,7.05,7.25,7.05,7.2,7.187698,2048000.0
81,2021-04-26,7.21,7.4,7.13,7.2,7.187698,2849800.0
82,2021-04-27,7.2,7.32,6.94,6.98,6.968075,2328500.0
83,2021-04-28,6.98,7.2,6.95,7.07,7.057921,2106900.0
84,2021-04-29,7.11,7.16,6.97,6.98,6.968075,1882900.0
85,2021-04-30,6.99,7.6,6.96,7.27,7.257579,9363900.0
86,2021-05-03,7.35,7.78,7.28,7.78,7.78,5848300.0
87,2021-05-04,7.49,7.65,7.21,7.24,7.24,6945600.0
88,2021-05-05,7.39,7.4,7.12,7.15,7.15,2836900.0
89,2021-05-06,7.13,7.2,7.05,7.05,7.05,1364800.0
90,2021-05-07,7.12,7.2,7.05,7.07,7.07,1672300.0
91,2021-05-10,7.13,7.19,7.06,7.12,7.12,1691600.0
92,2021-05-11,7.06,7.11,6.91,7.04,7.04,1643700.0
93,2021-05-12,7.03,7.06,6.81,6.81,6.81,2070900.0
94,2021-05-13,6.85,6.95,6.57,6.65,6.65,2728000.0
95,2021-05-14,6.74,6.86,6.7,6.81,6.81,1877600.0
96,2021-05-17,6.8,6.84,6.56,6.61,6.61,2176900.0
97,2021-05-18,6.61,6.75,6.61,6.64,6.64,1268400.0
98,2021-05-19,6.61,6.63,6.47,6.5,6.5,1488600.0
99,2021-05-20,6.51,6.57,6.39,6.4,6.4,1231200.0
100,2021-05-21,6.43,6.64,6.43,6.46,6.46,1439500.0
101,2021-05-24,6.52,6.52,6.4,6.5,6.5,1371100.0
102,2021-05-25,6.54,6.69,6.49,6.6,6.6,1615700.0
103,2021-05-26,6.6,6.84,6.57,6.74,6.74,1706800.0
104,2021-05-27,6.76,6.9,6.71,6.9,6.9,1336200.0
105,2021-05-28,6.91,6.96,6.75,6.79,6.79,1000800.0
106,2021-05-31,6.81,6.94,6.5,6.51,6.51,5043600.0
107,2021-06-01,6.57,6.62,6.34,6.35,6.35,6556500.0
108,2021-06-02,6.4,6.46,6.35,6.4,6.4,3278100.0
109,2021-06-04,6.39,6.44,6.37,6.41,6.41,1831900.0
110,2021-06-07,6.4,6.62,6.4,6.47,6.47,3125500.0
111,2021-06-08,6.48,6.55,6.4,6.43,6.43,1511000.0
112,2021-06-09,6.39,6.4,6.22,6.23,6.23,3969600.0
113,2021-06-10,6.26,6.33,6.13,6.15,6.15,3361500.0
114,2021-06-11,6.12,6.25,6.12,6.19,6.19,1825100.0
115,2021-06-14,6.21,6.26,6.16,6.19,6.19,1482700.0
116,2021-06-15,6.2,6.24,6.15,6.17,6.17,1365500.0
117,2021-06-16,6.19,6.2,6.12,6.14,6.14,1712800.0
118,2021-06-17,6.15,6.15,6.07,6.11,6.11,1549300.0
