,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-05-18,19.110001,19.299999,18.35,18.35,18.35,934500
1,2021-05-19,18.15,18.15,17.120001,17.440001,17.440001,479400
2,2021-05-20,17.690001,18.0,17.27,18.0,18.0,465300
3,2021-05-21,18.01,18.790001,17.76,18.75,18.75,314300
4,2021-05-24,18.799999,19.389999,18.799999,19.389999,19.389999,224400
5,2021-05-25,19.309999,19.77,19.309999,19.5,19.5,201300
6,2021-05-26,19.75,19.950001,19.33,19.75,19.75,185800
7,2021-05-27,19.889999,20.200001,19.27,20.0,20.0,196900
8,2021-05-28,20.0,20.09,19.5,20.0,20.0,546300
9,2021-05-31,19.959999,20.290001,19.68,20.0,20.0,93700
10,2021-06-01,20.030001,20.030001,19.68,19.74,19.74,80000
11,2021-06-02,19.950001,19.950001,19.299999,19.299999,19.299999,36900
12,2021-06-04,19.299999,19.5,18.6,19.200001,19.200001,291600
13,2021-06-07,19.18,19.440001,18.700001,19.299999,19.299999,33100
14,2021-06-08,19.190001,19.940001,18.67,18.690001,18.690001,206500
15,2021-06-09,18.780001,19.18,18.65,19.0,19.0,63600
16,2021-06-10,19.0,19.0,18.16,18.41,18.41,156100
17,2021-06-11,18.41,19.15,18.200001,19.15,19.15,132300
18,2021-06-14,19.17,19.540001,18.85,19.370001,19.370001,200100
19,2021-06-15,19.450001,20.0,18.790001,20.0,20.0,318700
20,2021-06-16,20.0,20.09,19.700001,19.85,19.85,120000
21,2021-06-17,19.9,19.9,19.139999,19.65,19.65,132500
22,2021-06-18,19.18,19.469999,18.9,18.9,18.9,123400
23,2021-06-21,19.18,20.389999,18.690001,20.389999,20.389999,278800
24,2021-06-22,20.200001,21.84,19.700001,21.84,21.84,312900
25,2021-06-23,23.0,23.75,22.07,23.75,23.75,768900
26,2021-06-24,23.950001,26.33,23.950001,25.799999,25.799999,662000
27,2021-06-25,26.190001,28.780001,25.5,27.049999,27.049999,569000
28,2021-06-28,26.91,27.549999,24.91,26.049999,26.049999,438400
29,2021-06-29,26.5,29.0,25.389999,26.700001,26.700001,605100
30,2021-06-30,26.6,27.5,25.93,26.549999,26.549999,1489300
31,2021-07-01,26.15,26.4,24.030001,24.030001,24.030001,498500
32,2021-07-02,23.74,25.700001,23.1,24.91,24.91,382400
33,2021-07-05,25.48,26.690001,23.870001,23.870001,23.870001,264600
34,2021-07-06,23.450001,23.780001,22.43,22.43,22.43,396500
35,2021-07-07,22.290001,22.790001,21.41,21.41,21.41,289000
36,2021-07-08,21.0,21.24,20.299999,20.950001,20.950001,165800
37,2021-07-12,20.950001,21.84,19.67,20.32,20.32,333400
38,2021-07-13,20.1,20.780001,19.700001,20.620001,20.620001,210900
39,2021-07-14,20.82,21.1,19.42,20.85,20.85,472000
40,2021-07-15,20.32,20.43,19.9,19.99,19.99,157200
41,2021-07-16,19.860001,20.299999,19.75,20.23,20.23,64800
42,2021-07-19,20.16,20.16,19.01,19.01,19.01,205400
43,2021-07-20,19.1,19.809999,18.6,19.809999,19.809999,164000
44,2021-07-21,19.4,19.75,18.709999,18.709999,18.709999,180600
45,2021-07-22,18.9,21.799999,18.700001,21.48,21.48,786800
46,2021-07-23,21.58,22.77,20.73,20.85,20.85,574700
47,2021-07-26,21.030001,21.76,19.629999,20.200001,20.200001,332500
48,2021-07-27,19.9,20.129999,19.110001,20.01,20.01,258300
49,2021-07-28,19.98,20.129999,19.299999,19.299999,19.299999,190800
50,2021-07-29,19.440001,20.26,18.959999,19.889999,19.889999,139600
51,2021-07-30,19.469999,19.809999,18.15,18.65,18.65,284400
52,2021-08-02,18.780001,19.16,18.15,18.15,18.15,298700
53,2021-08-03,18.1,18.1,17.24,17.34,17.34,194200
54,2021-08-04,17.459999,18.18,16.860001,17.309999,17.309999,105800
55,2021-08-05,17.49,17.85,16.559999,16.559999,16.559999,92800
56,2021-08-06,16.559999,16.559999,15.49,15.49,15.49,243500
