,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,9.48,9.57,9.01,9.01,7.359437,1087100.0
1,2016-01-05,9.07,9.39,8.96,9.39,7.66982,3122700.0
2,2016-01-06,9.3,9.52,9.16,9.5,7.759671,834800.0
3,2016-01-07,9.47,9.47,9.14,9.24,7.547299,1202400.0
4,2016-01-08,9.4,9.4,9.11,9.28,7.579971,1375900.0
5,2016-01-11,9.28,9.42,9.16,9.3,7.59631,2473200.0
6,2016-01-12,9.37,9.45,9.02,9.18,7.498291,1723200.0
7,2016-01-13,9.31,9.44,8.95,9.1,7.432945,1782000.0
8,2016-01-14,9.15,9.35,9.04,9.2,7.514628,1933600.0
9,2016-01-15,9.15,9.25,9.06,9.2,7.514628,1313900.0
10,2016-01-18,9.18,9.2,8.94,9.01,7.359437,646400.0
11,2016-01-19,9.07,9.16,8.98,9.1,7.432945,1583700.0
12,2016-01-20,9.02,9.09,8.96,9.0,7.351266,1256000.0
13,2016-01-21,9.0,9.29,8.9,9.21,7.522797,1723300.0
14,2016-01-22,9.29,9.41,9.15,9.27,7.571805,953400.0
15,2016-01-26,9.26,9.3,9.16,9.25,7.555468,1019000.0
16,2016-01-27,9.33,9.44,9.16,9.44,7.710661,1287900.0
17,2016-01-28,9.5,9.66,9.33,9.66,7.89036,2488600.0
18,2016-01-29,9.75,10.1,9.57,10.1,8.249754,1553300.0
19,2016-02-01,9.98,10.13,9.88,10.12,8.266092,1359300.0
20,2016-02-02,10.1,10.22,9.73,9.73,7.947536,848400.0
21,2016-02-03,9.8,9.92,9.45,9.45,7.718828,853800.0
22,2016-02-04,9.45,9.76,9.26,9.7,7.923029,1116900.0
23,2016-02-05,9.78,9.85,9.5,9.6,7.841351,1393400.0
24,2016-02-10,9.6,9.82,9.45,9.71,7.931201,1292200.0
25,2016-02-11,9.6,9.76,9.31,9.42,7.694325,916100.0
26,2016-02-12,9.5,9.6,9.27,9.5,7.759671,1083100.0
27,2016-02-15,9.63,9.69,9.4,9.4,7.677989,250800.0
28,2016-02-16,9.46,9.73,9.26,9.73,7.947536,856000.0
29,2016-02-17,9.62,9.92,9.47,9.63,7.865853,1259800.0
30,2016-02-18,9.55,9.8,9.45,9.8,8.004712,1750100.0
31,2016-02-19,9.82,9.82,9.6,9.6,7.841351,1204000.0
32,2016-02-22,9.75,10.27,9.65,10.25,8.372273,1300200.0
33,2016-02-23,10.18,10.53,10.06,10.5,8.576475,1607900.0
34,2016-02-24,10.39,10.47,9.94,10.08,8.233419,1201900.0
35,2016-02-25,10.02,10.39,9.89,10.31,8.421281,933300.0
36,2016-02-26,10.44,10.56,10.22,10.48,8.56014,1001000.0
37,2016-02-29,10.49,10.57,10.09,10.15,8.290594,2296000.0
38,2016-03-01,10.3,10.47,10.08,10.38,8.478461,1758300.0
39,2016-03-02,10.27,10.54,10.19,10.3,8.413116,1968400.0
40,2016-03-03,10.44,10.75,10.37,10.43,8.5193,2093700.0
41,2016-03-04,10.81,11.0,10.44,10.58,8.641824,2353100.0
42,2016-03-07,10.63,10.95,10.46,10.7,8.739839,1279200.0
43,2016-03-08,10.74,10.79,10.26,10.34,8.445786,1146500.0
44,2016-03-09,10.36,10.78,10.3,10.78,8.805183,1762500.0
45,2016-03-10,10.82,11.36,10.4,11.1,9.06656,3619400.0
46,2016-03-11,11.02,11.44,10.79,11.19,9.140074,1992500.0
47,2016-03-14,11.25,11.27,10.7,10.7,8.739839,985900.0
48,2016-03-15,10.52,11.09,10.4,10.96,8.971102,2234700.0
49,2016-03-16,10.91,10.98,10.63,10.89,8.913803,695000.0
50,2016-03-17,11.43,11.43,10.78,11.09,9.07751,1350700.0
51,2016-03-18,11.18,11.33,11.0,11.19,9.159364,2680800.0
52,2016-03-21,11.12,11.69,11.1,11.6,9.494961,1761200.0
53,2016-03-22,11.62,11.84,11.52,11.56,9.462221,1944600.0
54,2016-03-23,11.64,11.64,11.0,11.3,9.249403,1685200.0
55,2016-03-24,11.23,11.41,11.15,11.33,9.273958,832500.0
56,2016-03-28,11.41,11.51,11.29,11.45,9.372182,1043900.0
57,2016-03-29,11.45,11.63,11.35,11.63,9.519517,1578600.0
58,2016-03-30,11.65,11.98,11.48,11.96,9.789631,2368100.0
59,2016-03-31,11.4,11.4,11.4,11.4,9.331256,500.0
60,2016-04-01,11.43,11.82,11.2,11.8,9.658669,1653200.0
61,2016-04-04,11.51,11.51,11.51,11.51,9.421295,1800.0
62,2016-04-05,11.96,11.96,11.96,11.96,9.789631,1600.0
63,2016-04-06,12.05,12.05,12.05,12.05,9.863299,2000.0
64,2016-04-07,11.95,11.95,11.95,11.95,9.781446,700.0
65,2016-04-08,12.02,12.28,12.02,12.21,9.994264,1034100.0
66,2016-04-11,12.49,12.49,12.49,12.49,10.223455,1200.0
67,2016-04-12,12.26,12.26,12.26,12.26,10.035192,100.0
68,2016-04-13,12.34,12.68,12.04,12.68,10.458648,2209300.0
69,2016-04-14,12.67,12.67,12.0,12.17,10.037996,1276700.0
70,2016-04-15,12.07,12.6,12.07,12.4,10.227696,797000.0
71,2016-04-18,12.55,12.64,12.05,12.15,10.021496,775800.0
72,2016-04-19,12.24,12.58,12.1,12.14,10.013251,1053700.0
73,2016-04-20,12.06,12.17,11.64,11.89,9.807047,1718500.0
74,2016-04-22,11.75,12.09,11.62,11.8,9.732815,1285400.0
75,2016-04-25,11.78,11.91,11.51,11.75,9.691568,2588700.0
76,2016-04-26,11.83,12.05,11.76,11.85,9.774055,1202700.0
77,2016-04-27,11.91,12.02,11.72,11.9,9.815292,1045400.0
78,2016-04-28,11.48,11.56,10.95,11.0,9.135625,3719700.0
79,2016-04-29,11.09,11.1,10.46,10.46,8.687149,2753000.0
80,2016-05-02,10.45,10.79,10.3,10.32,8.570877,2013400.0
81,2016-05-03,10.3,10.74,10.23,10.45,8.678848,1622200.0
82,2016-05-04,10.46,10.46,10.09,10.25,8.512742,2801500.0
83,2016-05-05,10.32,10.55,10.07,10.46,8.687149,1697200.0
84,2016-05-06,10.3,10.67,10.3,10.6,8.803421,2270600.0
85,2016-05-09,10.55,10.66,10.4,10.6,8.803421,3066000.0
86,2016-05-10,10.71,11.01,10.62,11.01,9.143931,1543500.0
87,2016-05-11,11.08,11.43,10.85,11.2,9.30173,2366700.0
88,2016-05-12,11.27,11.41,11.02,11.36,9.43461,1039000.0
89,2016-05-13,11.35,11.55,11.09,11.3,9.384779,1961000.0
90,2016-05-16,11.34,11.53,11.13,11.26,9.351561,1811500.0
91,2016-05-17,11.27,11.33,11.03,11.12,9.235288,1989200.0
92,2016-05-18,11.1,11.49,10.96,11.4,9.467831,2431500.0
93,2016-05-19,11.41,11.41,11.18,11.37,9.442913,1688700.0
94,2016-05-20,11.47,11.51,11.22,11.3,9.384779,872300.0
95,2016-05-23,11.25,11.31,11.08,11.24,9.33495,1136600.0
96,2016-05-24,11.24,11.28,11.1,11.18,9.285119,793200.0
97,2016-05-25,11.29,11.31,11.0,11.05,9.177151,852200.0
98,2016-05-27,11.04,11.32,11.02,11.13,9.243593,835800.0
99,2016-05-30,11.19,11.39,10.91,10.95,9.094102,571300.0
100,2016-05-31,11.02,11.33,10.97,11.21,9.310034,2165700.0
101,2016-06-01,11.15,11.54,11.13,11.2,9.30173,1293900.0
102,2016-06-02,11.3,11.47,11.1,11.23,9.326641,1281800.0
103,2016-06-03,11.29,11.37,11.05,11.1,9.218677,913400.0
104,2016-06-06,11.1,11.27,10.89,10.96,9.102406,1468700.0
105,2016-06-07,10.94,11.13,10.79,11.06,9.185459,2433300.0
106,2016-06-08,11.08,11.2,10.98,11.01,9.143931,1314500.0
107,2016-06-09,10.93,11.07,10.79,10.86,9.019356,2068400.0
108,2016-06-10,10.78,10.91,10.77,10.81,8.977832,662500.0
109,2016-06-13,10.8,10.9,10.56,10.9,9.052575,1489200.0
110,2016-06-14,10.91,10.91,10.6,10.7,8.886473,1380200.0
111,2016-06-15,10.79,10.91,10.69,10.87,9.027659,1776900.0
112,2016-06-16,10.83,11.01,10.77,10.91,9.06088,1521400.0
113,2016-06-17,10.93,11.01,10.81,10.92,9.069184,1445600.0
114,2016-06-20,10.99,11.44,10.99,11.3,9.403358,2471400.0
115,2016-06-21,11.26,11.59,11.18,11.55,9.611398,1704300.0
116,2016-06-22,11.6,12.06,11.5,11.81,9.827759,1534500.0
117,2016-06-23,11.98,12.22,11.88,12.04,10.019151,2420800.0
118,2016-06-24,11.85,12.3,11.71,12.3,10.235516,1704100.0
119,2016-06-27,12.38,13.53,12.1,13.36,11.1176,2887300.0
120,2016-06-28,13.53,13.85,12.92,13.02,10.834666,2924800.0
121,2016-06-29,13.04,13.35,12.99,13.04,10.85131,2100800.0
122,2016-06-30,13.04,13.49,12.86,13.31,11.075991,1916900.0
123,2016-07-01,13.23,13.7,13.22,13.55,11.275706,2066500.0
124,2016-07-04,13.54,13.87,13.45,13.57,11.292356,633900.0
125,2016-07-05,13.57,13.68,13.22,13.4,11.150884,1113900.0
126,2016-07-06,13.43,13.52,13.27,13.4,11.150884,2215100.0
127,2016-07-07,13.48,13.62,13.34,13.45,11.192492,789100.0
128,2016-07-08,13.45,13.64,13.35,13.42,11.167529,572200.0
129,2016-07-11,13.42,13.56,13.26,13.45,11.192492,1826700.0
130,2016-07-12,13.55,13.95,13.4,13.73,11.425496,1154700.0
131,2016-07-13,13.88,14.0,13.3,13.97,11.625216,1766900.0
132,2016-07-14,14.02,14.07,13.47,13.56,11.284031,1882200.0
133,2016-07-15,13.5,13.58,13.1,13.51,11.242424,919100.0
134,2016-07-18,13.47,13.75,13.18,13.35,11.109276,1041600.0
135,2016-07-19,13.43,13.71,13.29,13.34,11.100958,1056100.0
136,2016-07-20,13.3,13.56,13.2,13.45,11.192492,886700.0
137,2016-07-21,13.45,13.72,13.35,13.61,11.325637,428500.0
138,2016-07-22,13.56,13.74,13.36,13.42,11.167529,427000.0
139,2016-07-25,13.37,13.49,12.77,12.97,10.793059,1011100.0
140,2016-07-26,12.97,13.13,12.83,13.0,10.818023,1318200.0
141,2016-07-27,12.97,13.24,12.97,13.07,10.876274,579200.0
142,2016-07-28,12.87,13.14,12.55,13.0,10.818023,1623000.0
143,2016-07-29,13.09,13.14,12.83,13.0,10.818023,1257300.0
144,2016-08-01,13.11,13.73,13.0,13.65,11.358921,1144500.0
145,2016-08-02,13.68,13.91,13.42,13.58,11.338035,1825200.0
146,2016-08-03,13.5,14.22,13.02,13.89,11.596857,1341700.0
147,2016-08-04,13.81,14.02,13.49,13.67,11.413178,1275400.0
148,2016-08-05,13.67,13.75,13.41,13.42,11.20445,1117700.0
149,2016-08-08,13.32,13.6,13.32,13.49,11.262893,1119100.0
150,2016-08-09,13.36,13.74,13.3,13.5,11.27124,1352900.0
151,2016-08-10,13.5,13.72,13.2,13.2,11.02077,3694000.0
152,2016-08-11,13.2,13.35,13.1,13.26,11.070868,1084500.0
153,2016-08-12,13.12,13.33,12.71,12.71,10.611665,2722200.0
154,2016-08-15,12.66,12.76,12.23,12.41,10.361193,2605900.0
155,2016-08-16,12.24,12.59,12.2,12.23,10.210907,1680700.0
156,2016-08-17,12.12,12.77,12.03,12.75,10.645064,2529900.0
157,2016-08-18,12.61,12.92,12.51,12.73,10.628362,2704100.0
158,2016-08-19,12.63,13.09,12.51,12.84,10.720207,1591300.0
159,2016-08-22,12.82,12.89,12.51,12.57,10.494781,1501800.0
160,2016-08-23,12.52,12.75,12.4,12.57,10.494781,895300.0
161,2016-08-24,12.51,12.66,12.33,12.6,10.519829,841300.0
162,2016-08-25,12.58,12.76,12.48,12.6,10.519829,427600.0
163,2016-08-26,12.61,12.65,12.38,12.55,10.478081,431600.0
164,2016-08-29,12.5,12.87,12.48,12.64,10.553223,478800.0
165,2016-08-30,12.61,12.82,12.55,12.8,10.686809,421100.0
166,2016-08-31,12.78,12.78,12.49,12.75,10.645064,1306500.0
167,2016-09-01,12.74,12.85,12.61,12.61,10.528176,1473300.0
168,2016-09-02,12.68,13.2,12.63,13.2,11.02077,1457800.0
