,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-09-21,14.64,15.43,14.43,14.77,14.77,400800
1,2021-09-22,15.29,15.43,14.85,15.4,15.4,321000
2,2021-09-23,15.45,15.92,15.13,15.41,15.41,360100
3,2021-09-24,15.2,15.39,14.87,15.1,15.1,406400
4,2021-09-27,15.04,15.08,14.65,15.0,15.0,518200
5,2021-09-28,14.96,15.08,14.39,14.6,14.6,1585100
6,2021-09-29,14.71,15.09,14.07,14.21,14.21,1649200
7,2021-09-30,14.3,14.37,13.38,13.47,13.47,668300
8,2021-10-01,14.6,14.8,14.28,14.74,14.74,4175200
9,2021-10-04,14.28,15.32,13.72,14.05,14.05,1396100
10,2021-10-05,14.2,14.43,13.66,13.8,13.8,802300
11,2021-10-06,13.68,13.75,12.81,13.26,13.26,823300
12,2021-10-07,13.42,13.52,13.01,13.36,13.36,325900
13,2021-10-08,13.5,14.0,13.36,14.0,14.0,983200
14,2021-10-11,13.65,13.74,12.68,12.86,12.86,8705100
15,2021-10-13,12.9,12.92,12.34,12.61,12.61,2047400
16,2021-10-14,12.72,12.74,12.21,12.39,12.39,879400
17,2021-10-15,12.38,12.47,12.02,12.28,12.28,579900
18,2021-10-18,12.26,12.5,12.2,12.28,12.28,367200
19,2021-10-19,12.2,12.32,11.5,11.5,11.5,1101900
20,2021-10-20,11.71,11.84,11.2,11.5,11.5,990800
21,2021-10-21,11.5,11.54,10.32,10.74,10.74,1751000
22,2021-10-22,10.82,11.11,10.1,10.61,10.61,4361400
