,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-12,11.09,11.48,10.75,11.15,11.15,19543200.0
1,2021-02-17,,,,,,
2,2021-02-18,11.14,11.15,10.82,11.14,11.14,820300.0
3,2021-02-19,11.06,11.24,10.83,11.15,11.15,764400.0
4,2021-02-22,10.92,10.92,10.21,10.85,10.85,2633300.0
5,2021-02-23,10.96,11.19,10.67,11.14,11.14,1693600.0
6,2021-02-24,11.1,11.18,10.87,11.08,11.08,1074800.0
7,2021-02-25,11.08,11.18,11.01,11.14,11.14,542800.0
8,2021-02-26,11.13,11.13,10.76,10.97,10.97,803200.0
9,2021-03-01,11.0,11.01,10.66,10.9,10.9,915700.0
10,2021-03-02,10.9,10.9,10.3,10.88,10.88,2057400.0
11,2021-03-03,10.88,10.88,10.35,10.74,10.74,3620100.0
12,2021-03-04,10.76,10.99,10.43,10.7,10.7,2401000.0
13,2021-03-05,10.71,10.71,10.07,10.48,10.48,1506000.0
14,2021-03-08,10.48,10.48,9.92,10.1,10.1,1481900.0
15,2021-03-09,10.1,10.25,9.42,9.84,9.84,1791400.0
16,2021-03-10,9.86,9.94,9.5,9.9,9.9,1274800.0
17,2021-03-11,10.0,10.4,9.93,10.4,10.4,985200.0
18,2021-03-12,10.4,10.64,10.2,10.26,10.26,1277200.0
19,2021-03-15,10.37,10.49,10.0,10.45,10.45,321800.0
20,2021-03-16,10.44,10.47,10.2,10.44,10.44,129700.0
21,2021-03-17,10.15,10.45,10.13,10.32,10.32,247200.0
22,2021-03-18,10.37,10.4,9.44,9.44,9.44,968000.0
23,2021-03-19,9.54,9.54,8.91,9.0,9.0,2936000.0
24,2021-03-22,9.0,9.18,8.84,8.91,8.91,346200.0
25,2021-03-23,8.89,9.35,8.78,9.16,9.16,725500.0
26,2021-03-24,9.28,9.36,9.02,9.18,9.18,362500.0
27,2021-03-25,9.18,9.33,9.06,9.25,9.25,568300.0
28,2021-03-26,9.3,9.75,9.2,9.57,9.57,653200.0
29,2021-03-29,9.72,9.78,9.06,9.55,9.55,724300.0
30,2021-03-30,9.63,9.9,9.26,9.48,9.48,1110000.0
31,2021-03-31,9.43,9.55,8.9,8.9,8.9,2062600.0
32,2021-04-01,8.95,8.96,8.64,8.78,8.78,548100.0
33,2021-04-05,8.9,8.9,8.25,8.25,8.25,1339700.0
34,2021-04-06,8.27,8.34,7.68,7.75,7.75,2384000.0
35,2021-04-07,7.8,7.87,7.44,7.55,7.55,3859300.0
36,2021-04-08,7.6,7.64,7.05,7.14,7.14,2882300.0
37,2021-04-09,7.25,8.11,7.09,8.07,8.07,4349800.0
38,2021-04-12,8.14,8.93,8.14,8.8,8.8,4141200.0
39,2021-04-13,8.8,9.09,8.26,8.48,8.48,2797500.0
40,2021-04-14,8.53,8.78,8.32,8.53,8.53,1208300.0
41,2021-04-15,8.53,8.76,8.31,8.53,8.53,1139900.0
42,2021-04-16,8.56,8.76,8.4,8.65,8.65,458500.0
43,2021-04-19,8.78,9.26,8.51,8.99,8.99,1790700.0
44,2021-04-20,8.98,9.24,8.65,8.79,8.79,892500.0
45,2021-04-22,8.83,8.99,8.64,8.65,8.65,694500.0
46,2021-04-23,8.8,8.83,8.36,8.49,8.49,874000.0
47,2021-04-26,8.49,8.59,8.02,8.17,8.17,895500.0
48,2021-04-27,8.15,8.23,7.72,7.89,7.89,1514800.0
49,2021-04-28,7.89,8.06,7.7,7.87,7.87,1447800.0
50,2021-04-29,7.87,8.0,7.73,7.89,7.89,722000.0
51,2021-04-30,7.92,8.06,7.85,7.99,7.99,1003800.0
52,2021-05-03,7.85,8.02,7.85,7.99,7.99,480600.0
53,2021-05-04,7.99,8.1,7.75,7.85,7.85,379800.0
54,2021-05-05,7.88,7.95,7.7,7.78,7.78,560600.0
55,2021-05-06,7.95,7.95,7.55,7.7,7.7,786100.0
56,2021-05-07,7.72,8.1,7.68,8.1,8.1,333300.0
57,2021-05-10,8.14,8.3,7.86,8.12,8.12,485100.0
58,2021-05-11,8.05,8.07,7.75,7.89,7.89,834700.0
59,2021-05-12,7.88,7.96,7.45,7.59,7.59,625500.0
60,2021-05-13,7.61,7.67,7.32,7.41,7.41,993200.0
61,2021-05-14,7.48,8.09,7.4,7.9,7.9,2548600.0
62,2021-05-17,7.92,8.04,7.51,7.9,7.9,576500.0
63,2021-05-18,7.91,8.08,7.76,7.85,7.85,633700.0
64,2021-05-19,7.83,7.91,7.64,7.88,7.88,1149000.0
65,2021-05-20,7.89,7.92,7.56,7.65,7.65,1967200.0
66,2021-05-21,7.78,8.18,7.78,8.07,8.07,1488000.0
67,2021-05-24,8.15,8.15,7.72,7.88,7.88,906200.0
68,2021-05-25,7.94,7.94,7.71,7.72,7.72,695000.0
69,2021-05-26,7.76,7.85,7.66,7.83,7.83,350900.0
70,2021-05-27,7.83,7.97,7.76,7.87,7.87,494900.0
71,2021-05-28,7.9,7.95,7.77,7.95,7.95,501400.0
72,2021-05-31,7.95,8.08,7.91,7.95,7.95,878000.0
73,2021-06-01,8.02,8.45,7.95,8.37,8.37,1567300.0
74,2021-06-02,8.49,8.74,8.12,8.25,8.25,1335200.0
75,2021-06-04,8.3,8.3,8.04,8.28,8.28,554500.0
76,2021-06-07,8.21,8.3,8.05,8.05,8.05,376400.0
77,2021-06-08,8.05,8.29,7.88,8.28,8.28,648700.0
78,2021-06-09,8.27,8.43,8.1,8.36,8.36,338700.0
79,2021-06-10,8.39,8.45,8.22,8.3,8.3,407600.0
80,2021-06-11,8.35,8.35,8.12,8.23,8.23,231200.0
81,2021-06-14,8.25,8.55,8.15,8.55,8.55,472800.0
82,2021-06-15,8.6,8.62,8.32,8.36,8.36,353200.0
83,2021-06-16,8.36,8.4,8.15,8.34,8.34,350500.0
84,2021-06-17,8.28,8.29,7.92,8.09,8.09,672000.0
85,2021-06-18,8.11,8.48,8.04,8.41,8.41,476400.0
86,2021-06-21,8.5,8.6,8.3,8.6,8.6,373400.0
87,2021-06-22,8.58,8.92,8.4,8.9,8.9,604300.0
88,2021-06-23,8.9,9.2,8.7,9.04,9.04,693400.0
89,2021-06-24,9.03,9.07,8.83,9.06,9.06,474000.0
90,2021-06-25,9.12,9.12,8.76,8.88,8.88,398700.0
91,2021-06-28,8.92,9.14,8.78,8.98,8.98,491000.0
92,2021-06-29,9.0,9.19,8.81,9.02,9.02,634000.0
93,2021-06-30,9.03,9.09,8.73,8.94,8.94,994100.0
94,2021-07-01,8.96,8.96,8.64,8.68,8.68,487000.0
95,2021-07-02,8.75,9.0,8.67,8.88,8.88,359000.0
96,2021-07-05,9.0,9.0,8.65,8.75,8.75,400700.0
97,2021-07-06,8.65,8.75,8.51,8.75,8.75,512400.0
98,2021-07-07,8.8,8.82,8.41,8.81,8.81,793300.0
99,2021-07-08,8.65,8.78,8.46,8.61,8.61,661500.0
100,2021-07-12,8.56,8.79,8.45,8.66,8.66,614600.0
101,2021-07-13,8.6,8.68,8.34,8.38,8.38,767800.0
102,2021-07-14,8.44,8.47,8.25,8.3,8.3,599000.0
103,2021-07-15,8.25,8.38,8.06,8.16,8.16,679000.0
104,2021-07-16,8.2,8.23,7.93,8.21,8.21,636300.0
105,2021-07-19,8.08,8.15,7.84,7.86,7.86,458900.0
106,2021-07-20,7.88,7.95,7.73,7.76,7.76,333000.0
107,2021-07-21,7.81,7.83,7.42,7.42,7.42,787800.0
108,2021-07-22,7.41,7.53,7.24,7.36,7.36,611000.0
109,2021-07-23,7.32,7.39,7.2,7.2,7.2,595500.0
110,2021-07-26,7.15,7.16,5.24,5.24,5.24,11951800.0
111,2021-07-27,4.99,5.27,4.65,4.65,4.65,9831200.0
112,2021-07-28,4.89,5.17,4.76,4.9,4.9,6482100.0
113,2021-07-29,5.0,5.04,4.52,4.6,4.6,5892100.0
114,2021-07-30,4.6,4.76,4.39,4.59,4.59,2534400.0
115,2021-08-02,4.65,4.75,4.42,4.51,4.51,2954400.0
116,2021-08-03,4.45,4.46,4.21,4.21,4.21,2325800.0
117,2021-08-04,4.22,4.31,4.07,4.07,4.07,1782200.0
118,2021-08-05,4.22,4.47,4.13,4.35,4.35,4658100.0
119,2021-08-06,4.41,4.69,4.36,4.53,4.53,1792700.0
120,2021-08-09,4.55,4.55,4.29,4.4,4.4,1214400.0
121,2021-08-10,4.42,4.79,4.35,4.5,4.5,2011900.0
122,2021-08-11,4.52,4.53,4.18,4.33,4.33,1327700.0
123,2021-08-12,4.35,4.36,4.15,4.18,4.18,832000.0
124,2021-08-13,4.19,4.22,3.9,4.05,4.05,1654000.0
125,2021-08-16,4.04,4.13,3.79,4.0,4.0,2604800.0
126,2021-08-17,4.0,4.08,3.87,3.94,3.94,1063800.0
127,2021-08-18,3.99,4.01,3.82,3.9,3.9,1501300.0
128,2021-08-19,3.86,3.87,3.75,3.79,3.79,1562700.0
129,2021-08-20,3.79,4.1,3.76,4.1,4.1,1358500.0
130,2021-08-23,4.18,4.39,4.01,4.01,4.01,1290900.0
131,2021-08-24,4.09,4.32,3.96,4.16,4.16,2059000.0
132,2021-08-25,4.26,4.59,4.22,4.42,4.42,2309300.0
133,2021-08-26,4.43,4.87,4.39,4.81,4.81,3750800.0
134,2021-08-27,4.89,5.14,4.75,4.91,4.91,3745600.0
135,2021-08-30,4.95,5.36,4.95,5.16,5.16,3564900.0
136,2021-08-31,5.13,5.21,4.85,4.95,4.95,2333800.0
137,2021-09-01,4.96,5.03,4.75,4.87,4.87,1458300.0
138,2021-09-02,5.11,5.25,4.97,5.05,5.05,3019700.0
139,2021-09-03,5.11,5.21,4.66,4.87,4.87,6238800.0
140,2021-09-06,4.91,4.93,4.71,4.73,4.73,1328900.0
141,2021-09-08,4.69,4.69,4.24,4.36,4.36,3874200.0
142,2021-09-09,4.36,4.67,4.28,4.38,4.38,3959700.0
143,2021-09-10,4.49,4.56,4.34,4.38,4.38,2395300.0
144,2021-09-13,4.5,4.52,4.29,4.31,4.31,1597500.0
145,2021-09-14,4.3,4.37,4.15,4.19,4.19,1406300.0
146,2021-09-15,4.2,4.27,4.07,4.25,4.25,992300.0
147,2021-09-16,4.2,4.33,4.15,4.29,4.29,770200.0
148,2021-09-17,4.27,4.27,4.03,4.04,4.04,1248500.0
149,2021-09-20,3.95,4.03,3.8,3.94,3.94,2055300.0
150,2021-09-21,3.96,4.01,3.86,3.91,3.91,986100.0
151,2021-09-22,3.97,4.18,3.96,4.07,4.07,11107900.0
152,2021-09-23,4.11,4.18,4.02,4.1,4.1,1640900.0
153,2021-09-24,4.05,4.28,3.98,4.22,4.22,1648500.0
154,2021-09-27,4.26,4.29,4.06,4.1,4.1,970400.0
155,2021-09-28,4.07,4.12,3.88,3.88,3.88,1301000.0
156,2021-09-29,3.96,4.0,3.78,3.79,3.79,1754900.0
157,2021-09-30,3.84,3.96,3.69,3.9,3.9,1822000.0
158,2021-10-01,3.92,4.01,3.85,3.96,3.96,1641300.0
159,2021-10-04,3.93,3.98,3.8,3.8,3.8,807100.0
160,2021-10-05,3.85,3.86,3.71,3.75,3.75,1154100.0
161,2021-10-06,3.73,3.74,3.6,3.73,3.73,1278800.0
162,2021-10-07,3.71,3.85,3.63,3.85,3.85,1778300.0
163,2021-10-08,3.84,4.08,3.82,3.95,3.95,1376000.0
164,2021-10-11,3.99,4.02,3.88,4.0,4.0,1089600.0
165,2021-10-13,4.0,4.16,3.93,4.13,4.13,1374100.0
166,2021-10-14,4.11,4.24,4.01,4.17,4.17,1002400.0
167,2021-10-15,4.12,4.27,4.12,4.2,4.2,694300.0
168,2021-10-18,4.19,4.25,4.01,4.19,4.19,681300.0
169,2021-10-19,4.14,4.23,3.98,4.05,4.05,1083400.0
170,2021-10-20,4.08,4.09,3.84,3.9,3.9,979200.0
171,2021-10-21,3.84,3.88,3.65,3.88,3.88,1226400.0
172,2021-10-22,3.84,3.84,3.57,3.78,3.78,1739600.0
