,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-18,21.950001,22.219999,21.799999,22.049999,22.049999,776300
1,2021-02-19,22.139999,22.200001,21.91,21.959999,21.959999,229300
2,2021-02-22,22.0,22.01,21.4,21.9,21.9,767600
3,2021-02-23,21.99,22.0,21.549999,21.700001,21.700001,253700
4,2021-02-24,21.790001,21.85,21.42,21.83,21.83,604800
5,2021-02-25,21.76,21.76,21.299999,21.6,21.6,449700
6,2021-02-26,21.700001,21.780001,20.6,21.4,21.4,738100
7,2021-03-01,21.780001,21.790001,20.700001,21.200001,21.200001,157500
8,2021-03-02,21.120001,21.68,20.24,21.0,21.0,401500
9,2021-03-03,21.15,21.35,20.51,21.139999,21.139999,191900
10,2021-03-04,21.280001,21.5,21.139999,21.5,21.5,143700
11,2021-03-05,21.5,22.049999,21.26,21.65,21.65,450800
12,2021-03-08,21.5,21.879999,20.950001,21.049999,21.049999,132200
13,2021-03-09,20.809999,21.18,20.4,20.5,20.5,334600
14,2021-03-10,20.5,20.75,19.1,19.700001,19.700001,520700
15,2021-03-11,19.68,20.879999,19.4,20.790001,20.790001,127700
16,2021-03-12,20.969999,20.99,20.209999,20.57,20.57,88900
17,2021-03-15,20.790001,20.799999,20.26,20.799999,20.799999,164500
18,2021-03-16,21.0,21.0,20.6,21.0,21.0,541500
19,2021-03-17,21.0,21.42,20.639999,21.4,21.4,254800
20,2021-03-18,21.65,21.889999,21.4,21.889999,21.889999,707900
21,2021-03-19,21.709999,21.879999,21.280001,21.83,21.83,61300
22,2021-03-22,21.799999,21.799999,21.299999,21.299999,21.299999,102300
23,2021-03-23,21.24,22.209999,21.1,22.209999,22.209999,99700
24,2021-03-24,22.4,22.780001,21.82,21.940001,21.940001,154800
25,2021-03-25,21.9,21.9,21.27,21.5,21.5,184800
26,2021-03-26,21.620001,21.790001,20.75,20.969999,20.969999,218300
27,2021-03-29,20.99,21.09,20.01,20.5,20.5,200100
28,2021-03-30,20.4,20.4,19.73,19.85,19.85,306000
29,2021-03-31,20.0,21.5,19.950001,21.129999,21.129999,452300
30,2021-04-01,21.15,21.700001,20.5,21.1,21.1,349700
31,2021-04-05,21.27,21.290001,20.66,20.85,20.85,168300
32,2021-04-06,20.85,20.99,20.23,20.549999,20.549999,871400
33,2021-04-07,20.84,20.84,20.219999,20.6,20.6,239700
34,2021-04-08,20.6,21.790001,20.5,21.790001,21.790001,159500
35,2021-04-09,21.5,21.700001,20.92,21.4,21.4,288800
36,2021-04-12,21.639999,21.700001,21.309999,21.6,21.6,140300
37,2021-04-13,21.360001,21.58,21.15,21.58,21.58,144600
38,2021-04-14,21.5,21.540001,21.18,21.200001,21.200001,132800
39,2021-04-15,21.33,21.5,21.01,21.299999,21.299999,156600
40,2021-04-16,21.389999,21.5,21.1,21.469999,21.469999,94500
41,2021-04-19,21.4,21.459999,21.1,21.1,21.1,125900
42,2021-04-20,21.4,21.790001,21.0,21.59,21.59,203100
43,2021-04-22,21.68,21.9,21.23,21.49,21.49,172000
44,2021-04-23,21.59,21.68,21.299999,21.49,21.49,108300
45,2021-04-26,21.49,21.49,21.0,21.0,21.0,174300
46,2021-04-27,21.0,21.0,20.5,20.5,20.5,206700
47,2021-04-28,20.5,21.0,20.17,20.379999,20.379999,288400
48,2021-04-29,20.49,20.75,20.059999,20.6,20.6,332900
49,2021-04-30,20.6,21.49,20.59,21.200001,21.200001,394700
50,2021-05-03,21.49,21.6,20.870001,21.540001,21.540001,150900
51,2021-05-04,21.309999,21.799999,21.209999,21.700001,21.700001,78500
52,2021-05-05,21.75,21.9,21.549999,21.9,21.9,136400
53,2021-05-06,21.969999,22.280001,21.65,22.120001,22.120001,283900
54,2021-05-07,22.120001,22.280001,22.0,22.15,22.15,860200
55,2021-05-10,22.26,22.48,22.15,22.48,22.48,639400
56,2021-05-11,22.049999,22.690001,22.030001,22.620001,22.620001,205000
57,2021-05-12,22.49,22.6,22.0,22.18,22.18,72100
