,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,14.0,15.0,14.0,14.0,14.0,246.0
1,2016-01-05,14.0,14.0,13.0,14.0,14.0,2359.0
2,2016-01-06,13.0,14.0,13.0,13.0,13.0,2007.0
3,2016-01-07,13.0,14.0,12.0,13.0,13.0,5516.0
4,2016-01-08,13.0,14.0,13.0,14.0,14.0,782.0
5,2016-01-11,14.0,14.0,13.0,13.0,13.0,428.0
6,2016-01-12,13.0,14.0,13.0,13.0,13.0,121.0
7,2016-01-13,13.0,13.0,12.0,13.0,13.0,2364.0
8,2016-01-14,13.0,13.0,11.0,13.0,13.0,532.0
9,2016-01-15,12.0,13.0,11.0,13.0,13.0,566.0
10,2016-01-18,12.0,13.0,12.0,13.0,13.0,249.0
11,2016-01-19,13.0,19.0,13.0,16.0,16.0,37626.0
12,2016-01-20,16.0,16.0,14.0,15.0,15.0,16762.0
13,2016-01-21,14.0,15.0,14.0,15.0,15.0,4626.0
14,2016-01-22,15.0,15.0,13.0,14.0,14.0,10566.0
15,2016-01-26,14.0,14.0,13.0,14.0,14.0,1973.0
16,2016-01-27,14.0,15.0,13.0,14.0,14.0,3409.0
17,2016-01-28,14.0,15.0,13.0,14.0,14.0,1120.0
18,2016-01-29,15.0,16.0,14.0,15.0,15.0,7816.0
19,2016-02-01,15.0,16.0,14.0,15.0,15.0,4269.0
20,2016-02-02,14.0,17.0,14.0,15.0,15.0,4434.0
21,2016-02-03,15.0,16.0,14.0,16.0,16.0,972.0
22,2016-02-04,15.0,17.0,14.0,14.0,14.0,9300.0
23,2016-02-05,15.0,15.0,14.0,15.0,15.0,198.0
24,2016-02-10,16.0,18.0,15.0,15.0,15.0,24918.0
25,2016-02-11,16.0,17.0,15.0,16.0,16.0,9400.0
26,2016-02-12,16.0,17.0,16.0,17.0,17.0,1851.0
27,2016-02-15,16.0,17.0,15.0,15.0,15.0,5314.0
28,2016-02-16,15.0,16.0,15.0,15.0,15.0,5283.0
29,2016-02-17,15.0,16.0,13.0,15.0,15.0,12093.0
30,2016-02-18,15.0,15.0,14.0,15.0,15.0,1673.0
31,2016-02-19,14.0,15.0,13.0,15.0,15.0,3011.0
32,2016-02-22,14.0,15.0,14.0,15.0,15.0,437.0
33,2016-02-23,14.0,18.0,14.0,17.0,17.0,42445.0
34,2016-02-24,17.0,17.0,16.0,17.0,17.0,4097.0
35,2016-02-25,17.0,18.0,16.0,16.0,16.0,1785.0
36,2016-02-26,17.0,17.0,15.0,17.0,17.0,2051.0
37,2016-02-29,16.0,17.0,15.0,15.0,15.0,9451.0
38,2016-03-01,16.0,16.0,13.0,14.0,14.0,32103.0
39,2016-03-02,14.0,15.0,13.0,14.0,14.0,5767.0
40,2016-03-03,15.0,15.0,15.0,15.0,15.0,3106.0
41,2016-03-04,15.0,15.0,13.0,14.0,14.0,7781.0
42,2016-03-07,14.0,16.0,13.0,14.0,14.0,18531.0
43,2016-03-08,14.0,16.0,14.0,14.0,14.0,10118.0
44,2016-03-09,14.0,16.0,14.0,16.0,16.0,8003.0
45,2016-03-10,16.0,16.0,15.0,16.0,16.0,1335.0
46,2016-03-11,14.0,16.0,14.0,15.0,15.0,5057.0
47,2016-03-14,16.0,23.0,16.0,20.0,20.0,106149.0
48,2016-03-15,19.0,19.0,17.0,17.0,17.0,24816.0
49,2016-03-16,17.0,18.0,16.0,18.0,18.0,8723.0
50,2016-03-17,18.0,19.0,17.0,18.0,18.0,13799.0
51,2016-03-18,18.0,19.0,17.0,17.0,17.0,7702.0
52,2016-03-21,17.0,17.0,16.0,17.0,17.0,8098.0
53,2016-03-22,17.0,17.0,16.0,17.0,17.0,828.0
54,2016-03-23,17.0,18.0,16.0,16.0,16.0,4803.0
