,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,16.4,16.700001,16.0,16.5,16.5,16890.0
1,2016-01-05,16.700001,17.0,16.0,16.700001,16.700001,33380.0
2,2016-01-06,16.200001,16.700001,15.8,16.299999,16.299999,62330.0
3,2016-01-07,15.9,16.4,15.8,16.200001,16.200001,36590.0
4,2016-01-08,19.799999,20.200001,17.6,19.200001,19.200001,191380.0
5,2016-01-11,19.1,20.6,18.5,18.6,18.6,80770.0
6,2016-01-12,18.6,18.9,17.799999,18.1,18.1,37900.0
7,2016-01-13,17.9,18.200001,17.6,17.9,17.9,14740.0
8,2016-01-14,17.9,18.299999,17.799999,18.200001,18.200001,24880.0
9,2016-01-15,18.0,18.200001,17.5,17.5,17.5,24230.0
10,2016-01-18,18.1,18.1,17.4,17.5,17.5,15260.0
11,2016-01-19,17.799999,18.0,17.299999,17.5,17.5,26960.0
12,2016-01-20,17.299999,17.299999,16.5,16.9,16.9,32560.0
13,2016-01-21,17.1,17.4,16.9,17.299999,17.299999,44390.0
14,2016-01-22,17.0,18.5,17.0,18.5,18.5,41390.0
15,2016-01-26,18.5,18.9,17.700001,18.299999,18.299999,22140.0
16,2016-01-27,18.0,18.299999,17.6,18.299999,18.299999,30380.0
17,2016-01-28,18.4,18.799999,17.799999,18.799999,18.799999,38370.0
18,2016-01-29,19.0,20.5,18.799999,20.200001,20.200001,89500.0
19,2016-02-01,20.5,24.6,20.299999,24.200001,24.200001,59140.0
20,2016-02-02,24.299999,26.799999,24.200001,25.4,25.4,71370.0
21,2016-02-03,27.0,27.0,25.0,27.0,27.0,55530.0
22,2016-02-04,27.200001,36.900002,27.200001,36.099998,36.099998,99610.0
23,2016-02-05,36.599998,39.200001,32.0,35.599998,35.599998,89400.0
24,2016-02-10,34.799999,40.099998,33.5,37.799999,37.799999,49120.0
25,2016-02-11,37.799999,39.5,34.599998,37.099998,37.099998,75270.0
26,2016-02-12,37.099998,39.200001,37.099998,37.700001,37.700001,45750.0
27,2016-02-15,38.400002,44.599998,38.400002,43.299999,43.299999,96140.0
28,2016-02-16,44.299999,63.5,44.299999,59.900002,59.900002,254750.0
29,2016-02-17,62.700001,64.0,54.799999,58.0,58.0,191210.0
30,2016-02-18,58.0,58.299999,49.0,49.0,49.0,116620.0
31,2016-02-19,49.0,57.0,45.0,55.700001,55.700001,129660.0
32,2016-02-22,59.200001,61.599998,57.400002,59.700001,59.700001,82400.0
33,2016-02-23,60.099998,61.099998,56.400002,58.200001,58.200001,53230.0
34,2016-02-24,57.799999,67.699997,55.900002,67.699997,67.699997,86290.0
35,2016-02-25,67.300003,73.5,67.0,71.5,71.5,71300.0
36,2016-02-26,72.099998,76.900002,70.300003,72.5,72.5,65510.0
37,2016-02-29,73.0,74.5,68.5,74.0,74.0,107230.0
38,2016-03-01,74.5,75.699997,70.099998,72.5,72.5,48250.0
39,2016-03-02,71.300003,72.0,68.300003,69.199997,69.199997,44280.0
40,2016-03-03,68.0,73.5,68.0,72.900002,72.900002,43270.0
41,2016-03-04,79.699997,79.699997,74.5,76.199997,76.199997,39270.0
42,2016-03-07,75.099998,79.699997,70.599998,76.5,76.5,36530.0
43,2016-03-08,77.300003,80.099998,74.5,75.699997,75.699997,49590.0
44,2016-03-09,78.5,78.5,71.800003,71.800003,71.800003,38420.0
45,2016-03-10,73.900002,73.900002,59.599998,62.299999,62.299999,94520.0
46,2016-03-11,62.5,68.0,59.400002,67.0,67.0,57950.0
47,2016-03-14,66.800003,68.699997,61.700001,66.099998,66.099998,31520.0
48,2016-03-15,65.800003,65.800003,56.5,56.5,56.5,56600.0
49,2016-03-16,55.900002,56.5,49.0,49.0,49.0,67530.0
50,2016-03-17,53.799999,56.799999,51.599998,55.5,55.5,45760.0
51,2016-03-18,54.799999,55.299999,50.900002,52.599998,52.599998,72020.0
52,2016-03-21,53.200001,55.0,51.099998,53.5,53.5,19210.0
53,2016-03-22,53.5,53.900002,51.099998,51.099998,51.099998,61480.0
54,2016-03-23,51.099998,52.200001,44.099998,44.099998,44.099998,72900.0
55,2016-03-24,43.099998,46.700001,40.099998,46.0,46.0,87760.0
56,2016-03-28,48.900002,48.900002,44.5,45.599998,45.599998,87870.0
57,2016-03-29,45.700001,47.400002,42.200001,42.599998,42.599998,59640.0
58,2016-03-30,40.900002,46.400002,40.299999,45.5,45.5,120700.0
59,2016-03-31,45.0,45.0,45.0,45.0,45.0,110.0
60,2016-04-01,51.0,51.0,51.0,51.0,51.0,1230.0
61,2016-04-04,43.900002,43.900002,43.900002,43.900002,43.900002,1200.0
62,2016-04-05,41.799999,41.799999,41.799999,41.799999,41.799999,100.0
63,2016-04-06,37.5,37.5,37.5,37.5,37.5,470.0
64,2016-04-07,32.799999,32.799999,32.799999,32.799999,32.799999,3660.0
65,2016-04-08,34.0,34.900002,31.0,31.700001,31.700001,129690.0
66,2016-04-11,29.4,29.4,29.4,29.4,29.4,4010.0
67,2016-04-12,33.099998,33.099998,33.099998,33.099998,33.099998,2090.0
68,2016-04-13,35.299999,35.299999,35.299999,35.299999,35.299999,2280.0
69,2016-04-14,36.700001,37.0,32.5,33.099998,33.099998,96010.0
70,2016-04-15,33.5,33.700001,32.099998,33.0,33.0,95320.0
71,2016-04-18,33.0,40.400002,32.0,39.700001,39.700001,215600.0
72,2016-04-19,39.799999,39.799999,39.799999,39.799999,39.799999,1740.0
73,2016-04-20,39.5,40.799999,37.5,38.599998,38.599998,134560.0
74,2016-04-22,38.400002,40.599998,36.299999,39.099998,39.099998,93450.0
75,2016-04-25,39.200001,39.5,37.400002,38.0,38.0,49690.0
76,2016-04-26,38.299999,38.599998,37.200001,38.099998,38.099998,40850.0
77,2016-04-27,37.799999,38.400002,36.799999,37.0,37.0,63940.0
78,2016-04-28,37.200001,38.0,36.200001,36.200001,36.200001,80130.0
79,2016-04-29,36.599998,37.5,33.799999,34.099998,34.099998,74620.0
80,2016-05-02,34.400002,34.400002,30.299999,30.9,30.9,162220.0
81,2016-05-03,31.0,33.099998,30.0,32.5,32.5,118860.0
82,2016-05-04,33.0,35.799999,31.299999,35.700001,35.700001,134710.0
83,2016-05-05,44.0,44.099998,38.200001,39.0,39.0,222480.0
84,2016-05-06,38.299999,38.5,35.099998,36.200001,36.200001,116280.0
85,2016-05-09,36.099998,36.5,32.900002,33.700001,33.700001,89790.0
86,2016-05-10,34.5,34.900002,33.200001,34.599998,34.599998,76350.0
87,2016-05-11,35.0,37.5,34.799999,36.200001,36.200001,82890.0
88,2016-05-12,36.599998,37.799999,33.799999,36.0,36.0,71690.0
89,2016-05-13,35.0,35.299999,31.700001,31.799999,31.799999,152760.0
90,2016-05-16,32.200001,32.700001,30.1,30.4,30.4,116500.0
91,2016-05-17,31.200001,31.200001,28.9,29.700001,29.700001,97760.0
92,2016-05-18,29.700001,31.5,28.5,30.1,30.1,68920.0
93,2016-05-19,30.200001,31.9,30.200001,30.9,30.9,49560.0
94,2016-05-20,31.299999,31.799999,29.6,29.9,29.9,28810.0
95,2016-05-23,29.9,30.4,28.1,29.799999,29.799999,23130.0
96,2016-05-24,30.9,31.0,28.6,29.5,29.5,20770.0
97,2016-05-25,29.9,30.200001,27.9,28.200001,28.200001,62280.0
98,2016-05-27,28.6,28.6,25.799999,26.4,26.4,64680.0
99,2016-05-30,26.299999,26.5,24.5,25.0,25.0,70490.0
100,2016-05-31,24.9,25.1,23.200001,24.299999,24.299999,93130.0
101,2016-06-01,25.700001,29.5,25.5,29.0,29.0,213380.0
102,2016-06-02,29.0,29.1,27.0,27.6,27.6,92930.0
103,2016-06-03,27.6,28.5,25.799999,26.9,26.9,89310.0
104,2016-06-06,27.0,27.299999,25.799999,26.9,26.9,145850.0
105,2016-06-07,26.799999,26.9,26.0,26.299999,26.299999,35590.0
106,2016-06-08,26.5,28.1,25.799999,27.799999,27.799999,116020.0
107,2016-06-09,27.799999,28.700001,26.0,26.1,26.1,110580.0
