,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,12.65,12.65,12.0,12.0,12.0,1000.0
1,2016-01-05,12.5,13.7,12.5,13.07,13.07,5000.0
2,2016-01-06,12.68,13.0,12.68,13.0,13.0,600.0
3,2016-01-07,12.98,12.98,12.7,12.74,12.74,1900.0
4,2016-01-08,12.84,13.1,9.99,12.95,12.95,969800.0
5,2016-01-11,13.08,13.08,12.95,13.0,13.0,8600.0
6,2016-01-12,12.95,12.97,12.61,12.97,12.97,2100.0
7,2016-01-13,12.98,13.09,12.6,12.95,12.95,6000.0
8,2016-01-14,12.95,12.97,12.01,12.88,12.88,23200.0
9,2016-01-15,12.79,12.8,12.4,12.44,12.44,9300.0
10,2016-01-18,12.55,12.99,12.5,12.88,12.88,9700.0
11,2016-01-19,12.88,12.99,12.85,12.85,12.85,6100.0
12,2016-01-20,12.84,12.84,12.5,12.74,12.74,12000.0
13,2016-01-21,12.78,12.99,12.41,12.72,12.72,11000.0
14,2016-01-22,12.72,13.09,12.35,12.4,12.4,37900.0
15,2016-01-26,12.62,12.64,12.58,12.61,12.61,9000.0
16,2016-01-27,12.71,12.8,11.0,11.0,11.0,62200.0
17,2016-01-28,11.34,12.39,11.34,12.1,12.1,12000.0
18,2016-01-29,12.03,12.7,11.88,11.88,11.88,28000.0
19,2016-02-01,11.71,11.89,11.1,11.13,11.13,5300.0
20,2016-02-02,11.38,12.84,11.38,12.11,12.11,93000.0
21,2016-02-03,12.65,12.87,12.21,12.55,12.55,15200.0
22,2016-02-04,12.58,13.3,12.45,12.45,12.45,29900.0
23,2016-02-05,12.78,13.71,12.41,12.6,12.6,12000.0
24,2016-02-10,12.6,13.59,12.6,13.48,13.48,14700.0
25,2016-02-11,13.51,14.3,12.81,13.06,13.06,40200.0
26,2016-02-12,13.28,13.83,13.0,13.45,13.45,23000.0
27,2016-02-15,13.95,14.2,13.57,14.0,14.0,12300.0
28,2016-02-16,13.98,14.0,13.65,13.9,13.9,9000.0
29,2016-02-17,13.98,14.5,13.98,14.5,14.5,16500.0
30,2016-02-18,14.72,14.74,14.0,14.48,14.48,9700.0
31,2016-02-19,14.3,14.39,14.2,14.26,14.26,4000.0
32,2016-02-22,14.45,14.45,13.1,13.1,13.1,8000.0
33,2016-02-23,12.87,14.29,12.87,13.19,13.19,14100.0
34,2016-02-24,12.9,13.91,11.99,13.45,13.45,41900.0
35,2016-02-25,13.35,14.4,13.35,13.99,13.99,22600.0
36,2016-02-26,13.6,13.9,12.62,12.62,12.62,7300.0
37,2016-02-29,12.65,12.7,11.35,11.35,11.35,16800.0
38,2016-03-01,11.26,11.69,11.11,11.2,11.2,3000.0
39,2016-03-02,11.75,11.8,10.88,10.98,10.98,5500.0
40,2016-03-03,10.1,12.4,9.0,12.38,12.38,15500.0
41,2016-03-04,11.0,12.3,10.8,10.8,10.8,2500.0
42,2016-03-07,9.99,11.0,9.76,11.0,11.0,6400.0
43,2016-03-08,10.97,10.97,10.95,10.95,10.95,700.0
44,2016-03-09,10.5,10.5,10.1,10.1,10.1,1500.0
45,2016-03-10,10.78,10.78,10.0,10.0,10.0,2200.0
46,2016-03-11,10.0,10.0,10.0,10.0,10.0,0.0
47,2016-03-14,10.0,10.0,9.03,9.03,9.03,3200.0
48,2016-03-15,9.35,9.7,9.34,9.34,9.34,7000.0
49,2016-03-16,9.35,9.35,9.23,9.23,9.23,73200.0
50,2016-03-17,9.72,10.34,9.72,10.2,10.2,600.0
51,2016-03-18,10.34,10.34,10.34,10.34,10.34,400.0
52,2016-03-21,10.34,10.34,10.34,10.34,10.34,0.0
53,2016-03-22,10.39,10.49,9.94,10.06,10.06,1200.0
54,2016-03-23,9.38,9.55,9.38,9.55,9.55,200.0
55,2016-03-24,9.42,9.95,9.19,9.19,9.19,2600.0
56,2016-03-28,9.19,9.19,9.19,9.19,9.19,0.0
57,2016-03-29,9.44,9.44,9.01,9.01,9.01,1100.0
58,2016-03-30,9.54,9.59,9.17,9.17,9.17,800.0
59,2016-03-31,9.01,9.39,9.01,9.39,9.39,900.0
60,2016-04-01,9.38,9.38,9.38,9.38,9.38,200.0
61,2016-04-04,9.35,9.35,9.35,9.35,9.35,300.0
62,2016-04-05,9.35,9.35,9.35,9.35,9.35,0.0
63,2016-04-06,9.35,9.35,9.35,9.35,9.35,0.0
64,2016-04-07,9.13,9.28,9.11,9.24,9.24,1100.0
65,2016-04-08,9.36,9.36,9.36,9.36,9.36,400.0
66,2016-04-11,9.59,9.59,9.02,9.05,9.05,1700.0
67,2016-04-12,9.19,9.2,8.9,8.9,8.9,2600.0
68,2016-04-13,9.29,9.29,8.39,8.39,8.39,23700.0
69,2016-04-14,8.59,9.4,8.59,9.39,9.39,2000.0
70,2016-04-15,9.5,10.0,9.5,10.0,10.0,5200.0
71,2016-04-18,9.5,10.5,9.5,10.21,10.21,4800.0
72,2016-04-19,10.0,10.79,9.6,10.79,10.79,4100.0
73,2016-04-20,10.22,11.3,10.22,11.3,11.3,1600.0
74,2016-04-22,10.51,11.29,9.61,9.92,9.92,4600.0
75,2016-04-25,10.5,10.79,10.03,10.44,10.44,1800.0
76,2016-04-26,10.3,10.75,10.0,10.0,10.0,3100.0
77,2016-04-27,9.8,10.27,9.7,10.1,10.1,26800.0
78,2016-04-28,10.1,10.1,10.1,10.1,10.1,0.0
79,2016-04-29,10.0,10.09,9.65,9.82,9.82,2100.0
80,2016-05-02,10.02,10.09,9.73,9.73,9.73,3100.0
81,2016-05-03,9.73,9.73,9.51,9.64,9.64,800.0
82,2016-05-04,9.41,9.8,9.41,9.45,9.45,1200.0
83,2016-05-05,9.21,9.21,9.2,9.2,9.2,1300.0
84,2016-05-06,9.2,9.94,9.05,9.94,9.94,3400.0
85,2016-05-09,9.32,9.59,9.25,9.25,9.25,1500.0
86,2016-05-10,9.25,9.7,9.2,9.7,9.7,2200.0
87,2016-05-11,9.3,9.3,9.3,9.3,9.3,200.0
88,2016-05-12,9.31,9.31,9.03,9.03,9.03,2000.0
89,2016-05-13,9.02,9.02,9.01,9.01,9.01,500.0
90,2016-05-16,8.3,8.3,8.3,8.3,8.3,300.0
91,2016-05-17,8.3,8.99,8.3,8.3,8.3,1900.0
92,2016-05-18,8.3,8.3,7.85,7.85,7.85,1700.0
93,2016-05-19,7.85,8.3,7.41,7.69,7.69,4300.0
94,2016-05-20,7.9,7.96,7.5,7.74,7.74,2800.0
95,2016-05-23,7.35,7.55,7.3,7.4,7.4,1600.0
96,2016-05-24,7.41,7.41,7.07,7.07,7.07,1200.0
97,2016-05-25,7.13,7.24,6.89,6.89,6.89,1300.0
98,2016-05-27,7.24,7.5,6.95,7.5,7.5,3300.0
99,2016-05-30,7.5,7.5,7.5,7.5,7.5,0.0
100,2016-05-31,7.5,7.5,7.5,7.5,7.5,1300.0
101,2016-06-01,7.7,7.8,7.7,7.8,7.8,400.0
102,2016-06-02,7.2,7.2,6.88,6.88,6.88,300.0
103,2016-06-03,7.0,8.39,6.68,8.39,8.39,6100.0
104,2016-06-06,7.54,7.85,7.5,7.52,7.52,2700.0
105,2016-06-07,7.35,7.48,7.11,7.48,7.48,1600.0
106,2016-06-08,7.48,7.48,7.48,7.48,7.48,400.0
107,2016-06-09,7.6,7.6,7.59,7.59,7.59,300.0
108,2016-06-10,7.59,7.59,7.59,7.59,7.59,0.0
109,2016-06-13,7.61,7.8,7.2,7.2,7.2,1400.0
110,2016-06-14,7.09,7.1,6.98,7.1,7.1,2000.0
111,2016-06-15,6.93,7.15,6.76,7.15,7.15,6800.0
112,2016-06-16,7.13,7.13,7.13,7.13,7.13,900.0
113,2016-06-17,7.1,7.35,6.99,6.99,6.99,4300.0
114,2016-06-20,7.24,7.46,6.9,6.9,6.9,1700.0
115,2016-06-21,7.0,7.01,7.0,7.01,7.01,1200.0
116,2016-06-22,7.01,7.01,6.74,6.74,6.74,1300.0
117,2016-06-23,6.74,6.74,6.74,6.74,6.74,200.0
118,2016-06-24,6.55,6.55,6.21,6.48,6.48,1800.0
119,2016-06-27,6.3,6.39,6.21,6.39,6.39,2100.0
120,2016-06-28,6.22,6.22,6.14,6.14,6.14,700.0
121,2016-06-29,6.05,6.28,6.05,6.23,6.23,1900.0
122,2016-06-30,6.44,6.44,6.44,6.44,6.44,700.0
123,2016-07-01,6.3,6.52,6.3,6.48,6.48,1300.0
124,2016-07-04,6.22,6.3,6.07,6.07,6.07,3300.0
125,2016-07-05,6.08,6.08,5.76,5.97,5.97,3800.0
126,2016-07-06,5.97,6.28,5.76,6.28,6.28,7700.0
127,2016-07-07,6.28,6.28,5.62,5.62,5.62,11800.0
128,2016-07-08,5.62,5.7,5.27,5.27,5.27,7200.0
129,2016-07-11,5.29,5.35,5.23,5.23,5.23,5200.0
130,2016-07-12,5.25,5.48,5.24,5.48,5.48,1200.0
131,2016-07-13,5.64,5.85,5.35,5.54,5.54,4300.0
132,2016-07-14,5.55,5.87,5.44,5.44,5.44,2700.0
