,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,8.31,8.96,8.31,8.67,7.430967,16912500.0
1,2016-01-05,8.73,8.89,8.35,8.45,7.242408,9146500.0
2,2016-01-06,8.22,8.25,8.06,8.06,6.908143,9908400.0
3,2016-01-07,7.72,8.07,7.65,7.83,6.711012,10777500.0
4,2016-01-08,8.0,8.04,7.68,7.86,6.736724,10759800.0
5,2016-01-11,7.89,7.89,7.52,7.58,6.496739,8459800.0
6,2016-01-12,7.62,7.64,6.83,7.0,5.999629,15797700.0
7,2016-01-13,7.18,7.28,6.8,6.8,5.828209,14299300.0
8,2016-01-14,6.8,7.28,6.6,7.23,6.196758,14608000.0
9,2016-01-15,6.94,7.04,6.61,6.71,5.751071,16477400.0
10,2016-01-18,6.76,6.77,6.3,6.3,5.399665,5738000.0
11,2016-01-19,6.68,6.68,6.15,6.15,5.271101,13364200.0
12,2016-01-20,5.93,5.99,5.67,5.93,5.082541,12696100.0
13,2016-01-21,5.94,6.47,5.91,6.29,5.391094,19709900.0
14,2016-01-22,6.6,6.76,6.21,6.21,5.322526,26399700.0
15,2016-01-26,6.1,6.24,5.86,5.96,5.108255,13040400.0
16,2016-01-27,5.98,6.79,5.9,6.54,5.605366,21493300.0
17,2016-01-28,6.7,7.36,6.23,6.52,5.588224,25596800.0
18,2016-01-29,6.61,6.97,6.41,6.93,5.939631,29053400.0
19,2016-02-01,6.81,7.04,6.55,6.58,5.639649,17751700.0
20,2016-02-02,6.38,6.55,6.02,6.02,5.15968,13664300.0
21,2016-02-03,6.1,6.32,5.93,6.18,5.296814,15966400.0
22,2016-02-04,6.3,7.0,6.06,6.67,5.716788,27839800.0
23,2016-02-05,6.61,6.82,6.39,6.39,5.476802,14089800.0
24,2016-02-10,6.04,6.21,6.02,6.12,5.245389,11824000.0
25,2016-02-11,5.89,6.05,5.78,5.91,5.065399,12812600.0
26,2016-02-12,6.17,6.42,6.06,6.31,5.408236,14200200.0
27,2016-02-15,6.52,6.6,6.43,6.43,5.511086,3822100.0
28,2016-02-16,6.44,6.66,6.29,6.29,5.391094,13694000.0
29,2016-02-17,6.41,6.97,6.41,6.78,5.811069,24782600.0
30,2016-02-18,6.8,7.07,6.58,6.6,5.656792,14730400.0
31,2016-02-19,6.53,6.55,6.31,6.38,5.468232,10001500.0
32,2016-02-22,6.71,7.42,6.65,7.41,6.351034,22126000.0
33,2016-02-23,7.26,7.75,7.03,7.08,6.068195,20439100.0
34,2016-02-24,6.83,7.15,6.74,7.03,6.025341,14172300.0
35,2016-02-25,6.96,7.3,6.85,6.98,5.982486,13320200.0
36,2016-02-26,7.24,7.35,6.87,6.89,5.905348,10907400.0
37,2016-02-29,7.15,7.48,7.1,7.35,6.299609,17867800.0
38,2016-03-01,7.59,7.67,7.21,7.57,6.488169,21920700.0
39,2016-03-02,7.47,8.14,7.38,8.1,6.942427,19386300.0
40,2016-03-03,8.3,9.36,8.23,9.11,7.808086,50863300.0
41,2016-03-04,9.11,10.51,9.11,9.98,8.553753,52918800.0
42,2016-03-07,10.2,10.4,9.67,9.91,8.493757,22803500.0
43,2016-03-08,9.9,10.52,9.37,9.65,8.270915,35828200.0
44,2016-03-09,9.96,10.09,9.4,9.56,8.193778,28823300.0
45,2016-03-10,9.83,9.94,9.23,9.81,8.40805,31324900.0
46,2016-03-11,9.8,10.25,9.57,10.09,8.648036,14230000.0
47,2016-03-14,10.16,10.19,9.52,9.54,8.176635,16408600.0
48,2016-03-15,8.99,9.17,8.71,8.91,7.636669,26944700.0
49,2016-03-16,8.91,9.69,8.77,9.6,8.228063,21836600.0
50,2016-03-17,10.52,10.66,10.02,10.44,8.948014,36588400.0
51,2016-03-18,10.55,10.59,9.84,10.3,8.828023,27464600.0
52,2016-03-21,10.19,10.49,10.03,10.25,8.78517,10381000.0
53,2016-03-22,10.0,10.59,9.85,10.48,8.982299,21415900.0
54,2016-03-23,10.2,10.33,9.86,9.92,8.502329,14058300.0
55,2016-03-24,9.66,10.18,9.36,9.99,8.562325,14529800.0
56,2016-03-28,10.45,10.73,9.99,10.63,9.110863,12959100.0
57,2016-03-29,10.5,10.94,10.23,10.63,9.110863,14787100.0
58,2016-03-30,10.9,11.29,10.63,10.7,9.170858,20811100.0
59,2016-03-31,10.63,10.9,10.48,10.63,9.110863,24100.0
60,2016-04-01,10.53,10.53,10.53,10.53,9.025153,63500.0
61,2016-04-04,10.16,10.45,9.52,9.6,8.228063,25100.0
62,2016-04-05,9.52,10.07,9.39,9.82,8.41662,48700.0
63,2016-04-06,9.76,10.16,9.71,9.73,8.339482,64400.0
64,2016-04-07,9.99,10.06,9.73,9.94,8.519472,29500.0
65,2016-04-08,10.4,10.67,10.38,10.49,8.990871,17219200.0
66,2016-04-11,10.6,10.75,10.36,10.42,8.930873,227200.0
67,2016-04-12,10.62,11.52,10.55,11.35,9.727967,30000.0
68,2016-04-13,11.71,12.07,11.39,11.83,10.13937,140600.0
69,2016-04-14,11.95,12.11,11.31,11.47,9.830818,16036300.0
70,2016-04-15,11.59,12.25,11.29,11.95,10.242221,16220900.0
71,2016-04-18,11.88,12.3,11.09,11.77,10.087946,15257500.0
72,2016-04-19,11.92,12.48,11.8,12.36,10.593628,16100.0
73,2016-04-20,12.1,12.61,12.03,12.34,10.576485,22798700.0
74,2016-04-22,12.14,13.21,12.14,12.9,11.056457,17158500.0
75,2016-04-25,12.8,13.1,12.23,12.36,10.593628,8756900.0
76,2016-04-26,12.48,12.94,12.39,12.78,10.953605,9609100.0
77,2016-04-27,12.98,13.47,12.91,13.4,11.485002,19030200.0
78,2016-04-28,13.46,13.97,13.28,13.57,11.630707,13095600.0
79,2016-04-29,13.75,13.84,13.11,13.27,11.37358,11832800.0
80,2016-05-02,13.33,13.53,12.84,13.27,11.37358,7876000.0
81,2016-05-03,13.2,13.2,12.69,12.82,10.987889,8180300.0
82,2016-05-04,12.9,13.3,12.8,12.96,11.107883,9468600.0
83,2016-05-05,13.43,13.54,12.35,12.64,10.833613,8752100.0
84,2016-05-06,12.35,13.13,12.27,12.93,11.082169,6254900.0
85,2016-05-09,12.93,12.94,11.64,12.07,10.345072,14992000.0
86,2016-05-10,12.43,12.85,12.27,12.85,11.013602,8368300.0
87,2016-05-11,13.05,13.34,12.56,12.91,11.065027,8727600.0
88,2016-05-12,13.06,13.35,12.6,12.71,10.893611,8719800.0
89,2016-05-13,12.78,12.96,11.91,12.12,10.387925,12468200.0
90,2016-05-16,12.24,12.92,12.24,12.54,10.747905,7985200.0
91,2016-05-17,12.66,12.78,12.23,12.4,10.627912,9704800.0
92,2016-05-18,12.2,12.54,12.01,12.01,10.293648,11337000.0
93,2016-05-19,11.9,11.91,11.12,11.51,9.865101,9408400.0
94,2016-05-20,11.76,12.15,11.33,11.33,9.710827,11506700.0
95,2016-05-23,10.9,11.23,10.84,11.04,9.462271,10352100.0
96,2016-05-24,11.3,11.5,10.92,11.09,9.505125,9698200.0
97,2016-05-25,11.13,11.42,10.99,11.1,9.513695,10917500.0
98,2016-05-27,10.85,11.0,10.46,10.49,8.990871,6963100.0
99,2016-05-30,10.45,10.92,10.25,10.58,9.068007,2647000.0
100,2016-05-31,10.6,10.95,10.18,10.18,8.725173,18808400.0
101,2016-06-01,10.15,10.52,9.95,10.41,8.922303,10780400.0
102,2016-06-02,10.38,10.75,10.2,10.7,9.170858,8740700.0
103,2016-06-03,10.79,10.99,10.67,10.81,9.26514,8140300.0
104,2016-06-06,10.98,11.04,10.74,10.8,9.256568,8077800.0
105,2016-06-07,10.75,11.28,10.68,11.13,9.539409,13049700.0
106,2016-06-08,11.25,12.13,11.25,12.05,10.32793,13273700.0
107,2016-06-09,11.96,12.02,11.62,11.75,10.070802,6550100.0
108,2016-06-10,11.39,11.53,11.03,11.03,9.453697,10598400.0
109,2016-06-13,10.88,11.13,10.7,10.82,9.27371,8768400.0
110,2016-06-14,10.79,10.99,10.3,10.48,8.982299,12015200.0
111,2016-06-15,10.46,10.99,10.39,10.64,9.119434,18401100.0
112,2016-06-16,10.54,10.77,10.31,10.77,9.230855,11684400.0
113,2016-06-17,11.01,11.5,11.01,11.39,9.76225,14227500.0
114,2016-06-20,11.72,11.97,11.6,11.73,10.053661,13260500.0
115,2016-06-21,11.7,12.0,11.37,11.94,10.233649,8962500.0
116,2016-06-22,12.01,12.26,11.65,11.65,9.985094,10140100.0
117,2016-06-23,11.92,12.07,11.83,12.05,10.32793,9435200.0
118,2016-06-24,11.2,11.61,11.04,11.43,9.796535,15420500.0
119,2016-06-27,11.43,11.52,10.63,10.8,9.256568,19702800.0
120,2016-06-28,11.23,11.42,11.06,11.25,9.642261,10626500.0
121,2016-06-29,11.48,11.79,11.31,11.57,9.916528,9054800.0
122,2016-06-30,11.45,11.55,11.25,11.51,9.865101,9797100.0
123,2016-07-01,11.55,12.14,11.42,12.06,10.336498,9532100.0
124,2016-07-04,12.11,12.33,11.99,12.02,10.302217,2096200.0
125,2016-07-05,11.72,11.85,11.22,11.34,9.719398,7323100.0
126,2016-07-06,11.15,11.74,11.01,11.69,10.019378,8514500.0
127,2016-07-07,11.91,12.62,11.8,11.97,10.259365,19077100.0
128,2016-07-08,12.23,12.48,12.13,12.3,10.542203,8401600.0
