,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-15,15.8,15.95,14.81,15.5,15.460991,11901600.0
1,2020-09-16,15.5,15.82,15.36,15.45,15.411116,2698000.0
2,2020-09-17,15.2,15.87,15.0,15.6,15.56074,3829000.0
3,2020-09-18,15.41,15.99,15.2,15.24,15.201646,5370600.0
4,2020-09-21,15.15,15.32,14.81,14.95,14.912375,3364200.0
5,2020-09-22,14.95,15.6,14.78,15.5,15.460991,2815100.0
6,2020-09-23,15.35,15.76,14.8,14.8,14.762753,5019500.0
7,2020-09-24,14.8,15.25,14.5,15.23,15.19167,4979900.0
8,2020-09-25,15.11,15.19,14.8,15.0,14.962249,2061800.0
9,2020-09-28,15.16,15.31,14.5,14.7,14.663005,2574200.0
10,2020-09-29,14.75,14.75,14.15,14.3,14.26401,1713900.0
11,2020-09-30,14.42,14.7,14.17,14.3,14.26401,3053700.0
12,2020-10-01,14.43,14.9,14.02,14.9,14.862501,4775100.0
13,2020-10-02,14.7,14.98,14.24,14.52,14.483459,2124800.0
14,2020-10-05,14.53,14.69,14.0,14.0,13.964767,3246800.0
15,2020-10-06,14.14,14.23,13.72,14.0,13.964767,4649900.0
16,2020-10-07,14.01,14.4,13.8,14.38,14.34381,3239200.0
17,2020-10-08,14.38,14.38,14.01,14.23,14.194186,1678000.0
18,2020-10-09,14.2,14.7,13.98,14.7,14.663005,3870000.0
19,2020-10-13,14.7,15.2,14.58,15.2,15.161745,3996400.0
20,2020-10-14,15.2,15.68,14.84,15.46,15.421092,3146900.0
21,2020-10-15,15.25,16.129999,15.05,15.85,15.810111,3899600.0
22,2020-10-16,15.95,16.049999,15.56,15.97,15.929809,1848800.0
23,2020-10-19,15.98,15.98,15.49,15.7,15.660487,1678600.0
24,2020-10-20,15.7,16.440001,15.7,16.35,16.308853,4391200.0
25,2020-10-21,16.35,16.77,16.209999,16.5,16.458475,3283600.0
26,2020-10-22,16.48,17.190001,16.35,16.540001,16.498375,4242800.0
27,2020-10-23,16.700001,17.15,15.98,16.549999,16.508348,4783600.0
