,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-03,10.78,11.3,10.1,10.4,10.4,12416100.0
1,2020-09-04,10.7,10.8,10.25,10.4,10.4,4048500.0
2,2020-09-08,10.4,10.4,10.0,10.35,10.35,1459400.0
3,2020-09-09,10.35,10.44,10.19,10.29,10.29,1223400.0
4,2020-09-10,10.25,10.25,10.1,10.1,10.1,905400.0
5,2020-09-11,10.08,10.1,9.67,9.9,9.9,1523800.0
6,2020-09-14,9.9,10.13,9.77,9.77,9.77,1182400.0
7,2020-09-15,9.75,9.83,9.5,9.78,9.78,838400.0
8,2020-09-16,9.76,9.87,9.62,9.87,9.87,252900.0
9,2020-09-17,9.86,9.86,9.59,9.6,9.6,517300.0
10,2020-09-18,9.59,9.6,9.38,9.38,9.38,338200.0
11,2020-09-21,9.38,9.38,9.03,9.3,9.3,359200.0
12,2020-09-22,9.38,9.8,9.2,9.8,9.8,418000.0
13,2020-09-23,9.8,9.9,9.56,9.56,9.56,285500.0
14,2020-09-24,9.56,9.7,9.3,9.6,9.6,400200.0
15,2020-09-25,9.59,9.59,9.38,9.48,9.48,406700.0
16,2020-09-28,9.42,9.52,9.25,9.3,9.3,1806300.0
17,2020-09-29,9.24,9.28,9.01,9.24,9.24,163100.0
18,2020-09-30,9.24,9.33,9.08,9.2,9.2,937200.0
19,2020-10-01,9.3,9.3,9.05,9.26,9.26,909400.0
20,2020-10-02,9.2,9.5,9.08,9.3,9.3,539800.0
21,2020-10-05,9.48,9.48,9.1,9.16,9.16,656700.0
22,2020-10-06,9.17,9.34,9.06,9.06,9.06,282500.0
23,2020-10-07,9.09,9.25,8.95,9.1,9.1,408800.0
24,2020-10-08,9.11,9.16,8.95,8.95,8.95,496200.0
25,2020-10-09,8.94,9.09,8.8,9.07,9.07,524000.0
26,2020-10-13,9.37,9.7,8.88,9.1,9.1,2013400.0
27,2020-10-14,9.4,9.52,9.24,9.36,9.36,1747800.0
28,2020-10-15,9.6,9.7,9.43,9.6,9.6,2068000.0
29,2020-10-16,9.62,9.66,9.42,9.45,9.45,674300.0
30,2020-10-19,9.35,9.44,9.02,9.03,9.03,2158200.0
31,2020-10-20,9.03,9.15,9.03,9.14,9.14,340600.0
32,2020-10-21,9.14,9.14,9.06,9.09,9.09,346500.0
33,2020-10-22,9.05,9.1,9.0,9.1,9.1,474400.0
34,2020-10-23,9.09,9.09,8.95,8.98,8.98,301800.0
35,2020-10-26,9.02,9.02,8.88,8.99,8.99,253800.0
36,2020-10-27,9.0,9.04,8.86,9.04,9.04,281200.0
37,2020-10-28,9.02,9.02,8.6,8.6,8.6,526200.0
38,2020-10-29,8.61,8.68,8.32,8.51,8.51,502300.0
39,2020-10-30,8.91,8.99,8.08,8.2,8.2,1287900.0
40,2020-11-03,8.35,8.47,7.93,8.02,8.02,457300.0
41,2020-11-04,8.1,8.2,8.01,8.2,8.2,193200.0
42,2020-11-05,8.26,8.39,8.26,8.35,8.35,226000.0
43,2020-11-06,8.35,8.49,8.2,8.49,8.49,300400.0
44,2020-11-09,8.67,8.85,8.41,8.44,8.44,410100.0
45,2020-11-10,8.61,8.7,8.38,8.42,8.42,643000.0
46,2020-11-11,8.49,8.55,8.27,8.45,8.45,451500.0
47,2020-11-12,8.45,8.45,8.25,8.25,8.25,391100.0
48,2020-11-13,8.25,8.43,8.25,8.43,8.43,166100.0
49,2020-11-16,8.45,8.55,8.35,8.51,8.51,311800.0
50,2020-11-17,8.49,8.5,8.41,8.42,8.42,256700.0
51,2020-11-18,8.42,8.49,8.35,8.42,8.42,217700.0
52,2020-11-19,8.43,8.48,8.3,8.38,8.38,434100.0
53,2020-11-23,8.39,8.39,8.19,8.2,8.2,351800.0
54,2020-11-24,8.22,8.3,8.2,8.3,8.3,227800.0
55,2020-11-25,8.3,8.37,8.23,8.33,8.33,446600.0
56,2020-11-26,8.31,8.38,8.24,8.36,8.36,218700.0
57,2020-11-27,8.39,8.39,8.32,8.34,8.34,182300.0
58,2020-11-30,8.34,8.39,8.25,8.29,8.29,186600.0
59,2020-12-01,8.32,8.35,8.21,8.21,8.21,307600.0
60,2020-12-02,8.26,8.3,8.13,8.2,8.2,443000.0
61,2020-12-03,8.17,8.31,8.17,8.19,8.19,681900.0
62,2020-12-04,8.19,8.27,8.13,8.13,8.13,408100.0
63,2020-12-07,8.1,8.19,7.99,8.04,8.04,542900.0
64,2020-12-08,8.05,8.09,7.9,7.94,7.94,625400.0
65,2020-12-09,7.94,8.0,7.83,7.99,7.99,434100.0
66,2020-12-10,8.04,8.09,7.84,7.95,7.95,1281100.0
67,2020-12-11,7.95,8.06,7.93,8.02,8.02,444000.0
68,2020-12-14,7.95,8.09,7.95,8.03,8.03,388900.0
69,2020-12-15,8.03,8.32,8.03,8.27,8.27,621600.0
70,2020-12-16,8.3,8.4,8.25,8.37,8.37,338500.0
71,2020-12-17,8.4,8.55,8.35,8.49,8.49,487600.0
72,2020-12-18,8.55,8.57,8.44,8.45,8.45,303600.0
73,2020-12-21,8.2,8.54,8.09,8.5,8.5,449000.0
74,2020-12-22,8.5,8.63,8.37,8.52,8.52,478300.0
75,2020-12-23,8.52,8.64,8.4,8.64,8.64,480600.0
76,2020-12-28,8.68,8.89,8.68,8.85,8.85,923600.0
77,2020-12-29,9.0,9.01,8.8,8.95,8.95,479500.0
78,2020-12-30,9.11,9.11,8.93,9.02,9.02,753700.0
79,2021-01-04,9.2,9.2,8.8,9.08,9.08,614800.0
80,2021-01-05,9.19,9.2,8.8,9.2,9.2,632600.0
81,2021-01-06,9.28,9.3,9.06,9.2,9.2,1036700.0
82,2021-01-07,9.23,9.23,8.96,9.06,9.06,759700.0
83,2021-01-08,9.23,9.23,8.98,9.02,9.02,537900.0
84,2021-01-11,9.11,9.18,8.91,9.1,9.1,762400.0
85,2021-01-12,9.22,9.59,9.11,9.59,9.59,1718900.0
86,2021-01-13,9.68,10.2,9.45,10.2,10.2,2040700.0
87,2021-01-14,10.4,10.4,9.9,10.31,10.31,1032400.0
88,2021-01-15,10.31,10.6,10.11,10.4,10.4,780800.0
89,2021-01-18,10.6,10.7,10.46,10.69,10.69,764100.0
90,2021-01-19,10.88,10.88,10.63,10.72,10.72,517800.0
91,2021-01-20,10.9,10.9,10.52,10.74,10.74,381600.0
92,2021-01-21,10.85,10.85,10.21,10.4,10.4,767500.0
93,2021-01-22,10.38,10.47,10.07,10.3,10.3,767600.0
94,2021-01-26,10.7,10.77,10.51,10.62,10.62,647000.0
95,2021-01-27,10.76,10.76,10.3,10.37,10.37,422200.0
96,2021-01-28,10.47,10.5,10.31,10.37,10.37,447400.0
97,2021-01-29,10.39,10.4,10.1,10.15,10.15,362900.0
98,2021-02-01,10.47,10.47,9.85,9.96,9.96,822700.0
99,2021-02-02,10.17,10.17,9.99,10.04,10.04,596800.0
100,2021-02-03,10.2,10.2,9.85,10.0,10.0,556500.0
101,2021-02-04,10.12,10.12,9.8,9.92,9.92,398100.0
102,2021-02-05,10.05,10.44,9.89,10.44,10.44,1910000.0
103,2021-02-08,10.66,10.79,10.06,10.22,10.22,1000200.0
104,2021-02-09,10.12,10.18,9.95,9.98,9.98,422300.0
105,2021-02-10,10.0,10.1,9.85,10.02,10.02,762700.0
106,2021-02-11,10.02,10.48,9.99,10.3,10.3,943400.0
107,2021-02-12,10.19,10.2,9.95,10.0,10.0,780400.0
108,2021-02-17,,,,,,
109,2021-02-18,10.0,10.09,9.96,10.0,10.0,508000.0
110,2021-02-19,9.91,10.1,9.91,10.07,10.07,564800.0
111,2021-02-22,9.91,9.93,9.42,9.8,9.8,980400.0
112,2021-02-23,9.78,10.24,9.69,10.23,10.23,718800.0
113,2021-02-24,10.13,10.19,9.96,9.99,9.99,835400.0
114,2021-02-25,10.06,10.08,9.78,9.95,9.95,947600.0
115,2021-02-26,9.97,9.99,9.7,9.91,9.91,867300.0
116,2021-03-01,10.03,10.03,9.77,9.89,9.89,708500.0
117,2021-03-02,10.02,10.3,9.57,9.69,9.69,1023100.0
118,2021-03-03,9.71,9.76,9.1,9.26,9.26,806600.0
119,2021-03-04,9.25,9.55,9.12,9.3,9.3,683400.0
120,2021-03-05,9.15,9.26,8.97,9.12,9.12,684900.0
121,2021-03-08,9.1,9.25,8.98,9.1,9.1,871500.0
122,2021-03-09,9.05,9.13,8.93,9.01,9.01,1189300.0
123,2021-03-10,8.98,9.13,8.65,8.81,8.81,1152500.0
124,2021-03-11,8.91,9.08,8.71,8.96,8.96,467400.0
125,2021-03-12,8.9,8.96,8.8,8.96,8.96,364200.0
126,2021-03-15,9.0,9.15,8.9,9.08,9.08,690300.0
127,2021-03-16,9.13,9.3,8.98,9.2,9.2,377000.0
128,2021-03-17,9.18,9.2,9.02,9.13,9.13,376200.0
129,2021-03-18,9.16,9.27,9.04,9.17,9.17,990400.0
130,2021-03-19,9.24,9.42,9.15,9.39,9.39,326000.0
131,2021-03-22,9.4,9.47,9.15,9.16,9.16,543100.0
132,2021-03-23,9.05,9.28,9.04,9.2,9.2,1550800.0
133,2021-03-24,9.2,9.26,8.88,9.0,9.0,555200.0
134,2021-03-25,9.0,9.1,8.82,8.96,8.96,753100.0
135,2021-03-26,9.08,9.08,8.89,8.96,8.96,670800.0
136,2021-03-29,8.96,9.17,8.94,9.05,9.05,829800.0
137,2021-03-30,9.06,9.26,9.05,9.17,9.17,371000.0
138,2021-03-31,9.17,9.25,8.99,9.04,9.04,2572000.0
139,2021-04-01,9.19,9.3,9.11,9.2,9.2,916400.0
140,2021-04-05,9.25,9.3,9.14,9.26,9.26,338700.0
141,2021-04-06,9.17,9.65,9.17,9.65,9.65,1137300.0
142,2021-04-07,9.67,9.8,9.4,9.4,9.4,602800.0
143,2021-04-08,9.49,9.49,9.35,9.41,9.41,750700.0
144,2021-04-09,9.43,9.58,9.27,9.35,9.35,537800.0
145,2021-04-12,9.3,9.58,9.3,9.47,9.47,488900.0
146,2021-04-13,9.47,9.67,9.43,9.45,9.45,360400.0
147,2021-04-14,9.5,9.57,9.43,9.5,9.5,3398700.0
148,2021-04-15,9.5,9.96,9.47,9.95,9.95,554700.0
149,2021-04-16,9.95,9.95,9.62,9.63,9.63,605400.0
150,2021-04-19,9.64,9.68,9.5,9.5,9.5,622300.0
151,2021-04-20,9.5,9.56,9.04,9.31,9.31,2037300.0
152,2021-04-22,9.23,9.37,9.22,9.25,9.25,591400.0
153,2021-04-23,9.2,9.57,9.15,9.26,9.26,778200.0
154,2021-04-26,9.27,9.32,9.03,9.06,9.06,2314700.0
155,2021-04-27,9.2,9.42,9.05,9.25,9.25,4305000.0
156,2021-04-28,9.25,9.35,9.16,9.3,9.3,806900.0
157,2021-04-29,9.41,9.61,9.29,9.58,9.58,1115700.0
158,2021-04-30,9.57,9.66,9.38,9.6,9.6,618600.0
159,2021-05-03,9.69,9.79,9.54,9.74,9.74,1012500.0
160,2021-05-04,9.85,9.93,9.6,9.75,9.75,1408600.0
161,2021-05-05,9.75,10.2,9.7,10.2,10.2,1996400.0
