,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,3.67,3.75,3.66,3.7,3.2982,53400.0
1,2016-01-05,3.57,3.72,3.5,3.65,3.438098,18900.0
2,2016-01-06,3.49,3.71,3.47,3.6,3.391001,21600.0
3,2016-01-07,3.62,3.62,3.55,3.6,3.391001,102100.0
4,2016-01-08,3.59,3.64,3.58,3.6,3.391001,4800.0
5,2016-01-11,3.52,3.72,3.51,3.63,3.419259,5400.0
6,2016-01-12,3.68,3.68,3.63,3.65,3.438098,1300.0
7,2016-01-13,3.65,3.65,3.63,3.65,3.438098,35000.0
8,2016-01-14,3.64,3.65,3.6,3.65,3.438098,6400.0
9,2016-01-15,3.64,3.65,3.62,3.65,3.438098,1500.0
10,2016-01-18,3.65,3.65,3.6,3.65,3.438098,16700.0
11,2016-01-19,3.63,3.63,3.49,3.63,3.419259,140700.0
12,2016-01-20,3.6,3.63,3.57,3.63,3.419259,26500.0
13,2016-01-21,3.63,3.7,3.63,3.64,3.428679,13500.0
14,2016-01-22,3.63,3.63,3.6,3.63,3.419259,27800.0
15,2016-01-26,3.65,3.65,3.55,3.63,3.419259,6600.0
16,2016-01-27,3.63,3.63,3.6,3.62,3.409839,4300.0
17,2016-01-28,3.62,3.63,3.62,3.63,3.419259,1000.0
18,2016-01-29,3.61,3.62,3.6,3.62,3.409839,9900.0
19,2016-02-01,3.63,3.63,3.56,3.63,3.419259,3900.0
20,2016-02-02,3.62,3.63,3.57,3.63,3.419259,13300.0
21,2016-02-03,3.62,3.63,3.57,3.63,3.419259,1100.0
22,2016-02-04,3.6,3.63,3.47,3.47,3.268548,20600.0
23,2016-02-05,3.48,3.5,3.37,3.5,3.296806,11000.0
24,2016-02-10,3.5,3.5,3.4,3.5,3.296806,1300.0
25,2016-02-11,3.45,3.49,3.45,3.49,3.287387,2500.0
26,2016-02-12,3.49,3.49,3.41,3.41,3.212031,1500.0
27,2016-02-15,3.4,3.4,3.38,3.4,3.202612,3000.0
28,2016-02-16,3.4,3.4,3.37,3.4,3.202612,8100.0
29,2016-02-17,3.48,3.5,3.42,3.49,3.287387,9200.0
30,2016-02-18,3.5,3.5,3.48,3.48,3.277967,8000.0
31,2016-02-19,3.5,3.5,3.44,3.5,3.296806,11700.0
32,2016-02-22,3.58,3.6,3.45,3.5,3.296806,43500.0
33,2016-02-23,3.5,3.5,3.44,3.49,3.287387,36200.0
34,2016-02-24,3.47,3.5,3.46,3.5,3.296806,9200.0
35,2016-02-25,3.5,3.5,3.41,3.5,3.296806,16100.0
36,2016-02-26,3.49,3.5,3.45,3.5,3.296806,2100.0
37,2016-02-29,3.5,3.5,3.45,3.5,3.296806,78600.0
38,2016-03-01,3.49,3.5,3.45,3.5,3.296806,7600.0
