,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.01,2.05,1.97,1.97,1.97,32200.0
1,2016-01-05,2.01,2.02,1.98,1.99,1.99,1800.0
2,2016-01-06,1.98,1.98,1.88,1.88,1.88,8000.0
3,2016-01-07,1.93,1.93,1.93,1.93,1.93,500.0
4,2016-01-08,1.94,2.0,1.94,1.98,1.98,1500.0
5,2016-01-11,1.9,1.98,1.9,1.9,1.9,1700.0
6,2016-01-12,1.9,1.9,1.9,1.9,1.9,0.0
7,2016-01-13,1.9,1.9,1.9,1.9,1.9,1100.0
8,2016-01-14,1.89,1.95,1.85,1.85,1.85,31700.0
9,2016-01-15,1.95,2.0,1.8,1.8,1.8,27500.0
10,2016-01-18,1.95,1.95,1.6,1.6,1.6,2800.0
11,2016-01-19,1.8,1.8,1.7,1.7,1.7,1100.0
12,2016-01-20,1.78,1.78,1.78,1.78,1.78,200.0
13,2016-01-21,1.78,1.78,1.78,1.78,1.78,0.0
14,2016-01-22,1.78,1.78,1.78,1.78,1.78,0.0
15,2016-01-26,1.5,1.5,1.5,1.5,1.5,12200.0
16,2016-01-27,1.6,1.6,1.47,1.5,1.5,35000.0
17,2016-01-28,1.5,1.5,1.49,1.5,1.5,8600.0
18,2016-01-29,1.45,1.45,1.45,1.45,1.45,2400.0
19,2016-02-01,1.46,1.46,1.45,1.45,1.45,3200.0
20,2016-02-02,1.41,1.41,1.41,1.41,1.41,2200.0
21,2016-02-03,1.4,1.44,1.38,1.38,1.38,2200.0
22,2016-02-04,1.4,1.49,1.4,1.49,1.49,3600.0
23,2016-02-05,1.5,1.5,1.5,1.5,1.5,400.0
24,2016-02-10,1.58,1.58,1.58,1.58,1.58,200.0
25,2016-02-11,1.5,1.58,1.5,1.58,1.58,900.0
26,2016-02-12,1.58,1.58,1.58,1.58,1.58,0.0
27,2016-02-15,1.58,1.58,1.58,1.58,1.58,0.0
28,2016-02-16,1.55,1.99,1.54,1.71,1.71,9900.0
29,2016-02-17,1.9,1.95,1.75,1.9,1.9,5000.0
30,2016-02-18,1.9,1.9,1.75,1.8,1.8,20600.0
31,2016-02-19,1.8,1.8,1.8,1.8,1.8,300.0
32,2016-02-22,1.8,1.8,1.75,1.75,1.75,5200.0
33,2016-02-23,1.65,1.65,1.57,1.57,1.57,11300.0
34,2016-02-24,1.51,1.57,1.5,1.5,1.5,17700.0
35,2016-02-25,1.51,1.51,1.45,1.45,1.45,1400.0
36,2016-02-26,1.45,1.5,1.45,1.5,1.5,800.0
37,2016-02-29,1.5,1.5,1.45,1.5,1.5,1400.0
38,2016-03-01,1.5,1.52,1.48,1.52,1.52,2900.0
39,2016-03-02,1.5,1.5,1.5,1.5,1.5,500.0
40,2016-03-03,1.62,1.8,1.5,1.6,1.6,23300.0
41,2016-03-04,1.7,1.7,1.7,1.7,1.7,400.0
42,2016-03-07,1.65,1.7,1.6,1.6,1.6,7300.0
43,2016-03-08,1.5,1.65,1.48,1.5,1.5,16000.0
44,2016-03-09,1.55,1.9,1.55,1.89,1.89,41300.0
45,2016-03-10,2.0,2.4,1.94,2.25,2.25,54200.0
46,2016-03-11,2.4,2.62,2.4,2.59,2.59,20800.0
47,2016-03-14,2.62,2.62,2.3,2.45,2.45,19900.0
48,2016-03-15,2.2,2.29,2.19,2.29,2.29,2300.0
49,2016-03-16,2.29,2.29,2.29,2.29,2.29,0.0
50,2016-03-17,2.33,2.5,2.25,2.5,2.5,15000.0
51,2016-03-18,2.56,2.9,2.56,2.84,2.84,24800.0
52,2016-03-21,2.92,4.0,2.92,3.48,3.48,43000.0
53,2016-03-22,3.47,3.65,3.4,3.6,3.6,10200.0
54,2016-03-23,3.59,3.6,3.14,3.15,3.15,38500.0
55,2016-03-24,3.16,3.35,3.16,3.35,3.35,8100.0
56,2016-03-28,3.3,3.3,3.11,3.12,3.12,12400.0
57,2016-03-29,3.01,3.25,2.9,3.25,3.25,17200.0
