,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-18,9.4,9.48,8.6,9.0,8.749646,6292000.0
1,2020-09-21,8.64,8.68,8.3,8.5,8.263555,2249700.0
2,2020-09-22,8.49,8.66,8.22,8.58,8.34133,1926100.0
3,2020-09-23,8.55,8.98,8.52,8.9,8.652428,2828200.0
4,2020-09-24,8.9,9.24,8.72,9.18,8.92464,1642100.0
5,2020-09-25,9.18,9.28,8.95,9.05,8.798256,2064400.0
6,2020-09-28,9.13,9.41,8.69,9.0,8.749646,1240300.0
7,2020-09-29,9.0,9.3,8.71,8.79,8.545488,1015700.0
8,2020-09-30,8.84,9.25,8.64,9.25,8.992692,2047100.0
9,2020-10-01,9.2,9.86,8.96,9.86,9.585723,699900.0
10,2020-10-02,9.71,9.8,9.43,9.45,9.187128,730400.0
11,2020-10-05,9.45,9.65,9.26,9.65,9.381565,886900.0
12,2020-10-06,9.51,9.8,9.51,9.74,9.469062,493200.0
13,2020-10-07,9.74,9.74,9.33,9.4,9.138519,867500.0
14,2020-10-08,9.55,9.58,9.05,9.29,9.031579,1335900.0
15,2020-10-09,9.12,9.45,9.12,9.35,9.089911,220100.0
16,2020-10-13,9.35,9.47,9.35,9.38,9.119076,160800.0
17,2020-10-14,9.33,9.54,9.08,9.54,9.274625,639200.0
18,2020-10-15,9.39,9.65,9.39,9.5,9.235738,232400.0
19,2020-10-16,9.52,9.54,9.19,9.54,9.274625,512900.0
20,2020-10-19,9.54,9.6,9.3,9.45,9.187128,222100.0
21,2020-10-20,9.45,9.63,9.37,9.63,9.362122,313400.0
22,2020-10-21,9.65,9.78,9.51,9.55,9.284348,231500.0
23,2020-10-22,9.69,9.8,9.54,9.8,9.527393,150700.0
24,2020-10-23,9.7,9.72,9.44,9.64,9.371843,326600.0
25,2020-10-26,9.73,9.74,9.5,9.65,9.381565,171400.0
26,2020-10-27,9.52,9.75,9.5,9.66,9.391287,255100.0
27,2020-10-28,9.35,9.84,9.22,9.6,9.332956,256800.0
28,2020-10-29,9.6,9.6,9.3,9.3,9.041302,460500.0
29,2020-10-30,9.35,9.59,8.7,8.7,8.457992,444800.0
30,2020-11-03,8.78,9.0,8.22,8.25,8.020509,374800.0
31,2020-11-04,8.44,8.44,7.97,8.21,7.981622,1085200.0
32,2020-11-05,8.21,8.6,7.91,7.91,7.689967,648500.0
33,2020-11-06,7.91,8.87,7.81,8.87,8.623262,324900.0
34,2020-11-09,8.9,9.25,8.41,8.5,8.263555,252000.0
35,2020-11-10,8.65,8.75,8.3,8.7,8.457992,251300.0
36,2020-11-11,8.66,8.66,8.32,8.4,8.166336,440900.0
37,2020-11-12,8.45,8.46,8.07,8.24,8.010787,421000.0
38,2020-11-13,8.43,8.59,8.17,8.48,8.244111,187900.0
