,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,9.341666,9.423,8.878,9.333333,8.894099,57000.0
1,2016-01-05,9.583333,9.583333,9.366666,9.55,9.100569,18000.0
2,2016-01-06,9.333666,9.432333,8.933666,8.933666,8.51324,111000.0
3,2016-01-07,9.333333,9.333333,8.600333,8.966333,8.544372,18000.0
4,2016-01-08,9.0,9.0,9.0,9.0,8.576453,12000.0
5,2016-01-11,9.142,9.142,9.142,9.142,8.71177,3000.0
6,2016-01-12,9.133,9.133,9.133,9.133,8.703194,12000.0
7,2016-01-13,9.000333,9.266333,9.000333,9.266333,8.830254,30000.0
8,2016-01-14,9.433333,9.5,9.333333,9.5,9.052922,30000.0
9,2016-01-15,9.662333,9.662333,9.5,9.662333,9.207617,18000.0
10,2016-01-18,9.666666,9.666666,9.55,9.665666,9.210793,36000.0
11,2016-01-19,9.666,9.759333,9.666,9.759333,9.300051,33000.0
12,2016-01-20,9.733333,9.833333,9.733333,9.833333,9.370569,12000.0
13,2016-01-21,9.666666,9.833333,9.666666,9.833333,9.370569,21000.0
14,2016-01-22,9.833333,9.999666,9.833333,9.999666,9.529075,33000.0
15,2016-01-26,9.833333,10.062333,9.833333,10.062333,9.588792,12000.0
16,2016-01-27,9.833333,9.999333,9.833333,9.932666,9.465227,75000.0
17,2016-01-28,10.033333,10.066666,9.683333,9.683333,9.227628,36000.0
18,2016-01-29,9.7,9.766666,9.345333,9.4,8.957629,63000.0
19,2016-02-01,9.5,9.5,9.5,9.5,9.052922,297000.0
20,2016-02-02,9.833333,9.833333,9.666666,9.666666,9.211745,12000.0
21,2016-02-03,9.8,9.8,9.799666,9.799666,9.338488,12000.0
22,2016-02-04,9.635333,9.879333,9.296,9.879333,9.414403,120000.0
23,2016-02-05,9.866666,9.866666,9.467,9.467,9.021476,111000.0
24,2016-02-10,9.666666,9.666666,9.666333,9.666333,9.211428,6000.0
25,2016-02-11,9.666666,9.965,9.666666,9.832666,9.369934,24000.0
26,2016-02-12,9.666666,9.991,9.666666,9.991,9.520815,24000.0
27,2016-02-15,10.13,10.13,10.13,10.13,9.653275,9000.0
28,2016-02-16,9.9,9.900333,9.786666,9.786666,9.326097,51000.0
29,2016-02-17,9.683666,9.992666,9.633333,9.992666,9.522404,39000.0
30,2016-02-18,9.933333,9.933333,9.933333,9.933333,9.465862,9000.0
31,2016-02-19,9.933333,9.933333,9.933333,9.933333,9.465862,0.0
32,2016-02-22,9.833333,9.833333,9.496333,9.496333,9.049428,96000.0
33,2016-02-23,9.3,9.336666,9.266666,9.266666,8.830571,39000.0
34,2016-02-24,9.073,9.333333,8.857,9.333333,8.894099,63000.0
35,2016-02-25,9.433666,9.433666,9.433666,9.433666,8.98971,6000.0
36,2016-02-26,9.334,9.334,9.334,9.334,8.894735,24000.0
37,2016-02-29,9.336666,9.5,9.336666,9.5,9.052922,54000.0
38,2016-03-01,9.367,9.589666,9.365,9.589666,9.13837,48000.0
39,2016-03-02,9.433333,9.564333,9.333333,9.564333,9.11423,99000.0
40,2016-03-03,9.359,9.383333,8.866666,8.866666,8.449393,315000.0
41,2016-03-04,8.866666,9.499,8.766666,9.3,8.862336,81000.0
42,2016-03-07,9.333333,9.333333,9.333333,9.333333,8.894099,12000.0
43,2016-03-08,9.333333,9.466333,9.333333,9.466333,9.020841,33000.0
44,2016-03-09,9.5,9.599666,9.5,9.599666,9.147898,33000.0
45,2016-03-10,9.433666,9.666666,9.433666,9.666666,9.211745,246000.0
46,2016-03-11,9.899666,9.899666,9.899666,9.899666,9.43378,12000.0
47,2016-03-14,9.9,9.961,9.7,9.961,9.492229,48000.0
48,2016-03-15,10.0,10.0,10.0,10.0,9.529392,105000.0
49,2016-03-16,9.848333,9.922333,9.666666,9.666666,9.211745,108000.0
50,2016-03-17,9.742333,9.933,9.742,9.933,9.465544,21000.0
51,2016-03-18,10.333,10.333,10.333,10.333,9.846722,12000.0
52,2016-03-21,10.0,10.0,10.0,10.0,9.529392,45000.0
53,2016-03-22,9.834,9.991,9.366666,9.366666,8.925862,237000.0
54,2016-03-23,9.466666,9.533,9.466666,9.529333,9.080874,12000.0
55,2016-03-24,9.566666,9.733333,9.566666,9.733333,9.275275,21000.0
56,2016-03-28,9.816666,9.999666,9.816666,9.999666,9.529075,18000.0
57,2016-03-29,9.999666,10.166666,9.999666,10.133333,9.65645,18000.0
58,2016-03-30,9.833666,10.333,9.673333,10.333,9.846722,24000.0
59,2016-03-31,9.933333,9.999,9.666666,9.999,9.52844,57000.0
