,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.71,1.71,1.63,1.66,1.381896,19400.0
1,2016-01-05,1.66,1.69,1.65,1.69,1.406871,4500.0
2,2016-01-06,1.63,1.75,1.63,1.75,1.456819,9100.0
3,2016-01-07,1.66,1.73,1.63,1.73,1.440169,37900.0
4,2016-01-08,1.69,1.73,1.69,1.73,1.440169,6400.0
5,2016-01-11,1.73,1.73,1.56,1.58,1.315299,166800.0
6,2016-01-12,1.62,1.63,1.58,1.58,1.315299,59900.0
7,2016-01-13,1.6,1.67,1.57,1.57,1.306974,223300.0
8,2016-01-14,1.57,1.63,1.57,1.61,1.340273,13300.0
9,2016-01-15,1.63,1.63,1.61,1.63,1.356923,9400.0
10,2016-01-18,1.68,1.72,1.68,1.71,1.42352,6400.0
11,2016-01-19,1.8,1.85,1.78,1.84,1.531741,13100.0
12,2016-01-20,1.76,1.85,1.76,1.76,1.465143,11400.0
13,2016-01-21,1.76,1.78,1.75,1.78,1.481793,5100.0
14,2016-01-22,1.78,1.84,1.75,1.75,1.456819,7400.0
15,2016-01-26,1.75,1.8,1.75,1.8,1.498442,15000.0
16,2016-01-27,1.75,1.84,1.75,1.8,1.498442,18200.0
17,2016-01-28,1.84,1.84,1.74,1.74,1.448494,26500.0
18,2016-01-29,1.74,1.84,1.69,1.84,1.531741,162700.0
19,2016-02-01,1.8,1.83,1.8,1.83,1.523416,30500.0
20,2016-02-02,1.83,1.94,1.83,1.88,1.56504,16900.0
21,2016-02-03,1.93,1.93,1.85,1.88,1.56504,18100.0
22,2016-02-04,1.99,1.99,1.87,1.89,1.573364,49400.0
23,2016-02-05,1.94,1.95,1.94,1.94,1.614987,4700.0
24,2016-02-10,1.94,1.97,1.9,1.95,1.623312,8200.0
25,2016-02-11,1.9,1.94,1.9,1.94,1.614987,10900.0
26,2016-02-12,1.99,1.99,1.83,1.83,1.523416,33200.0
27,2016-02-15,1.85,1.85,1.8,1.83,1.523416,8100.0
28,2016-02-16,1.84,1.85,1.8,1.81,1.506767,8200.0
29,2016-02-17,1.83,1.85,1.81,1.85,1.540065,12100.0
30,2016-02-18,1.86,1.96,1.86,1.9,1.581689,26100.0
