,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.67,1.7,1.61,1.61,1.538804,30100.0
1,2016-01-05,1.66,1.69,1.6,1.66,1.586592,28600.0
2,2016-01-06,1.62,1.7,1.61,1.7,1.624824,82400.0
3,2016-01-07,1.7,1.71,1.64,1.71,1.634382,1819700.0
4,2016-01-08,1.7,1.71,1.63,1.64,1.567477,37400.0
5,2016-01-11,1.66,1.67,1.62,1.66,1.586592,22000.0
6,2016-01-12,1.67,1.69,1.62,1.64,1.567477,38500.0
7,2016-01-13,1.67,1.7,1.61,1.62,1.548361,45500.0
8,2016-01-14,1.6,1.64,1.58,1.58,1.51013,38400.0
9,2016-01-15,1.56,1.61,1.55,1.55,1.481457,40100.0
10,2016-01-18,1.6,1.6,1.53,1.54,1.471899,27700.0
11,2016-01-19,1.53,1.56,1.52,1.56,1.491015,35900.0
12,2016-01-20,1.52,1.56,1.48,1.52,1.452783,41700.0
13,2016-01-21,1.49,1.55,1.47,1.47,1.404995,51600.0
14,2016-01-22,1.52,1.52,1.42,1.43,1.366763,102000.0
15,2016-01-26,1.44,1.44,1.29,1.29,1.232954,92000.0
16,2016-01-27,1.3,1.3,1.22,1.24,1.185165,45100.0
17,2016-01-28,1.24,1.28,1.24,1.24,1.185165,12100.0
18,2016-01-29,1.27,1.32,1.25,1.32,1.261628,14100.0
19,2016-02-01,1.34,1.53,1.33,1.5,1.433668,58200.0
20,2016-02-02,1.49,1.52,1.38,1.39,1.328532,57600.0
21,2016-02-03,1.39,1.42,1.37,1.41,1.347648,13500.0
22,2016-02-04,1.41,1.41,1.3,1.32,1.261628,119300.0
23,2016-02-05,1.32,1.43,1.3,1.43,1.366763,233200.0
24,2016-02-10,1.44,1.44,1.42,1.43,1.366763,4700.0
25,2016-02-11,1.44,1.44,1.39,1.42,1.357206,17200.0
26,2016-02-12,1.42,1.42,1.39,1.39,1.328532,2000.0
27,2016-02-15,1.42,1.42,1.41,1.41,1.347648,1000.0
28,2016-02-16,1.4,1.4,1.36,1.36,1.299859,4500.0
29,2016-02-17,1.36,1.5,1.36,1.43,1.366763,40000.0
30,2016-02-18,1.43,1.44,1.39,1.39,1.328532,6300.0
31,2016-02-19,1.4,1.41,1.38,1.39,1.328532,17700.0
32,2016-02-22,1.4,1.42,1.38,1.38,1.318974,34900.0
33,2016-02-23,1.38,1.44,1.38,1.4,1.33809,36900.0
34,2016-02-24,1.38,1.42,1.37,1.39,1.328532,34600.0
35,2016-02-25,1.39,1.42,1.35,1.35,1.290301,36700.0
36,2016-02-26,1.34,1.39,1.33,1.34,1.280743,34700.0
37,2016-02-29,1.37,1.42,1.36,1.38,1.318974,25600.0
38,2016-03-01,1.38,1.42,1.35,1.39,1.328532,46700.0
39,2016-03-02,1.39,1.4,1.36,1.4,1.33809,80600.0
40,2016-03-03,1.39,1.6,1.36,1.51,1.443226,95900.0
41,2016-03-04,1.55,1.6,1.42,1.48,1.414552,93700.0
42,2016-03-07,1.47,1.48,1.43,1.47,1.404995,52900.0
43,2016-03-08,1.47,1.49,1.44,1.46,1.395437,28200.0
44,2016-03-09,1.5,1.52,1.45,1.49,1.42411,38000.0
45,2016-03-10,1.49,1.72,1.48,1.53,1.462341,213600.0
46,2016-03-11,1.55,1.59,1.47,1.49,1.42411,39600.0
47,2016-03-14,1.5,1.57,1.47,1.5,1.433668,46900.0
48,2016-03-15,1.54,1.54,1.44,1.44,1.376321,49800.0
49,2016-03-16,1.44,1.47,1.41,1.41,1.347648,84500.0
50,2016-03-17,1.44,1.54,1.44,1.54,1.471899,46800.0
51,2016-03-18,1.51,1.55,1.45,1.45,1.385879,125300.0
52,2016-03-21,1.45,1.5,1.45,1.49,1.42411,57200.0
53,2016-03-22,1.47,1.6,1.47,1.57,1.500573,90200.0
54,2016-03-23,1.57,1.57,1.5,1.52,1.452783,30200.0
55,2016-03-24,1.49,1.51,1.46,1.48,1.414552,48000.0
56,2016-03-28,1.49,1.54,1.48,1.5,1.433668,124900.0
57,2016-03-29,1.5,1.51,1.46,1.46,1.395437,49500.0
58,2016-03-30,1.48,1.54,1.47,1.49,1.42411,78700.0
59,2016-03-31,1.5,1.52,1.46,1.48,1.414552,50200.0
60,2016-04-01,1.49,1.52,1.46,1.46,1.395437,59000.0
61,2016-04-04,1.47,1.54,1.46,1.49,1.42411,39200.0
62,2016-04-05,1.53,1.53,1.46,1.46,1.395437,35100.0
63,2016-04-06,1.47,1.48,1.4,1.4,1.33809,96000.0
64,2016-04-07,1.42,1.46,1.4,1.46,1.395437,37900.0
65,2016-04-08,1.48,1.53,1.43,1.46,1.395437,69300.0
66,2016-04-11,1.47,1.49,1.42,1.42,1.357206,28900.0
