,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,0.235,0.239,0.226,0.23,0.23,378000.0
1,2016-01-05,0.25,0.25,0.224,0.224,0.224,414000.0
2,2016-01-06,0.22,0.224,0.216,0.223,0.223,419000.0
3,2016-01-07,0.216,0.225,0.213,0.225,0.225,657000.0
4,2016-01-08,0.229,0.229,0.215,0.215,0.215,180000.0
5,2016-01-11,0.214,0.215,0.206,0.206,0.206,455000.0
6,2016-01-12,0.206,0.206,0.175,0.182,0.182,1650000.0
7,2016-01-13,0.194,0.202,0.18,0.18,0.18,1566000.0
8,2016-01-14,0.188,0.19,0.182,0.189,0.189,678000.0
9,2016-01-15,0.183,0.2,0.168,0.2,0.2,2592000.0
10,2016-01-18,0.194,0.194,0.187,0.187,0.187,951000.0
11,2016-01-19,0.19,0.198,0.173,0.173,0.173,1750000.0
12,2016-01-20,0.174,0.177,0.162,0.163,0.163,835000.0
13,2016-01-21,0.171,0.174,0.158,0.158,0.158,1260000.0
14,2016-01-22,0.168,0.168,0.152,0.152,0.152,703000.0
15,2016-01-26,0.15,0.15,0.138,0.14,0.14,982000.0
16,2016-01-27,0.145,0.157,0.138,0.146,0.146,1102000.0
17,2016-01-28,0.146,0.158,0.14,0.14,0.14,515000.0
18,2016-01-29,0.147,0.152,0.142,0.146,0.146,399000.0
19,2016-02-01,0.147,0.158,0.144,0.153,0.153,792000.0
20,2016-02-02,0.144,0.16,0.137,0.138,0.138,1579000.0
21,2016-02-03,0.139,0.153,0.139,0.144,0.144,763000.0
22,2016-02-04,0.147,0.16,0.145,0.16,0.16,913000.0
23,2016-02-05,0.16,0.168,0.151,0.151,0.151,798000.0
24,2016-02-10,0.15,0.151,0.14,0.151,0.151,416000.0
25,2016-02-11,0.15,0.155,0.144,0.144,0.144,287000.0
26,2016-02-12,0.154,0.16,0.152,0.159,0.159,1003000.0
27,2016-02-15,0.165,0.167,0.157,0.157,0.157,211000.0
28,2016-02-16,0.155,0.161,0.151,0.153,0.153,483000.0
29,2016-02-17,0.158,0.19,0.154,0.174,0.174,861000.0
30,2016-02-18,0.183,0.186,0.17,0.17,0.17,692000.0
31,2016-02-19,0.169,0.175,0.167,0.167,0.167,538000.0
32,2016-02-22,0.176,0.197,0.176,0.185,0.185,1167000.0
33,2016-02-23,0.192,0.192,0.176,0.176,0.176,569000.0
34,2016-02-24,0.175,0.198,0.171,0.198,0.198,709000.0
35,2016-02-25,0.197,0.197,0.179,0.186,0.186,1120000.0
36,2016-02-26,0.194,0.2,0.179,0.179,0.179,1356000.0
37,2016-02-29,0.189,0.194,0.185,0.185,0.185,375000.0
38,2016-03-01,0.18,0.192,0.18,0.183,0.183,205000.0
39,2016-03-02,0.187,0.193,0.184,0.188,0.188,323000.0
40,2016-03-03,0.203,0.203,0.203,0.203,0.203,1669000.0
41,2016-03-04,0.203,0.217,0.196,0.206,0.206,522000.0
42,2016-03-07,0.21,0.22,0.195,0.22,0.22,1456000.0
