,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-17,13.38,13.99,12.82,13.4,13.4,4011600.0
1,2020-02-18,13.62,16.639999,13.61,14.72,14.72,4449200.0
2,2020-02-19,15.3,15.8,13.85,13.9,13.9,2000800.0
3,2020-02-20,13.99,14.88,13.91,14.6,14.6,660000.0
4,2020-02-21,14.6,15.16,14.6,14.97,14.97,602700.0
5,2020-02-26,,,,,,
6,2020-02-27,13.8,14.78,13.25,14.29,14.29,394200.0
7,2020-02-28,14.05,14.08,13.31,13.8,13.8,247900.0
8,2020-03-02,13.9,14.45,13.9,14.17,14.17,324300.0
9,2020-03-03,14.4,14.68,14.08,14.57,14.57,289900.0
10,2020-03-04,14.95,14.95,14.3,14.3,14.3,173200.0
11,2020-03-05,14.35,14.43,13.4,13.4,13.4,165800.0
12,2020-03-06,13.25,13.66,12.95,13.5,13.5,406800.0
13,2020-03-09,12.74,12.79,11.6,11.8,11.8,229800.0
14,2020-03-10,13.0,13.4,12.2,13.4,13.4,162400.0
15,2020-03-11,13.29,13.8,12.5,13.8,13.8,145000.0
16,2020-03-12,12.69,12.69,11.0,12.0,12.0,184400.0
17,2020-03-13,12.2,13.07,11.0,12.5,12.5,327700.0
18,2020-03-16,10.5,11.3,10.29,10.75,10.75,58800.0
19,2020-03-17,11.0,11.0,10.1,10.21,10.21,150500.0
20,2020-03-18,9.99,9.99,8.3,9.01,9.01,111300.0
21,2020-03-19,8.5,10.0,7.2,10.0,10.0,194400.0
22,2020-03-20,10.5,10.5,9.4,10.5,10.5,142700.0
23,2020-03-23,9.02,10.0,9.02,9.15,9.15,50500.0
24,2020-03-24,9.9,9.9,8.64,8.7,8.7,145800.0
25,2020-03-25,8.76,9.25,8.37,8.4,8.4,255600.0
26,2020-03-26,8.44,9.34,8.12,9.34,9.34,389400.0
27,2020-03-27,8.72,9.59,8.31,9.58,9.58,227500.0
28,2020-03-30,9.61,9.61,8.7,8.7,8.7,149900.0
29,2020-03-31,8.88,8.95,8.05,8.05,8.05,137200.0
30,2020-04-01,8.01,8.35,7.6,7.8,7.8,94400.0
31,2020-04-02,8.03,8.35,7.55,7.55,7.55,92100.0
32,2020-04-03,7.66,7.89,7.11,7.89,7.89,130100.0
33,2020-04-06,7.93,8.5,7.78,8.4,8.4,144100.0
34,2020-04-07,8.49,8.9,8.14,8.4,8.4,181300.0
35,2020-04-08,8.08,8.78,8.06,8.36,8.36,136000.0
36,2020-04-09,8.5,8.85,8.15,8.85,8.85,144500.0
37,2020-04-13,8.85,8.85,8.5,8.5,8.5,69100.0
38,2020-04-14,8.8,8.9,8.14,8.14,8.14,128000.0
39,2020-04-15,8.08,8.29,7.95,8.0,8.0,135300.0
40,2020-04-16,8.1,8.23,7.95,7.95,7.95,116700.0
41,2020-04-17,8.11,8.29,7.86,7.87,7.87,204200.0
42,2020-04-20,7.79,8.15,7.63,8.05,8.05,184900.0
43,2020-04-22,8.05,8.46,8.05,8.4,8.4,181100.0
44,2020-04-23,8.52,8.87,8.35,8.79,8.79,112000.0
45,2020-04-24,8.47,8.64,8.1,8.1,8.1,97200.0
46,2020-04-27,8.21,8.38,7.96,7.97,7.97,137200.0
47,2020-04-28,8.1,8.29,8.01,8.04,8.04,137300.0
48,2020-04-29,8.24,8.25,8.05,8.14,8.14,104700.0
49,2020-04-30,8.08,8.3,8.01,8.1,8.1,149100.0
50,2020-05-04,7.99,7.99,7.79,7.99,7.99,64200.0
51,2020-05-05,8.1,8.15,7.9,7.96,7.96,60500.0
52,2020-05-06,7.95,7.95,7.63,7.63,7.63,126200.0
53,2020-05-07,8.06,8.06,7.29,7.5,7.5,106700.0
54,2020-05-08,7.5,7.94,7.5,7.94,7.94,444200.0
55,2020-05-11,7.7,7.82,7.35,7.35,7.35,142700.0
56,2020-05-12,7.4,7.45,7.15,7.15,7.15,81200.0
57,2020-05-13,7.22,7.28,6.64,6.8,6.8,220700.0
58,2020-05-14,6.8,6.8,6.39,6.63,6.63,171400.0
59,2020-05-15,6.63,7.14,6.37,6.58,6.58,214500.0
60,2020-05-18,6.83,6.94,6.71,6.79,6.79,154400.0
61,2020-05-19,6.8,7.25,6.72,6.8,6.8,240800.0
62,2020-05-20,6.99,7.09,6.75,6.75,6.75,175400.0
63,2020-05-21,6.72,6.87,6.65,6.74,6.74,236800.0
64,2020-05-22,6.75,6.92,6.66,6.92,6.92,158600.0
65,2020-05-25,7.1,7.69,7.1,7.66,7.66,450000.0
66,2020-05-26,7.8,8.2,7.71,7.94,7.94,321400.0
67,2020-05-27,7.96,8.1,7.92,8.1,8.1,196100.0
68,2020-05-28,8.34,8.49,8.18,8.34,8.34,309900.0
69,2020-05-29,8.41,9.1,8.36,9.1,9.1,231100.0
70,2020-06-01,9.12,9.15,8.92,9.07,9.07,312300.0
71,2020-06-02,9.2,9.7,9.2,9.7,9.7,333100.0
72,2020-06-03,9.9,10.3,9.5,9.7,9.7,433700.0
73,2020-06-04,9.7,10.0,9.45,9.86,9.86,177600.0
74,2020-06-05,10.09,10.33,9.71,10.32,10.32,573600.0
75,2020-06-08,10.43,10.8,10.12,10.51,10.51,490200.0
76,2020-06-09,10.4,10.8,10.2,10.65,10.65,326400.0
77,2020-06-10,10.74,10.92,10.31,10.92,10.92,497800.0
78,2020-06-12,10.2,10.92,9.9,10.92,10.92,468600.0
79,2020-06-15,10.41,10.5,9.71,10.0,10.0,753700.0
80,2020-06-16,10.33,10.49,9.8,10.06,10.06,493300.0
81,2020-06-17,9.97,10.27,9.92,10.04,10.04,475600.0
82,2020-06-18,10.04,10.18,9.88,9.88,9.88,269800.0
83,2020-06-19,9.99,10.15,9.9,9.91,9.91,328300.0
84,2020-06-22,10.0,10.12,9.85,9.85,9.85,239800.0
85,2020-06-23,10.01,10.12,9.91,9.95,9.95,345000.0
86,2020-06-24,9.96,10.0,9.42,9.48,9.48,321000.0
87,2020-06-25,9.54,9.74,9.4,9.6,9.6,153900.0
88,2020-06-26,9.69,9.79,9.4,9.4,9.4,145800.0
89,2020-06-29,9.51,9.87,9.4,9.83,9.83,114500.0
90,2020-06-30,9.85,10.13,9.7,9.7,9.7,321700.0
91,2020-07-01,9.81,10.05,9.75,9.97,9.97,144800.0
92,2020-07-02,10.05,10.16,9.87,10.05,10.05,300300.0
93,2020-07-03,10.05,10.09,9.81,10.09,10.09,190500.0
94,2020-07-06,10.13,10.85,10.13,10.85,10.85,719700.0
