,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,14.39,14.69,14.11,14.315,9.83774,670600.0
1,2016-01-05,14.455,14.985,14.315,14.75,10.136687,859800.0
2,2016-01-06,14.69,14.725,14.34,14.47,9.944263,1036600.0
3,2016-01-07,14.4,14.4,13.875,13.875,9.535358,941800.0
4,2016-01-08,13.99,14.025,13.465,13.615,9.356678,1403400.0
5,2016-01-11,13.675,13.675,12.975,12.975,8.91685,1614400.0
6,2016-01-12,13.1,13.575,13.1,13.46,9.250156,1865200.0
7,2016-01-13,13.655,13.775,13.35,13.425,9.226104,1189600.0
8,2016-01-14,13.425,13.53,13.28,13.355,9.177996,658600.0
9,2016-01-15,13.17,13.31,12.77,12.985,8.92372,1448600.0
10,2016-01-18,12.995,13.015,12.5,12.5,8.590414,553000.0
11,2016-01-19,12.88,12.88,12.435,12.65,8.693496,2122400.0
12,2016-01-20,12.625,12.63,11.74,11.95,8.212435,2295600.0
13,2016-01-21,11.92,11.92,11.37,11.37,7.81384,1892600.0
14,2016-01-22,11.56,12.01,11.405,11.5,7.903181,3603600.0
15,2016-01-26,11.49,12.1,11.31,12.005,8.250234,2322000.0
16,2016-01-27,11.995,12.525,11.995,12.19,8.37737,1718200.0
17,2016-01-28,12.27,12.515,12.115,12.5,8.590414,1316400.0
18,2016-01-29,12.695,13.165,12.5,13.085,8.992444,3141800.0
19,2016-02-01,13.465,13.465,12.84,13.2,9.071475,1410000.0
20,2016-02-02,13.005,13.11,12.45,12.45,8.55605,1207000.0
21,2016-02-03,12.535,13.31,12.3,13.31,9.147072,1139400.0
22,2016-02-04,13.465,13.465,12.215,12.625,8.676317,2256200.0
23,2016-02-05,12.69,12.69,11.68,11.775,8.092168,2062000.0
24,2016-02-10,11.735,12.045,11.615,11.955,8.215871,1065600.0
25,2016-02-11,11.865,12.02,11.69,11.965,8.222744,1582600.0
26,2016-02-12,11.925,12.215,11.795,11.845,8.140275,1229800.0
27,2016-02-15,11.945,12.065,11.6,11.6,7.971904,741000.0
28,2016-02-16,11.67,11.785,11.375,11.38,7.820714,1679600.0
29,2016-02-17,11.485,11.895,11.16,11.895,8.174637,2623800.0
30,2016-02-18,11.89,12.265,11.65,12.125,8.332702,1186400.0
31,2016-02-19,12.195,12.395,11.915,12.075,8.29834,801600.0
32,2016-02-22,12.17,12.69,12.055,12.69,8.720987,1066000.0
33,2016-02-23,12.725,12.725,11.81,12.0,8.246797,1724400.0
34,2016-02-24,11.8,11.92,11.4,11.55,7.937541,1711000.0
35,2016-02-25,11.545,11.865,11.33,11.59,7.965031,847800.0
36,2016-02-26,11.75,11.885,11.225,11.355,7.803531,734400.0
37,2016-02-29,11.4,11.955,11.3,11.815,8.119658,1100000.0
38,2016-03-01,11.88,12.215,11.75,12.205,8.387679,741400.0
39,2016-03-02,12.195,12.6,12.04,12.595,8.655701,1348800.0
40,2016-03-03,12.7,13.4,12.355,12.85,8.830945,2447600.0
41,2016-03-04,13.45,13.45,12.185,12.775,8.779401,1984000.0
42,2016-03-07,12.765,13.455,12.66,13.175,9.054294,1131600.0
43,2016-03-08,13.18,13.745,13.15,13.525,9.294827,1794200.0
44,2016-03-09,13.66,14.115,13.56,13.845,9.51474,1469800.0
45,2016-03-10,13.83,14.14,12.85,13.88,9.538794,2122200.0
46,2016-03-11,13.875,14.395,13.6,14.24,9.7862,1832600.0
47,2016-03-14,14.185,14.325,13.9,14.15,9.724345,1335000.0
48,2016-03-15,13.815,13.815,12.97,13.005,8.937467,2101200.0
49,2016-03-16,12.865,13.275,12.575,13.095,8.999317,1560400.0
50,2016-03-17,13.615,14.915,13.325,14.405,9.899592,1977600.0
51,2016-03-18,14.255,14.255,13.265,14.1,9.689986,2695000.0
52,2016-03-21,14.305,14.45,14.125,14.25,9.79307,1290000.0
53,2016-03-22,14.25,14.4,13.58,13.775,9.466635,1369000.0
54,2016-03-23,13.65,13.715,13.32,13.575,9.329188,715600.0
55,2016-03-24,13.515,13.6,13.295,13.49,9.270775,466200.0
56,2016-03-28,13.77,13.795,13.4,13.57,9.32575,823400.0
57,2016-03-29,13.63,14.335,13.63,14.195,9.755274,2062000.0
58,2016-03-30,14.2,14.295,13.75,13.9,9.59988,709200.0
59,2016-03-31,13.905,13.925,13.54,13.865,9.575706,1020400.0
60,2016-04-01,14.545,14.545,14.545,14.545,10.045341,1800.0
61,2016-04-04,14.01,14.01,14.01,14.01,9.67585,3200.0
