,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,2.1,2.1,1.92,1.93,1.614168,61400.0
1,2016-01-05,1.93,1.97,1.85,1.95,1.630895,97000.0
2,2016-01-06,1.9,1.95,1.89,1.94,1.622532,56900.0
3,2016-01-07,1.86,1.92,1.85,1.91,1.597441,52400.0
4,2016-01-08,1.88,1.97,1.88,1.91,1.597441,20000.0
5,2016-01-11,1.88,1.95,1.88,1.95,1.630895,4000.0
6,2016-01-12,1.93,1.93,1.88,1.9,1.589078,26000.0
7,2016-01-13,1.88,1.89,1.85,1.88,1.57235,60400.0
8,2016-01-14,1.85,1.88,1.79,1.82,1.522169,140700.0
9,2016-01-15,1.82,1.82,1.71,1.8,1.505442,139900.0
10,2016-01-18,1.73,1.79,1.73,1.79,1.497078,12000.0
11,2016-01-19,1.75,1.78,1.74,1.78,1.488715,4800.0
12,2016-01-20,1.79,1.79,1.73,1.79,1.497078,13800.0
13,2016-01-21,1.75,1.79,1.73,1.73,1.446897,12200.0
14,2016-01-22,1.74,1.74,1.7,1.7,1.421806,43700.0
15,2016-01-26,1.7,1.7,1.66,1.68,1.405079,11200.0
16,2016-01-27,1.68,1.74,1.68,1.69,1.413443,26500.0
17,2016-01-28,1.68,1.7,1.65,1.7,1.421806,36800.0
18,2016-01-29,1.75,1.75,1.73,1.74,1.455261,26400.0
19,2016-02-01,1.76,1.76,1.7,1.75,1.463624,32800.0
20,2016-02-02,1.75,1.8,1.7,1.77,1.480351,57800.0
21,2016-02-03,1.77,1.83,1.75,1.8,1.505442,29100.0
22,2016-02-04,1.78,1.8,1.75,1.78,1.488715,152000.0
23,2016-02-05,1.82,1.82,1.76,1.82,1.522169,467200.0
24,2016-02-10,1.79,1.8,1.78,1.79,1.497078,15800.0
25,2016-02-11,1.78,1.79,1.73,1.74,1.455261,28200.0
26,2016-02-12,1.74,1.75,1.73,1.74,1.455261,10700.0
27,2016-02-15,1.74,1.79,1.73,1.75,1.463624,80900.0
28,2016-02-16,1.79,1.92,1.75,1.86,1.555624,88100.0
29,2016-02-17,1.9,1.91,1.83,1.86,1.555624,32000.0
30,2016-02-18,1.9,1.9,1.84,1.89,1.580714,25500.0
31,2016-02-19,1.89,1.89,1.81,1.85,1.54726,27900.0
32,2016-02-22,1.87,1.89,1.83,1.83,1.530533,61100.0
33,2016-02-23,1.83,1.84,1.78,1.78,1.488715,21400.0
34,2016-02-24,1.79,1.8,1.75,1.75,1.463624,42300.0
35,2016-02-25,1.76,1.79,1.74,1.78,1.488715,6900.0
36,2016-02-26,1.76,1.82,1.74,1.82,1.522169,9500.0
37,2016-02-29,1.81,1.89,1.73,1.85,1.54726,23000.0
38,2016-03-01,1.79,1.89,1.79,1.88,1.57235,36900.0
39,2016-03-02,1.87,2.09,1.85,1.99,1.66435,89500.0
40,2016-03-03,2.04,2.12,2.04,2.12,1.773076,70400.0
41,2016-03-04,2.12,2.22,2.04,2.21,1.848348,1265100.0
42,2016-03-07,2.21,2.21,2.04,2.19,1.831621,30800.0
43,2016-03-08,2.18,2.19,2.13,2.16,1.80653,23800.0
44,2016-03-09,2.19,2.2,2.15,2.2,1.839985,566300.0
45,2016-03-10,2.23,2.45,2.2,2.45,2.049074,675300.0
46,2016-03-11,2.43,2.45,2.37,2.41,2.01562,46000.0
47,2016-03-14,2.35,2.4,2.15,2.23,1.865075,179100.0
48,2016-03-15,2.25,2.25,2.11,2.24,1.873439,55800.0
49,2016-03-16,2.26,2.26,2.16,2.17,1.814894,82300.0
50,2016-03-17,2.2,2.3,2.2,2.24,1.873439,76600.0
51,2016-03-18,2.28,2.28,2.2,2.2,1.839985,104000.0
52,2016-03-21,2.2,2.24,2.13,2.19,1.831621,79500.0
