,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.9,1.9,1.9,1.9,1.520118,0.0
1,2016-01-05,1.9,1.9,1.9,1.9,1.520118,0.0
2,2016-01-06,1.9,1.9,1.9,1.9,1.520118,0.0
3,2016-01-07,1.9,1.9,1.9,1.9,1.520118,0.0
4,2016-01-08,1.71,1.9,1.71,1.9,1.520118,7100.0
5,2016-01-11,1.9,1.9,1.9,1.9,1.520118,0.0
6,2016-01-12,1.9,1.9,1.9,1.9,1.520118,0.0
7,2016-01-13,1.8,1.84,1.8,1.84,1.472114,9500.0
8,2016-01-14,1.84,1.9,1.84,1.9,1.520118,5800.0
9,2016-01-15,1.9,1.9,1.9,1.9,1.520118,0.0
10,2016-01-18,1.9,1.9,1.9,1.9,1.520118,0.0
11,2016-01-19,1.82,1.87,1.82,1.87,1.496116,800.0
12,2016-01-20,1.87,1.87,1.87,1.87,1.496116,0.0
13,2016-01-21,1.74,1.87,1.74,1.87,1.496116,2600.0
14,2016-01-22,1.87,1.87,1.87,1.87,1.496116,0.0
15,2016-01-26,1.87,1.87,1.87,1.87,1.496116,0.0
16,2016-01-27,1.87,1.87,1.87,1.87,1.496116,0.0
17,2016-01-28,1.87,1.87,1.87,1.87,1.496116,0.0
18,2016-01-29,1.87,1.87,1.87,1.87,1.496116,0.0
19,2016-02-01,1.87,1.87,1.87,1.87,1.496116,0.0
20,2016-02-02,1.8,1.8,1.8,1.8,1.440112,4800.0
21,2016-02-03,1.8,1.8,1.8,1.8,1.440112,0.0
22,2016-02-04,1.7,1.7,1.7,1.7,1.360106,5000.0
23,2016-02-05,1.7,1.7,1.7,1.7,1.360106,0.0
24,2016-02-10,1.7,1.7,1.7,1.7,1.360106,0.0
25,2016-02-11,1.7,1.7,1.7,1.7,1.360106,0.0
26,2016-02-12,1.7,1.7,1.7,1.7,1.360106,0.0
27,2016-02-15,1.7,1.7,1.7,1.7,1.360106,0.0
28,2016-02-16,1.7,1.7,1.7,1.7,1.360106,0.0
29,2016-02-17,1.7,1.7,1.7,1.7,1.360106,0.0
30,2016-02-18,1.7,1.7,1.7,1.7,1.360106,0.0
31,2016-02-19,1.7,1.7,1.7,1.7,1.360106,0.0
32,2016-02-22,1.66,1.7,1.6,1.66,1.328103,20900.0
33,2016-02-23,1.8,1.8,1.7,1.7,1.360106,10700.0
34,2016-02-24,1.7,1.7,1.7,1.7,1.360106,0.0
