,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,14.06,14.1,13.51,13.75,9.75889,1806200.0
1,2016-01-05,13.86,14.14,13.68,14.12,10.021493,1577900.0
2,2016-01-06,13.96,14.44,13.96,14.05,9.971812,1782600.0
3,2016-01-07,13.95,13.95,13.66,13.75,9.75889,2203800.0
4,2016-01-08,13.75,13.83,13.61,13.67,9.702111,2047600.0
5,2016-01-11,13.63,14.25,13.63,14.15,10.042787,1813600.0
6,2016-01-12,14.14,14.61,14.0,14.19,10.071175,2573900.0
7,2016-01-13,14.27,14.5,14.0,14.05,9.971812,1894400.0
8,2016-01-14,14.05,14.2,13.87,13.99,9.929226,3019900.0
9,2016-01-15,13.96,14.17,13.67,13.89,9.858255,2197000.0
10,2016-01-18,13.88,13.95,13.0,13.0,9.226586,1866800.0
11,2016-01-19,13.2,13.2,12.36,12.59,8.935595,1695000.0
12,2016-01-20,12.4,12.6,12.22,12.49,8.864621,4012800.0
13,2016-01-21,12.49,12.75,12.31,12.69,9.006568,2602100.0
14,2016-01-22,12.81,12.88,12.65,12.75,9.049153,1544800.0
15,2016-01-26,12.66,12.73,12.33,12.52,8.885914,978800.0
16,2016-01-27,12.54,12.67,12.31,12.34,8.758159,1730200.0
17,2016-01-28,12.35,12.73,12.21,12.57,8.921401,1987100.0
18,2016-01-29,12.64,13.66,12.6,13.49,9.574357,2484700.0
19,2016-02-01,13.14,14.08,13.05,14.0,9.936326,1340700.0
20,2016-02-02,13.85,14.15,13.35,13.35,9.474997,1695600.0
21,2016-02-03,13.42,13.46,12.75,13.0,9.226586,2016200.0
22,2016-02-04,13.18,13.41,12.87,13.0,9.226586,1778100.0
23,2016-02-05,12.83,13.48,12.78,12.8,9.084641,1352700.0
24,2016-02-10,12.78,13.16,12.47,12.62,8.956885,1289400.0
25,2016-02-11,12.4,12.76,12.15,12.26,8.701382,2621900.0
26,2016-02-12,12.5,12.65,11.93,12.3,8.729771,1562100.0
27,2016-02-15,12.48,12.82,12.37,12.58,8.928497,651200.0
28,2016-02-16,12.5,12.89,12.3,12.68,8.999472,1731000.0
29,2016-02-17,13.1,13.29,12.6,13.0,9.226586,3177500.0
30,2016-02-18,12.94,13.2,12.66,12.95,9.191101,1700000.0
31,2016-02-19,12.7,13.24,12.67,13.0,9.226586,1410500.0
32,2016-02-22,13.2,13.46,12.84,12.89,9.148517,2536300.0
33,2016-02-23,12.75,13.02,12.71,12.9,9.155612,2908500.0
34,2016-02-24,12.51,12.96,12.33,12.89,9.148517,1115800.0
35,2016-02-25,12.76,12.99,12.35,12.66,8.985276,1188600.0
36,2016-02-26,12.77,12.93,12.42,12.72,9.02786,1170800.0
37,2016-02-29,13.0,13.0,12.73,12.88,9.141419,2549200.0
38,2016-03-01,12.97,13.34,12.84,13.11,9.304658,2579400.0
39,2016-03-02,13.04,13.28,12.95,13.19,9.361439,1788900.0
40,2016-03-03,13.28,13.7,13.22,13.41,9.51758,3071600.0
41,2016-03-04,13.99,15.37,13.8,14.45,10.255707,5879000.0
42,2016-03-07,14.67,15.01,14.12,14.86,10.546699,2537400.0
43,2016-03-08,14.86,14.94,14.14,14.48,10.276998,3732100.0
44,2016-03-09,14.6,14.95,14.48,14.61,10.369266,2772000.0
45,2016-03-10,14.86,15.04,13.16,13.4,9.510482,5271400.0
46,2016-03-11,13.49,14.04,13.08,13.84,9.822767,3231700.0
47,2016-03-14,13.78,13.85,13.06,13.06,9.269172,2022200.0
48,2016-03-15,12.86,13.05,12.41,12.63,8.963984,2787300.0
49,2016-03-16,12.64,13.3,12.38,13.3,9.439509,2223200.0
50,2016-03-17,13.37,14.01,13.07,13.72,9.7376,2850000.0
51,2016-03-18,13.79,13.95,13.4,13.82,9.808571,2701300.0
52,2016-03-21,13.89,14.28,13.4,13.55,9.616943,1971500.0
53,2016-03-22,13.4,13.82,13.26,13.61,9.659529,1344800.0
54,2016-03-23,13.51,13.84,13.15,13.62,9.666625,1291700.0
55,2016-03-24,13.51,13.78,13.17,13.36,9.482093,1141600.0
56,2016-03-28,13.44,13.97,13.36,13.85,9.829864,925100.0
57,2016-03-29,13.89,14.2,13.66,13.97,9.915031,1071500.0
58,2016-03-30,14.23,14.78,13.98,14.58,10.347973,2858000.0
59,2016-03-31,14.49,14.9,14.22,14.58,10.347973,2582400.0
60,2016-04-01,15.46,15.46,15.46,15.46,10.972542,1400.0
61,2016-04-04,15.05,15.05,15.05,15.05,10.681549,1200.0
62,2016-04-05,15.61,15.61,15.61,15.61,11.079001,1300.0
63,2016-04-06,15.69,15.69,15.69,15.69,11.13578,2400.0
64,2016-04-07,15.64,15.64,15.64,15.64,11.100294,1100.0
65,2016-04-08,15.93,16.41,15.92,16.18,11.483551,3400100.0
66,2016-04-11,16.15,16.15,16.15,16.15,11.46226,3300.0
67,2016-04-12,15.68,15.68,15.68,15.68,11.128684,1700.0
68,2016-04-13,15.68,15.68,15.68,15.68,11.128684,7200.0
69,2016-04-14,15.9,16.040001,15.48,15.65,11.107392,2034800.0
70,2016-04-15,15.8,16.0,15.48,15.5,11.00093,1541900.0
71,2016-04-18,15.48,15.62,14.87,15.0,10.646062,1552900.0
72,2016-04-19,15.45,15.45,15.45,15.45,10.965444,700.0
73,2016-04-20,15.26,15.48,15.03,15.4,10.929956,1423300.0
74,2016-04-22,14.94,15.5,14.89,14.91,10.582186,1148400.0
75,2016-04-25,14.9,15.2,14.63,14.75,10.468629,683100.0
76,2016-04-26,15.0,15.06,14.77,14.98,10.631866,1024900.0
77,2016-04-27,15.2,15.29,14.87,15.08,10.702842,1583600.0
78,2016-04-28,15.18,15.18,14.89,14.93,10.59638,1043300.0
79,2016-04-29,15.18,15.18,14.56,14.9,10.575089,2010300.0
80,2016-05-02,14.26,14.26,13.79,14.0,10.497116,775100.0
81,2016-05-03,13.82,13.95,13.41,13.7,10.272179,1403300.0
82,2016-05-04,13.7,13.97,13.23,13.9,10.422136,1413600.0
83,2016-05-05,14.0,14.4,13.45,13.6,10.197199,999500.0
84,2016-05-06,13.55,13.79,13.41,13.65,10.234688,666400.0
85,2016-05-09,13.61,14.35,13.45,14.25,10.684563,1238700.0
86,2016-05-10,14.4,15.65,14.4,15.55,11.659296,2551700.0
87,2016-05-11,15.88,15.88,14.94,15.0,11.246909,3061600.0
