,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,6.12,6.18,5.96,5.99,5.99,594900.0
1,2016-01-05,6.03,6.08,5.65,5.69,5.69,2054500.0
2,2016-01-06,5.65,5.76,5.14,5.22,5.22,953600.0
3,2016-01-07,5.11,5.11,4.55,4.55,4.55,962200.0
4,2016-01-08,4.6,4.7,4.1,4.3,4.3,1253600.0
5,2016-01-11,4.3,4.46,4.05,4.1,4.1,496900.0
6,2016-01-12,4.11,4.38,3.85,3.95,3.95,1375500.0
7,2016-01-13,3.98,4.09,3.27,3.33,3.33,2460300.0
8,2016-01-14,3.29,3.33,2.13,2.61,2.61,8913900.0
9,2016-01-15,2.39,3.0,2.01,3.0,3.0,16252800.0
10,2016-01-18,3.05,3.3,3.0,3.0,3.0,5901100.0
11,2016-01-19,3.11,3.18,2.37,2.44,2.44,3998200.0
12,2016-01-20,2.3,2.39,2.12,2.2,2.2,3721400.0
13,2016-01-21,2.18,2.37,2.02,2.02,2.02,5010100.0
14,2016-01-22,2.08,2.12,1.5,1.5,1.5,9438800.0
15,2016-01-26,1.42,1.59,1.33,1.5,1.5,5828300.0
16,2016-01-27,1.55,1.72,1.55,1.67,1.67,5735500.0
17,2016-01-28,1.76,1.87,1.73,1.77,1.77,5315800.0
18,2016-01-29,1.8,1.93,1.75,1.89,1.89,4437900.0
19,2016-02-01,1.9,2.0,1.84,1.99,1.99,2522200.0
20,2016-02-02,2.0,2.07,1.81,1.85,1.85,2595700.0
21,2016-02-03,1.88,1.94,1.8,1.8,1.8,2821500.0
22,2016-02-04,1.85,1.94,1.84,1.89,1.89,1743800.0
23,2016-02-05,1.98,2.45,1.98,2.3,2.3,6507800.0
24,2016-02-10,2.35,2.35,2.15,2.17,2.17,2124500.0
25,2016-02-11,2.01,2.24,2.01,2.06,2.06,3341400.0
26,2016-02-12,2.13,2.19,2.05,2.14,2.14,2843200.0
27,2016-02-15,2.31,2.33,2.16,2.21,2.21,2022600.0
28,2016-02-16,2.21,2.33,2.17,2.3,2.3,2381300.0
29,2016-02-17,2.3,2.41,2.28,2.28,2.28,3691400.0
30,2016-02-18,2.28,2.31,2.13,2.17,2.17,2635600.0
31,2016-02-19,2.15,2.21,2.07,2.16,2.16,2208100.0
32,2016-02-22,2.26,2.3,2.18,2.2,2.2,3728900.0
33,2016-02-23,2.16,2.21,2.15,2.16,2.16,1412100.0
34,2016-02-24,2.15,2.29,2.1,2.21,2.21,1940100.0
35,2016-02-25,2.23,2.28,2.17,2.23,2.23,1524200.0
36,2016-02-26,2.26,2.47,2.26,2.34,2.34,3280200.0
37,2016-02-29,2.39,2.72,2.37,2.63,2.63,4195100.0
